AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:35:09 Compatible with AeroDyn v13.0.
Polar "T1_Re0.500_M0.00_N9.0 360 M" on Foil "T1_Re0.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.36762        Cn slope for zero lift for linear Cn curve (1/rad)
-0.9019        Cn at stall value for positive angle of attack for linear Cn curve
-0.9477        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0128         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0802    0.0065
   -178.00    0.1481    0.0081
   -177.00    0.2007    0.0107
   -176.00    0.2392    0.0143
   -175.00    0.2675    0.0189
   -174.00    0.2901    0.0246
   -173.00    0.3101    0.0312
   -172.00    0.3297    0.0389
   -171.00    0.3497    0.0475
   -170.00    0.3705    0.0572
   -169.00    0.3921    0.0678
   -168.00    0.4144    0.0794
   -167.00    0.4372    0.0919
   -166.00    0.4604    0.1054
   -165.00    0.4836    0.1197
   -164.00    0.5068    0.1350
   -163.00    0.5298    0.1511
   -162.00    0.5526    0.1681
   -161.00    0.5749    0.1860
   -160.00    0.5967    0.2046
   -159.00    0.6179    0.2240
   -158.00    0.6385    0.2442
   -157.00    0.6584    0.2652
   -156.00    0.6775    0.2869
   -155.00    0.6957    0.3092
   -154.00    0.7131    0.3323
   -153.00    0.7297    0.3559
   -152.00    0.7452    0.3802
   -151.00    0.7598    0.4050
   -150.00    0.7734    0.4304
   -149.00    0.7860    0.4563
   -148.00    0.7975    0.4827
   -147.00    0.8080    0.5096
   -146.00    0.8174    0.5369
   -145.00    0.8257    0.5645
   -144.00    0.8328    0.5925
   -143.00    0.8388    0.6209
   -142.00    0.8437    0.6495
   -141.00    0.8475    0.6784
   -140.00    0.8501    0.7075
   -139.00    0.8516    0.7367
   -138.00    0.8519    0.7661
   -137.00    0.8511    0.7956
   -136.00    0.8491    0.8252
   -135.00    0.8460    0.8548
   -134.00    0.8417    0.8845
   -133.00    0.8364    0.9141
   -132.00    0.8299    0.9436
   -131.00    0.8223    0.9730
   -130.00    0.8136    1.0022
   -129.00    0.8038    1.0313
   -128.00    0.7930    1.0602
   -127.00    0.7811    1.0888
   -126.00    0.7682    1.1171
   -125.00    0.7543    1.1451
   -124.00    0.7394    1.1728
   -123.00    0.7235    1.2001
   -122.00    0.7067    1.2269
   -121.00    0.6890    1.2533
   -120.00    0.6704    1.2792
   -119.00    0.6510    1.3046
   -118.00    0.6307    1.3295
   -117.00    0.6096    1.3537
   -116.00    0.5878    1.3774
   -115.00    0.5652    1.4004
   -114.00    0.5391    1.4227
   -113.00    0.5151    1.4444
   -112.00    0.4905    1.4653
   -111.00    0.4653    1.4855
   -110.00    0.4395    1.5050
   -109.00    0.4132    1.5236
   -108.00    0.3864    1.5414
   -107.00    0.3591    1.5584
   -106.00    0.3314    1.5745
   -105.00    0.3033    1.5898
   -104.00    0.2748    1.6041
   -103.00    0.2461    1.6176
   -102.00    0.2170    1.6301
   -101.00    0.1877    1.6416
   -100.00    0.1582    1.6522
    -99.00    0.1286    1.6619
    -98.00    0.0988    1.6705
    -97.00    0.0689    1.6782
    -96.00    0.0390    1.6848
    -95.00    0.0091    1.6904
    -94.00   -0.0208    1.6950
    -93.00   -0.0507    1.6986
    -92.00   -0.0804    1.7012
    -91.00   -0.1100    1.7027
    -90.00   -0.1395    1.7032
    -89.00   -0.1688    1.7027
    -88.00   -0.1978    1.7011
    -87.00   -0.2265    1.6985
    -86.00   -0.2550    1.6948
    -85.00   -0.2831    1.6902
    -84.00   -0.3108    1.6845
    -83.00   -0.3382    1.6778
    -82.00   -0.3651    1.6701
    -81.00   -0.3915    1.6613
    -80.00   -0.4175    1.6517
    -79.00   -0.4429    1.6410
    -78.00   -0.4679    1.6294
    -77.00   -0.4922    1.6168
    -76.00   -0.5159    1.6033
    -75.00   -0.5391    1.5889
    -74.00   -0.5615    1.5736
    -73.00   -0.5834    1.5574
    -72.00   -0.6045    1.5403
    -71.00   -0.6249    1.5224
    -70.00   -0.6446    1.5037
    -69.00   -0.6636    1.4842
    -68.00   -0.6818    1.4639
    -67.00   -0.6992    1.4429
    -66.00   -0.7158    1.4211
    -65.00   -0.7317    1.3987
    -64.00   -0.7467    1.3755
    -63.00   -0.7609    1.3518
    -62.00   -0.7742    1.3274
    -61.00   -0.7867    1.3024
    -60.00   -0.7984    1.2769
    -59.00   -0.8092    1.2509
    -58.00   -0.8191    1.2243
    -57.00   -0.8281    1.1974
    -56.00   -0.8363    1.1699
    -55.00   -0.8437    1.1421
    -54.00   -0.8501    1.1139
    -53.00   -0.8557    1.0854
    -52.00   -0.8604    1.0566
    -51.00   -0.8643    1.0275
    -50.00   -0.8674    0.9982
    -49.00   -0.8696    0.9687
    -48.00   -0.8710    0.9391
    -47.00   -0.8715    0.9093
    -46.00   -0.8713    0.8794
    -45.00   -0.8704    0.8495
    -44.00   -0.8687    0.8195
    -43.00   -0.8662    0.7896
    -42.00   -0.8632    0.7597
    -41.00   -0.8594    0.7298
    -40.00   -0.8551    0.7001
    -39.00   -0.8502    0.6705
    -38.00   -0.8448    0.6411
    -37.00   -0.8390    0.6119
    -36.00   -0.8328    0.5830
    -35.00   -0.8264    0.5542
    -34.00   -0.8197    0.5258
    -33.00   -0.8131    0.4977
    -32.00   -0.8065    0.4699
    -31.00   -0.8001    0.4425
    -30.00   -0.7942    0.4154
    -29.00   -0.7890    0.3888
    -28.00   -0.7846    0.3625
    -27.00   -0.7815    0.3367
    -26.00   -0.7800    0.3113
    -25.00   -0.7805    0.2863
    -24.00   -0.7835    0.2618
    -23.00   -0.7897    0.2378
    -22.00   -0.7996    0.2142
    -21.00   -0.8138    0.1912
    -20.00   -0.8331    0.1687
    -19.00   -0.8578    0.1468
    -18.00   -0.8881    0.1257
    -17.00   -0.9234    0.1055
    -16.00   -0.9621    0.0866
    -15.00   -1.0010    0.0693
    -14.00   -1.0353    0.0540
    -13.00   -1.0590    0.0411
    -12.00   -1.0657    0.0310
    -11.00   -1.0500    0.0235
    -10.00   -1.0424    0.0194
     -9.50   -0.9996    0.0185
     -9.00   -0.9567    0.0175
     -8.50   -0.9094    0.0168
     -8.00   -0.8639    0.0159
     -7.50   -0.8163    0.0152
     -7.00   -0.7652    0.0147
     -6.50   -0.7126    0.0144
     -6.00   -0.6594    0.0141
     -5.50   -0.6057    0.0139
     -5.00   -0.5516    0.0137
     -4.50   -0.4972    0.0135
     -4.00   -0.4426    0.0133
     -3.50   -0.3877    0.0132
     -3.00   -0.3327    0.0131
     -2.50   -0.2774    0.0130
     -2.00   -0.2221    0.0129
     -1.50   -0.1667    0.0128
     -1.00   -0.1112    0.0128
     -0.50   -0.0556    0.0128
      0.00   -0.0000    0.0128
      0.50    0.0556    0.0128
      1.00    0.1112    0.0128
      1.50    0.1667    0.0128
      2.00    0.2221    0.0129
      2.50    0.2774    0.0130
      3.00    0.3327    0.0131
      3.50    0.3877    0.0132
      4.00    0.4426    0.0133
      4.50    0.4973    0.0135
      5.00    0.5517    0.0137
      5.50    0.6057    0.0139
      6.00    0.6594    0.0141
      6.50    0.7127    0.0144
      7.00    0.7653    0.0147
      7.50    0.8164    0.0152
      8.00    0.8640    0.0159
      8.50    0.9096    0.0168
      9.00    0.9569    0.0175
      9.50    0.9998    0.0185
     10.00    1.0427    0.0194
     10.50    1.0771    0.0209
     11.00    1.1161    0.0218
     11.50    1.1462    0.0230
     12.00    1.1578    0.0256
     12.50    1.1887    0.0269
     13.00    1.2131    0.0288
     13.50    1.2328    0.0312
     14.00    1.2483    0.0342
     14.50    1.2540    0.0385
     15.00    1.2398    0.0452
     15.50    1.2283    0.0523
     16.00    1.2252    0.0588
     16.50    1.2155    0.0666
     17.00    1.1988    0.0759
     17.50    1.1750    0.0868
     18.00    1.1430    0.0997
     18.50    1.0972    0.1157
     19.00    1.0984    0.1214
     20.00    1.0555    0.1440
     21.00    1.0165    0.1676
     22.00    0.9823    0.1921
     23.00    0.9535    0.2171
     24.00    0.9297    0.2427
     25.00    0.9108    0.2686
     26.00    0.8960    0.2950
     27.00    0.8849    0.3217
     28.00    0.8770    0.3487
     29.00    0.8715    0.3761
     30.00    0.8683    0.4038
     31.00    0.8667    0.4317
     32.00    0.8664    0.4600
     33.00    0.8672    0.4885
     34.00    0.8688    0.5174
     35.00    0.8709    0.5464
     36.00    0.8734    0.5757
     37.00    0.8760    0.6052
     38.00    0.8787    0.6349
     39.00    0.8813    0.6647
     40.00    0.8837    0.6947
     41.00    0.8858    0.7248
     42.00    0.8875    0.7549
     43.00    0.8888    0.7851
     44.00    0.8896    0.8154
     45.00    0.8898    0.8456
     46.00    0.8894    0.8757
     47.00    0.8884    0.9058
     48.00    0.8867    0.9358
     49.00    0.8843    0.9657
     50.00    0.8811    0.9953
     51.00    0.8773    1.0248
     52.00    0.8726    1.0540
     53.00    0.8671    1.0830
     54.00    0.8609    1.1116
     55.00    0.8538    1.1399
     56.00    0.8459    1.1679
     57.00    0.8372    1.1954
     58.00    0.8277    1.2225
     59.00    0.8173    1.2491
     60.00    0.8061    1.2753
     61.00    0.7941    1.3009
     62.00    0.7812    1.3259
     63.00    0.7675    1.3504
     64.00    0.7530    1.3742
     65.00    0.7377    1.3974
     66.00    0.7216    1.4199
     67.00    0.7047    1.4417
     68.00    0.6870    1.4628
     69.00    0.6686    1.4831
     70.00    0.6494    1.5027
     71.00    0.6295    1.5215
     72.00    0.6089    1.5394
     73.00    0.5876    1.5565
     74.00    0.5656    1.5727
     75.00    0.5430    1.5881
     76.00    0.5197    1.6025
     77.00    0.4958    1.6161
     78.00    0.4713    1.6287
     79.00    0.4463    1.6403
     80.00    0.4207    1.6510
     81.00    0.3946    1.6608
     82.00    0.3681    1.6695
     83.00    0.3411    1.6772
     84.00    0.3136    1.6839
     85.00    0.2858    1.6897
     86.00    0.2576    1.6944
     87.00    0.2290    1.6980
     88.00    0.2002    1.7007
     89.00    0.1711    1.7023
     90.00    0.1418    1.7028
     91.00    0.1122    1.7023
     92.00    0.0826    1.7008
     93.00    0.0527    1.6983
     94.00    0.0228    1.6947
     95.00   -0.0072    1.6901
     96.00   -0.0372    1.6845
     97.00   -0.0671    1.6779
     98.00   -0.0971    1.6702
     99.00   -0.1269    1.6616
    100.00   -0.1566    1.6520
    101.00   -0.1861    1.6414
    102.00   -0.2155    1.6299
    103.00   -0.2445    1.6174
    104.00   -0.2734    1.6039
    105.00   -0.3019    1.5896
    106.00   -0.3300    1.5744
    107.00   -0.3577    1.5582
    108.00   -0.3851    1.5413
    109.00   -0.4119    1.5235
    110.00   -0.4383    1.5048
    111.00   -0.4641    1.4854
    112.00   -0.4893    1.4652
    113.00   -0.5140    1.4443
    114.00   -0.5380    1.4226
    115.00   -0.5652    1.4003
    116.00   -0.5878    1.3773
    117.00   -0.6097    1.3536
    118.00   -0.6307    1.3294
    119.00   -0.6510    1.3045
    120.00   -0.6705    1.2791
    121.00   -0.6890    1.2532
    122.00   -0.7067    1.2268
    123.00   -0.7235    1.2000
    124.00   -0.7394    1.1727
    125.00   -0.7543    1.1451
    126.00   -0.7682    1.1171
    127.00   -0.7811    1.0887
    128.00   -0.7930    1.0601
    129.00   -0.8038    1.0313
    130.00   -0.8136    1.0022
    131.00   -0.8223    0.9729
    132.00   -0.8299    0.9435
    133.00   -0.8364    0.9140
    134.00   -0.8418    0.8844
    135.00   -0.8460    0.8548
    136.00   -0.8491    0.8252
    137.00   -0.8511    0.7956
    138.00   -0.8520    0.7661
    139.00   -0.8516    0.7367
    140.00   -0.8502    0.7074
    141.00   -0.8476    0.6783
    142.00   -0.8438    0.6495
    143.00   -0.8389    0.6209
    144.00   -0.8329    0.5925
    145.00   -0.8257    0.5645
    146.00   -0.8175    0.5369
    147.00   -0.8081    0.5096
    148.00   -0.7976    0.4827
    149.00   -0.7861    0.4563
    150.00   -0.7735    0.4304
    151.00   -0.7599    0.4050
    152.00   -0.7453    0.3802
    153.00   -0.7298    0.3559
    154.00   -0.7133    0.3322
    155.00   -0.6959    0.3092
    156.00   -0.6776    0.2869
    157.00   -0.6585    0.2652
    158.00   -0.6386    0.2442
    159.00   -0.6181    0.2240
    160.00   -0.5968    0.2046
    161.00   -0.5750    0.1860
    162.00   -0.5527    0.1681
    163.00   -0.5300    0.1511
    164.00   -0.5070    0.1350
    165.00   -0.4838    0.1197
    166.00   -0.4605    0.1054
    167.00   -0.4374    0.0919
    168.00   -0.4146    0.0794
    169.00   -0.3922    0.0678
    170.00   -0.3705    0.0572
    171.00   -0.3496    0.0475
    172.00   -0.3294    0.0389
    173.00   -0.3097    0.0312
    174.00   -0.2894    0.0246
    175.00   -0.2666    0.0189
    176.00   -0.2382    0.0143
    177.00   -0.1997    0.0107
    178.00   -0.1474    0.0081
    179.00   -0.0799    0.0065
    180.00    0.0000    0.0060
    180.00    0.0000    0.0060
