AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:28:29 Compatible with AeroDyn v13.0.
Polar "T1_Re0.200_M0.00_N9.0 360 M" on Foil "T1_Re0.200_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
5.97967        Cn slope for zero lift for linear Cn curve (1/rad)
-0.9335        Cn at stall value for positive angle of attack for linear Cn curve
-1.0251        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0176         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0833    0.0065
   -178.00    0.1658    0.0080
   -177.00    0.2440    0.0106
   -176.00    0.3114    0.0141
   -175.00    0.3608    0.0187
   -174.00    0.3895    0.0242
   -173.00    0.4019    0.0308
   -172.00    0.4061    0.0383
   -171.00    0.4091    0.0468
   -170.00    0.4145    0.0563
   -169.00    0.4234    0.0668
   -168.00    0.4357    0.0781
   -167.00    0.4509    0.0904
   -166.00    0.4682    0.1037
   -165.00    0.4870    0.1178
   -164.00    0.5068    0.1328
   -163.00    0.5272    0.1486
   -162.00    0.5478    0.1653
   -161.00    0.5685    0.1829
   -160.00    0.5889    0.2012
   -159.00    0.6091    0.2203
   -158.00    0.6287    0.2401
   -157.00    0.6478    0.2607
   -156.00    0.6662    0.2820
   -155.00    0.6839    0.3040
   -154.00    0.7008    0.3266
   -153.00    0.7169    0.3499
   -152.00    0.7321    0.3737
   -151.00    0.7464    0.3982
   -150.00    0.7597    0.4231
   -149.00    0.7720    0.4486
   -148.00    0.7833    0.4745
   -147.00    0.7935    0.5009
   -146.00    0.8027    0.5277
   -145.00    0.8109    0.5549
   -144.00    0.8179    0.5824
   -143.00    0.8238    0.6103
   -142.00    0.8286    0.6384
   -141.00    0.8324    0.6668
   -140.00    0.8349    0.6954
   -139.00    0.8364    0.7241
   -138.00    0.8367    0.7530
   -137.00    0.8359    0.7820
   -136.00    0.8340    0.8111
   -135.00    0.8309    0.8402
   -134.00    0.8267    0.8693
   -133.00    0.8215    0.8984
   -132.00    0.8151    0.9274
   -131.00    0.8076    0.9563
   -130.00    0.7991    0.9851
   -129.00    0.7895    1.0136
   -128.00    0.7789    1.0420
   -127.00    0.7672    1.0701
   -126.00    0.7546    1.0980
   -125.00    0.7409    1.1255
   -124.00    0.7263    1.1527
   -123.00    0.7107    1.1795
   -122.00    0.6942    1.2058
   -121.00    0.6768    1.2318
   -120.00    0.6586    1.2572
   -119.00    0.6395    1.2822
   -118.00    0.6195    1.3066
   -117.00    0.5988    1.3304
   -116.00    0.5774    1.3537
   -115.00    0.5552    1.3763
   -114.00    0.5323    1.3982
   -113.00    0.5088    1.4195
   -112.00    0.4846    1.4401
   -111.00    0.4599    1.4599
   -110.00    0.4307    1.4790
   -109.00    0.4048    1.4973
   -108.00    0.3784    1.5148
   -107.00    0.3516    1.5315
   -106.00    0.3243    1.5474
   -105.00    0.2966    1.5623
   -104.00    0.2686    1.5764
   -103.00    0.2403    1.5896
   -102.00    0.2117    1.6019
   -101.00    0.1829    1.6133
   -100.00    0.1539    1.6237
    -99.00    0.1247    1.6331
    -98.00    0.0954    1.6416
    -97.00    0.0660    1.6491
    -96.00    0.0365    1.6556
    -95.00    0.0070    1.6611
    -94.00   -0.0224    1.6656
    -93.00   -0.0518    1.6692
    -92.00   -0.0811    1.6717
    -91.00   -0.1103    1.6731
    -90.00   -0.1393    1.6736
    -89.00   -0.1682    1.6730
    -88.00   -0.1967    1.6715
    -87.00   -0.2251    1.6689
    -86.00   -0.2531    1.6653
    -85.00   -0.2808    1.6607
    -84.00   -0.3082    1.6550
    -83.00   -0.3351    1.6484
    -82.00   -0.3617    1.6408
    -81.00   -0.3878    1.6322
    -80.00   -0.4134    1.6227
    -79.00   -0.4385    1.6122
    -78.00   -0.4631    1.6007
    -77.00   -0.4872    1.5883
    -76.00   -0.5106    1.5750
    -75.00   -0.5335    1.5608
    -74.00   -0.5557    1.5457
    -73.00   -0.5773    1.5298
    -72.00   -0.5983    1.5130
    -71.00   -0.6185    1.4953
    -70.00   -0.6380    1.4769
    -69.00   -0.6568    1.4577
    -68.00   -0.6749    1.4377
    -67.00   -0.6923    1.4169
    -66.00   -0.7088    1.3955
    -65.00   -0.7246    1.3734
    -64.00   -0.7396    1.3506
    -63.00   -0.7538    1.3272
    -62.00   -0.7672    1.3031
    -61.00   -0.7798    1.2785
    -60.00   -0.7916    1.2534
    -59.00   -0.8025    1.2277
    -58.00   -0.8126    1.2015
    -57.00   -0.8219    1.1749
    -56.00   -0.8304    1.1479
    -55.00   -0.8381    1.1204
    -54.00   -0.8449    1.0926
    -53.00   -0.8509    1.0645
    -52.00   -0.8561    1.0360
    -51.00   -0.8606    1.0073
    -50.00   -0.8642    0.9784
    -49.00   -0.8671    0.9492
    -48.00   -0.8692    0.9199
    -47.00   -0.8706    0.8905
    -46.00   -0.8714    0.8609
    -45.00   -0.8714    0.8313
    -44.00   -0.8708    0.8016
    -43.00   -0.8697    0.7720
    -42.00   -0.8679    0.7423
    -41.00   -0.8657    0.7128
    -40.00   -0.8630    0.6833
    -39.00   -0.8600    0.6539
    -38.00   -0.8566    0.6246
    -37.00   -0.8530    0.5956
    -36.00   -0.8494    0.5667
    -35.00   -0.8457    0.5381
    -34.00   -0.8421    0.5097
    -33.00   -0.8388    0.4815
    -32.00   -0.8360    0.4537
    -31.00   -0.8339    0.4262
    -30.00   -0.8326    0.3990
    -29.00   -0.8325    0.3721
    -28.00   -0.8339    0.3456
    -27.00   -0.8372    0.3195
    -26.00   -0.8426    0.2937
    -25.00   -0.8507    0.2684
    -24.00   -0.8618    0.2435
    -23.00   -0.8765    0.2191
    -22.00   -0.8950    0.1952
    -21.00   -0.9175    0.1720
    -20.00   -0.9441    0.1495
    -19.00   -0.9742    0.1279
    -18.00   -1.0067    0.1075
    -17.00   -1.0394    0.0885
    -16.00   -1.0695    0.0714
    -15.00   -1.0928    0.0563
    -14.00   -1.1052    0.0437
    -13.00   -1.1022    0.0337
