AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:28:29 Compatible with AeroDyn v13.0.
Polar "T1_Re1.200_M0.00_N9.0 360 M" on Foil "T1_Re1.200_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.39769        Cn slope for zero lift for linear Cn curve (1/rad)
1.0123         Cn at stall value for positive angle of attack for linear Cn curve
-1.0119        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0117         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0893    0.0065
   -178.00    0.1782    0.0080
   -177.00    0.2641    0.0106
   -176.00    0.3403    0.0141
   -175.00    0.3973    0.0187
   -174.00    0.4288    0.0242
   -173.00    0.4384    0.0308
   -172.00    0.4363    0.0383
   -171.00    0.4321    0.0468
   -170.00    0.4312    0.0563
   -169.00    0.4354    0.0668
   -168.00    0.4442    0.0781
   -167.00    0.4569    0.0904
   -166.00    0.4725    0.1037
   -165.00    0.4901    0.1178
   -164.00    0.5090    0.1328
   -163.00    0.5287    0.1486
   -162.00    0.5489    0.1653
   -161.00    0.5692    0.1829
   -160.00    0.5895    0.2012
   -159.00    0.6094    0.2203
   -158.00    0.6289    0.2401
   -157.00    0.6479    0.2607
   -156.00    0.6663    0.2820
   -155.00    0.6839    0.3040
   -154.00    0.7008    0.3266
   -153.00    0.7169    0.3499
   -152.00    0.7320    0.3737
   -151.00    0.7463    0.3982
   -150.00    0.7596    0.4231
   -149.00    0.7719    0.4486
   -148.00    0.7832    0.4745
   -147.00    0.7934    0.5009
   -146.00    0.8026    0.5277
   -145.00    0.8107    0.5549
   -144.00    0.8178    0.5824
   -143.00    0.8237    0.6103
   -142.00    0.8285    0.6384
   -141.00    0.8322    0.6668
   -140.00    0.8348    0.6954
   -139.00    0.8363    0.7241
   -138.00    0.8366    0.7530
   -137.00    0.8358    0.7820
   -136.00    0.8339    0.8111
   -135.00    0.8308    0.8402
   -134.00    0.8266    0.8693
   -133.00    0.8214    0.8984
   -132.00    0.8150    0.9274
   -131.00    0.8075    0.9563
   -130.00    0.7990    0.9851
   -129.00    0.7894    1.0136
   -128.00    0.7788    1.0420
   -127.00    0.7671    1.0701
   -126.00    0.7545    1.0980
   -125.00    0.7408    1.1255
   -124.00    0.7262    1.1527
   -123.00    0.7106    1.1795
   -122.00    0.6941    1.2059
   -121.00    0.6767    1.2318
   -120.00    0.6585    1.2572
   -119.00    0.6394    1.2822
   -118.00    0.6195    1.3066
   -117.00    0.5988    1.3304
   -116.00    0.5773    1.3537
   -115.00    0.5551    1.3763
   -114.00    0.5323    1.3983
   -113.00    0.5087    1.4196
   -112.00    0.4846    1.4401
   -111.00    0.4598    1.4600
   -110.00    0.4345    1.4791
   -109.00    0.4049    1.4974
   -108.00    0.3785    1.5149
   -107.00    0.3517    1.5316
   -106.00    0.3244    1.5474
   -105.00    0.2967    1.5624
   -104.00    0.2687    1.5765
   -103.00    0.2404    1.5897
   -102.00    0.2118    1.6020
   -101.00    0.1830    1.6133
   -100.00    0.1540    1.6237
    -99.00    0.1248    1.6332
    -98.00    0.0955    1.6417
    -97.00    0.0661    1.6492
    -96.00    0.0366    1.6557
    -95.00    0.0072    1.6612
    -94.00   -0.0223    1.6657
    -93.00   -0.0517    1.6692
    -92.00   -0.0810    1.6717
    -91.00   -0.1102    1.6732
    -90.00   -0.1392    1.6737
    -89.00   -0.1680    1.6731
    -88.00   -0.1966    1.6716
    -87.00   -0.2249    1.6690
    -86.00   -0.2529    1.6654
    -85.00   -0.2806    1.6608
    -84.00   -0.3080    1.6552
