AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:15:50 Compatible with AeroDyn v13.0.
Polar "T1_Re1.600_M0.00_N9.0 360 M" on Foil "T1_Re1.600_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
6.25556        Cn slope for zero lift for linear Cn curve (1/rad)
0.9133         Cn at stall value for positive angle of attack for linear Cn curve
-0.9126        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0074         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0875    0.0065
   -178.00    0.1750    0.0080
   -177.00    0.2625    0.0105
   -176.00    0.3497    0.0140
   -175.00    0.4337    0.0185
   -174.00    0.5049    0.0239
   -173.00    0.5492    0.0303
   -172.00    0.5589    0.0378
   -171.00    0.5422    0.0461
   -170.00    0.5169    0.0554
   -169.00    0.4962    0.0657
   -168.00    0.4848    0.0769
   -167.00    0.4826    0.0890
   -166.00    0.4876    0.1019
   -165.00    0.4977    0.1158
   -164.00    0.5114    0.1306
   -163.00    0.5274    0.1461
   -162.00    0.5448    0.1625
   -161.00    0.5631    0.1798
   -160.00    0.5818    0.1978
   -159.00    0.6005    0.2165
   -158.00    0.6191    0.2361
   -157.00    0.6373    0.2563
   -156.00    0.6550    0.2772
   -155.00    0.6721    0.2988
   -154.00    0.6885    0.3210
   -153.00    0.7042    0.3439
   -152.00    0.7190    0.3673
   -151.00    0.7329    0.3913
   -150.00    0.7459    0.4159
   -149.00    0.7580    0.4409
   -148.00    0.7691    0.4664
   -147.00    0.7791    0.4923
   -146.00    0.7882    0.5186
   -145.00    0.7961    0.5453
   -144.00    0.8031    0.5724
   -143.00    0.8089    0.5998
   -142.00    0.8136    0.6274
   -141.00    0.8173    0.6553
   -140.00    0.8198    0.6834
   -139.00    0.8213    0.7116
   -138.00    0.8216    0.7400
   -137.00    0.8208    0.7685
   -136.00    0.8189    0.7971
   -135.00    0.8160    0.8257
   -134.00    0.8119    0.8543
   -133.00    0.8067    0.8829
   -132.00    0.8005    0.9114
   -131.00    0.7931    0.9398
   -130.00    0.7848    0.9680
   -129.00    0.7754    0.9961
   -128.00    0.7649    1.0240
   -127.00    0.7535    1.0516
   -126.00    0.7410    1.0790
   -125.00    0.7276    1.1061
   -124.00    0.7133    1.1328
   -123.00    0.6980    1.1591
   -122.00    0.6818    1.1850
   -121.00    0.6647    1.2105
   -120.00    0.6468    1.2356
   -119.00    0.6280    1.2601
   -118.00    0.6085    1.2841
   -117.00    0.5881    1.3075
   -116.00    0.5671    1.3304
   -115.00    0.5453    1.3526
   -114.00    0.5228    1.3742
   -113.00    0.4997    1.3951
   -112.00    0.4760    1.4153
   -111.00    0.4516    1.4349
   -110.00    0.4268    1.4536
   -109.00    0.4014    1.4716
   -108.00    0.3755    1.4889
   -107.00    0.3488    1.5053
   -106.00    0.3220    1.5208
   -105.00    0.2950    1.5356
   -104.00    0.2676    1.5495
   -103.00    0.2398    1.5624
