AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:19:58 Compatible with AeroDyn v13.0.
Polar "T1_Re0.400_M0.00_N9.0 360 M" on Foil "T1_Re0.400_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
5.72241        Cn slope for zero lift for linear Cn curve (1/rad)
0.8857         Cn at stall value for positive angle of attack for linear Cn curve
-0.8844        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0164         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0774    0.0065
   -178.00    0.1485    0.0080
   -177.00    0.2082    0.0105
   -176.00    0.2535    0.0140
   -175.00    0.2851    0.0185
   -174.00    0.3070    0.0239
   -173.00    0.3238    0.0303
   -172.00    0.3389    0.0378
   -171.00    0.3545    0.0461
   -170.00    0.3711    0.0554
   -169.00    0.3892    0.0657
   -168.00    0.4084    0.0769
   -167.00    0.4287    0.0890
   -166.00    0.4496    0.1019
   -165.00    0.4709    0.1158
   -164.00    0.4925    0.1306
   -163.00    0.5140    0.1461
   -162.00    0.5355    0.1625
   -161.00    0.5566    0.1798
   -160.00    0.5773    0.1978
   -159.00    0.5976    0.2165
   -158.00    0.6172    0.2361
   -157.00    0.6363    0.2563
   -156.00    0.6546    0.2772
   -155.00    0.6721    0.2988
   -154.00    0.6889    0.3210
   -153.00    0.7047    0.3439
   -152.00    0.7197    0.3673
   -151.00    0.7338    0.3913
   -150.00    0.7469    0.4159
   -149.00    0.7590    0.4409
   -148.00    0.7701    0.4664
   -147.00    0.7802    0.4923
   -146.00    0.7892    0.5186
   -145.00    0.7972    0.5453
   -144.00    0.8041    0.5724
   -143.00    0.8099    0.5998
   -142.00    0.8146    0.6274
   -141.00    0.8183    0.6553
   -140.00    0.8208    0.6834
   -139.00    0.8222    0.7116
   -138.00    0.8225    0.7400
   -137.00    0.8217    0.7685
   -136.00    0.8198    0.7971
   -135.00    0.8168    0.8257
   -134.00    0.8127    0.8543
   -133.00    0.8075    0.8829
   -132.00    0.8012    0.9114
   -131.00    0.7939    0.9398
   -130.00    0.7855    0.9680
   -129.00    0.7761    0.9961
   -128.00    0.7656    1.0240
   -127.00    0.7541    1.0516
   -126.00    0.7417    1.0790
   -125.00    0.7282    1.1060
   -124.00    0.7139    1.1328
   -123.00    0.6985    1.1591
   -122.00    0.6823    1.1850
   -121.00    0.6652    1.2105
   -120.00    0.6473    1.2355
   -119.00    0.6285    1.2601
   -118.00    0.6089    1.2841
   -117.00    0.5886    1.3075
   -116.00    0.5675    1.3303
   -115.00    0.5457    1.3526
   -114.00    0.5232    1.3742
   -113.00    0.5001    1.3951
   -112.00    0.4752    1.4153
   -111.00    0.4509    1.4348
   -110.00    0.4261    1.4536
   -109.00    0.4007    1.4716
   -108.00    0.3748    1.4888
   -107.00    0.3485    1.5052
   -106.00    0.3218    1.5208
   -105.00    0.2948    1.5355
   -104.00    0.2673    1.5494
   -103.00    0.2396    1.5624
   -102.00    0.2116    1.5745
   -101.00    0.1834    1.5857
   -100.00    0.1550    1.5959
    -99.00    0.1264    1.6052
    -98.00    0.0977    1.6136
    -97.00    0.0689    1.6210
    -96.00    0.0401    1.6274
    -95.00    0.0113    1.6329
    -94.00   -0.0175    1.6374
    -93.00   -0.0463    1.6408
    -92.00   -0.0749    1.6433
    -91.00   -0.1034    1.6448
    -90.00   -0.1318    1.6453
    -89.00   -0.1599    1.6448
    -88.00   -0.1879    1.6433
    -87.00   -0.2155    1.6408
    -86.00   -0.2429    1.6373
    -85.00   -0.2699    1.6328
    -84.00   -0.2966    1.6274
    -83.00   -0.3228    1.6209
    -82.00   -0.3487    1.6135
    -81.00   -0.3741    1.6052
    -80.00   -0.3990    1.5958
    -79.00   -0.4235    1.5856
    -78.00   -0.4474    1.5744
    -77.00   -0.4707    1.5623
    -76.00   -0.4935    1.5493
    -75.00   -0.5156    1.5354
    -74.00   -0.5371    1.5207
    -73.00   -0.5580    1.5051
    -72.00   -0.5782    1.4887
    -71.00   -0.5977    1.4714
    -70.00   -0.6165    1.4534
    -69.00   -0.6345    1.4346
    -68.00   -0.6518    1.4151
    -67.00   -0.6684    1.3949
    -66.00   -0.6842    1.3739
    -65.00   -0.6991    1.3523
    -64.00   -0.7133    1.3301
    -63.00   -0.7266    1.3072
    -62.00   -0.7391    1.2837
    -61.00   -0.7508    1.2597
    -60.00   -0.7616    1.2352
    -59.00   -0.7716    1.2101
    -58.00   -0.7806    1.1846
    -57.00   -0.7889    1.1587
    -56.00   -0.7962    1.1323
    -55.00   -0.8027    1.1056
    -54.00   -0.8082    1.0785
    -53.00   -0.8129    1.0511
    -52.00   -0.8167    1.0234
    -51.00   -0.8196    0.9955
    -50.00   -0.8217    0.9674
    -49.00   -0.8228    0.9391
    -48.00   -0.8231    0.9106
    -47.00   -0.8225    0.8821
    -46.00   -0.8210    0.8534
    -45.00   -0.8187    0.8248
    -44.00   -0.8156    0.7961
    -43.00   -0.8116    0.7675
    -42.00   -0.8068    0.7389
    -41.00   -0.8012    0.7104
    -40.00   -0.7947    0.6820
    -39.00   -0.7876    0.6538
    -38.00   -0.7796    0.6258
    -37.00   -0.7710    0.5981
    -36.00   -0.7616    0.5706
    -35.00   -0.7516    0.5434
    -34.00   -0.7410    0.5165
    -33.00   -0.7298    0.4899
    -32.00   -0.7180    0.4638
    -31.00   -0.7058    0.4380
    -30.00   -0.6932    0.4127
    -29.00   -0.6803    0.3878
