AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:22:48 Compatible with AeroDyn v13.0.
Polar "T1_Re0.400_M0.00_N9.0 360 M" on Foil "T1_Re0.400_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
5.02258        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7776        Cn at stall value for positive angle of attack for linear Cn curve
-0.9261        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0127         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0676    0.0065
   -178.00    0.1296    0.0079
   -177.00    0.1826    0.0104
   -176.00    0.2246    0.0138
   -175.00    0.2565    0.0181
   -174.00    0.2808    0.0234
   -173.00    0.3007    0.0297
   -172.00    0.3189    0.0369
   -171.00    0.3368    0.0450
   -170.00    0.3553    0.0541
   -169.00    0.3745    0.0641
   -168.00    0.3944    0.0750
   -167.00    0.4150    0.0867
   -166.00    0.4360    0.0994
   -165.00    0.4573    0.1129
   -164.00    0.4786    0.1272
   -163.00    0.4999    0.1424
   -162.00    0.5209    0.1584
   -161.00    0.5416    0.1751
   -160.00    0.5619    0.1927
   -159.00    0.5817    0.2109
   -158.00    0.6009    0.2299
   -157.00    0.6195    0.2496
   -156.00    0.6373    0.2700
   -155.00    0.6544    0.2910
   -154.00    0.6707    0.3126
   -153.00    0.6862    0.3349
   -152.00    0.7007    0.3577
   -151.00    0.7144    0.3810
   -150.00    0.7272    0.4049
   -149.00    0.7390    0.4293
   -148.00    0.7498    0.4541
   -147.00    0.7596    0.4793
   -146.00    0.7684    0.5049
   -145.00    0.7761    0.5309
   -144.00    0.7829    0.5573
   -143.00    0.7885    0.5839
   -142.00    0.7931    0.6108
   -141.00    0.7966    0.6379
   -140.00    0.7991    0.6653
   -139.00    0.8005    0.6928
   -138.00    0.8008    0.7204
   -137.00    0.8000    0.7482
   -136.00    0.7981    0.7760
   -135.00    0.7952    0.8038
   -134.00    0.7912    0.8316
   -133.00    0.7861    0.8595
   -132.00    0.7800    0.8872
   -131.00    0.7728    0.9148
   -130.00    0.7647    0.9423
   -129.00    0.7555    0.9697
   -128.00    0.7453    0.9968
   -127.00    0.7341    1.0237
   -126.00    0.7220    1.0503
   -125.00    0.7089    1.0767
   -124.00    0.6949    1.1027
   -123.00    0.6800    1.1283
   -122.00    0.6642    1.1535
   -121.00    0.6476    1.1783
   -120.00    0.6301    1.2027
   -119.00    0.6119    1.2266
   -118.00    0.5928    1.2499
   -117.00    0.5730    1.2727
   -116.00    0.5525    1.2950
   -115.00    0.5313    1.3166
   -114.00    0.5094    1.3376
   -113.00    0.4858    1.3580
   -112.00    0.4627    1.3777
   -111.00    0.4390    1.3967
   -110.00    0.4148    1.4149
   -109.00    0.3902    1.4325
   -108.00    0.3650    1.4492
   -107.00    0.3394    1.4652
   -106.00    0.3134    1.4804
   -105.00    0.2871    1.4947
   -104.00    0.2604    1.5082
   -103.00    0.2334    1.5209
   -102.00    0.2062    1.5326
   -101.00    0.1787    1.5435
   -100.00    0.1511    1.5535
    -99.00    0.1233    1.5625
    -98.00    0.0953    1.5707
    -97.00    0.0673    1.5779
    -96.00    0.0393    1.5842
    -95.00    0.0112    1.5895
    -94.00   -0.0168    1.5938
    -93.00   -0.0448    1.5972
    -92.00   -0.0726    1.5996
    -91.00   -0.1004    1.6011
    -90.00   -0.1280    1.6016
    -89.00   -0.1554    1.6011
    -88.00   -0.1825    1.5996
    -87.00   -0.2094    1.5972
    -86.00   -0.2360    1.5938
    -85.00   -0.2623    1.5894
    -84.00   -0.2883    1.5841
    -83.00   -0.3139    1.5779
    -82.00   -0.3390    1.5707
    -81.00   -0.3637    1.5625
    -80.00   -0.3880    1.5534
    -79.00   -0.4117    1.5435
    -78.00   -0.4350    1.5326
    -77.00   -0.4577    1.5208
    -76.00   -0.4798    1.5082
    -75.00   -0.5013    1.4946
    -74.00   -0.5223    1.4803
    -73.00   -0.5426    1.4651
    -72.00   -0.5622    1.4492
    -71.00   -0.5812    1.4324
    -70.00   -0.5994    1.4149
    -69.00   -0.6170    1.3966
    -68.00   -0.6338    1.3776
    -67.00   -0.6499    1.3579
    -66.00   -0.6652    1.3375
    -65.00   -0.6797    1.3165
    -64.00   -0.6934    1.2948
    -63.00   -0.7064    1.2726
    -62.00   -0.7185    1.2498
    -61.00   -0.7298    1.2264
    -60.00   -0.7403    1.2025
    -59.00   -0.7499    1.1782
    -58.00   -0.7587    1.1533
    -57.00   -0.7667    1.1281
    -56.00   -0.7738    1.1024
    -55.00   -0.7800    1.0764
    -54.00   -0.7853    1.0501
    -53.00   -0.7898    1.0234
    -52.00   -0.7934    0.9965
    -51.00   -0.7962    0.9694
    -50.00   -0.7981    0.9420
    -49.00   -0.7991    0.9145
    -48.00   -0.7992    0.8868
    -47.00   -0.7985    0.8591
    -46.00   -0.7970    0.8312
    -45.00   -0.7946    0.8033
    -44.00   -0.7913    0.7755
    -43.00   -0.7872    0.7476
    -42.00   -0.7824    0.7198
    -41.00   -0.7767    0.6921
    -40.00   -0.7702    0.6646
    -39.00   -0.7629    0.6372
    -38.00   -0.7549    0.6100
    -37.00   -0.7461    0.5830
    -36.00   -0.7366    0.5563
    -35.00   -0.7265    0.5299
    -34.00   -0.7156    0.5037
    -33.00   -0.7042    0.4780
    -32.00   -0.6921    0.4526
    -31.00   -0.6795    0.4276
    -30.00   -0.6665    0.4030
    -29.00   -0.6530    0.3789
    -28.00   -0.6393    0.3553
    -27.00   -0.6254    0.3321
    -26.00   -0.6115    0.3094
    -25.00   -0.5979    0.2872
    -24.00   -0.5848    0.2655
    -23.00   -0.5728    0.2443
    -22.00   -0.5626    0.2235
    -21.00   -0.5550    0.2031
    -20.00   -0.5518    0.1829
    -19.00   -0.5551    0.1628
    -18.00   -0.5684    0.1426
    -17.00   -0.5968    0.1219
    -16.00   -0.6466    0.1004
    -15.00   -0.7225    0.0783
    -14.00   -0.8195    0.0566
    -13.00   -0.9117    0.0380
    -12.00   -0.9583    0.0256
    -11.00   -0.9396    0.0197
