AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:22:48 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
5.26289        Cn slope for zero lift for linear Cn curve (1/rad)
0.8237         Cn at stall value for positive angle of attack for linear Cn curve
-0.8222        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0098         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0734    0.0065
   -178.00    0.1451    0.0079
   -177.00    0.2118    0.0104
   -176.00    0.2682    0.0138
   -175.00    0.3100    0.0181
   -174.00    0.3370    0.0234
   -173.00    0.3529    0.0297
   -172.00    0.3633    0.0369
   -171.00    0.3726    0.0450
   -170.00    0.3831    0.0541
   -169.00    0.3957    0.0641
   -168.00    0.4104    0.0750
   -167.00    0.4270    0.0867
   -166.00    0.4450    0.0994
   -165.00    0.4640    0.1129
   -164.00    0.4836    0.1272
   -163.00    0.5035    0.1424
   -162.00    0.5236    0.1584
   -161.00    0.5436    0.1751
   -160.00    0.5633    0.1927
   -159.00    0.5826    0.2109
   -158.00    0.6015    0.2299
   -157.00    0.6198    0.2496
   -156.00    0.6375    0.2700
   -155.00    0.6544    0.2910
   -154.00    0.6706    0.3126
   -153.00    0.6860    0.3349
   -152.00    0.7005    0.3577
   -151.00    0.7141    0.3810
   -150.00    0.7268    0.4049
   -149.00    0.7386    0.4293
   -148.00    0.7494    0.4541
   -147.00    0.7592    0.4793
   -146.00    0.7680    0.5049
   -145.00    0.7757    0.5309
   -144.00    0.7824    0.5573
   -143.00    0.7881    0.5839
   -142.00    0.7927    0.6108
   -141.00    0.7962    0.6379
   -140.00    0.7987    0.6653
   -139.00    0.8001    0.6928
   -138.00    0.8004    0.7204
   -137.00    0.7996    0.7482
   -136.00    0.7977    0.7760
   -135.00    0.7948    0.8038
   -134.00    0.7908    0.8316
   -133.00    0.7858    0.8595
   -132.00    0.7797    0.8872
   -131.00    0.7725    0.9148
   -130.00    0.7643    0.9423
   -129.00    0.7552    0.9697
   -128.00    0.7450    0.9968
   -127.00    0.7338    1.0237
   -126.00    0.7217    1.0503
   -125.00    0.7086    1.0767
   -124.00    0.6947    1.1027
   -123.00    0.6798    1.1283
   -122.00    0.6640    1.1535
   -121.00    0.6474    1.1783
   -120.00    0.6299    1.2027
   -119.00    0.6116    1.2266
   -118.00    0.5926    1.2499
   -117.00    0.5728    1.2727
   -116.00    0.5523    1.2950
   -115.00    0.5310    1.3166
   -114.00    0.5092    1.3376
   -113.00    0.4867    1.3580
   -112.00    0.4635    1.3777
   -111.00    0.4390    1.3967
   -110.00    0.4149    1.4150
   -109.00    0.3902    1.4325
   -108.00    0.3650    1.4492
   -107.00    0.3394    1.4652
   -106.00    0.3134    1.4804
   -105.00    0.2871    1.4947
   -104.00    0.2604    1.5082
   -103.00    0.2334    1.5209
   -102.00    0.2062    1.5326
   -101.00    0.1787    1.5435
   -100.00    0.1511    1.5535
