AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:12:22 Compatible with AeroDyn v13.0.
Polar "T1_Re0.400_M0.00_N9.0 360 M" on Foil "T1_Re0.400_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
21.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
3.37293        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6809        Cn at stall value for positive angle of attack for linear Cn curve
-0.6689        Cn at stall value for negative angle of attack for linear Cn curve
-11.00         Angle of attack for minimum CD (deg)
0.0180         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0447    0.0065
   -178.00    0.0880    0.0079
   -177.00    0.1290    0.0104
   -176.00    0.1669    0.0138
   -175.00    0.2013    0.0181
   -174.00    0.2324    0.0234
   -173.00    0.2606    0.0297
   -172.00    0.2868    0.0369
   -171.00    0.3117    0.0450
   -170.00    0.3358    0.0541
   -169.00    0.3594    0.0641
   -168.00    0.3828    0.0750
   -167.00    0.4059    0.0867
   -166.00    0.4290    0.0994
   -165.00    0.4518    0.1129
   -164.00    0.4743    0.1272
   -163.00    0.4965    0.1424
   -162.00    0.5183    0.1584
   -161.00    0.5396    0.1751
   -160.00    0.5604    0.1927
   -159.00    0.5805    0.2109
   -158.00    0.6000    0.2299
   -157.00    0.6189    0.2496
   -156.00    0.6369    0.2700
   -155.00    0.6542    0.2910
   -154.00    0.6706    0.3126
   -153.00    0.6862    0.3349
   -152.00    0.7009    0.3577
   -151.00    0.7147    0.3810
   -150.00    0.7275    0.4049
   -149.00    0.7393    0.4293
   -148.00    0.7502    0.4541
   -147.00    0.7600    0.4793
   -146.00    0.7689    0.5049
   -145.00    0.7766    0.5309
   -144.00    0.7834    0.5573
   -143.00    0.7891    0.5839
   -142.00    0.7937    0.6108
   -141.00    0.7972    0.6379
   -140.00    0.7997    0.6653
   -139.00    0.8010    0.6928
   -138.00    0.8013    0.7204
   -137.00    0.8005    0.7481
   -136.00    0.7987    0.7760
   -135.00    0.7957    0.8038
   -134.00    0.7917    0.8316
   -133.00    0.7867    0.8594
   -132.00    0.7806    0.8872
   -131.00    0.7734    0.9148
   -130.00    0.7652    0.9423
   -129.00    0.7560    0.9697
   -128.00    0.7459    0.9968
   -127.00    0.7347    1.0237
   -126.00    0.7225    1.0503
   -125.00    0.7095    1.0766
   -124.00    0.6955    1.1026
   -123.00    0.6805    1.1283
   -122.00    0.6648    1.1535
   -121.00    0.6481    1.1783
   -120.00    0.6306    1.2027
   -119.00    0.6124    1.2265
   -118.00    0.5933    1.2499
   -117.00    0.5735    1.2727
   -116.00    0.5529    1.2949
   -115.00    0.5317    1.3166
   -114.00    0.5081    1.3376
   -113.00    0.4856    1.3580
   -112.00    0.4625    1.3777
   -111.00    0.4389    1.3966
   -110.00    0.4147    1.4149
   -109.00    0.3900    1.4324
   -108.00    0.3648    1.4492
   -107.00    0.3392    1.4652
   -106.00    0.3132    1.4803
   -105.00    0.2869    1.4947
   -104.00    0.2602    1.5082
   -103.00    0.2332    1.5208
   -102.00    0.2059    1.5326
   -101.00    0.1785    1.5434
   -100.00    0.1508    1.5534
    -99.00    0.1230    1.5625
    -98.00    0.0951    1.5706
    -97.00    0.0671    1.5778
    -96.00    0.0390    1.5841
    -95.00    0.0110    1.5894
    -94.00   -0.0171    1.5937
    -93.00   -0.0451    1.5971
    -92.00   -0.0729    1.5995
    -91.00   -0.1007    1.6010
    -90.00   -0.1283    1.6015
    -89.00   -0.1557    1.6010
    -88.00   -0.1829    1.5995
    -87.00   -0.2098    1.5971
    -86.00   -0.2364    1.5937
    -85.00   -0.2627    1.5893
    -84.00   -0.2887    1.5840
    -83.00   -0.3143    1.5777
    -82.00   -0.3394    1.5705
    -81.00   -0.3642    1.5623
    -80.00   -0.3884    1.5532
    -79.00   -0.4122    1.5432
    -78.00   -0.4355    1.5323
    -77.00   -0.4582    1.5206
    -76.00   -0.4803    1.5079
    -75.00   -0.5019    1.4944
    -74.00   -0.5229    1.4800
    -73.00   -0.5432    1.4648
    -72.00   -0.5628    1.4488
    -71.00   -0.5818    1.4321
    -70.00   -0.6001    1.4145
    -69.00   -0.6177    1.3962
    -68.00   -0.6345    1.3772
    -67.00   -0.6506    1.3575
    -66.00   -0.6660    1.3371
    -65.00   -0.6806    1.3160
    -64.00   -0.6943    1.2944
    -63.00   -0.7073    1.2721
    -62.00   -0.7195    1.2492
    -61.00   -0.7309    1.2258
    -60.00   -0.7414    1.2019
    -59.00   -0.7511    1.1775
    -58.00   -0.7600    1.1527
    -57.00   -0.7680    1.1274
    -56.00   -0.7752    1.1017
    -55.00   -0.7815    1.0756
    -54.00   -0.7869    1.0492
    -53.00   -0.7915    1.0225
    -52.00   -0.7952    0.9955
    -51.00   -0.7981    0.9683
    -50.00   -0.8001    0.9409
    -49.00   -0.8013    0.9132
    -48.00   -0.8016    0.8855
    -47.00   -0.8011    0.8576
    -46.00   -0.7997    0.8297
    -45.00   -0.7976    0.8017
    -44.00   -0.7946    0.7736
    -43.00   -0.7908    0.7456
    -42.00   -0.7863    0.7177
    -41.00   -0.7810    0.6898
    -40.00   -0.7749    0.6620
    -39.00   -0.7682    0.6344
    -38.00   -0.7608    0.6069
    -37.00   -0.7527    0.5796
    -36.00   -0.7440    0.5525
    -35.00   -0.7348    0.5257
    -34.00   -0.7250    0.4991
    -33.00   -0.7149    0.4727
    -32.00   -0.7045    0.4467
    -31.00   -0.6938    0.4209
    -30.00   -0.6831    0.3954
    -29.00   -0.6726    0.3702
    -28.00   -0.6624    0.3452
    -27.00   -0.6530    0.3204
    -26.00   -0.6448    0.2957
    -25.00   -0.6383    0.2711
    -24.00   -0.6343    0.2464
    -23.00   -0.6339    0.2215
    -22.00   -0.6383    0.1962
    -21.00   -0.6489    0.1704
    -20.00   -0.6669    0.1440
    -19.00   -0.6926    0.1174
    -18.00   -0.7242    0.0913
    -17.00   -0.7560    0.0674
    -16.00   -0.7788    0.0476
    -15.00   -0.7836    0.0334
    -14.00   -0.7660    0.0249
    -13.00   -0.7292    0.0206
    -12.00   -0.6799    0.0188
    -11.00   -0.6249    0.0180
    -10.00   -0.6860    0.0306
     -9.50   -0.6542    0.0291
     -9.00   -0.6217    0.0277
     -8.50   -0.5880    0.0264
     -8.00   -0.5530    0.0254
     -7.50   -0.5173    0.0244
     -7.00   -0.4809    0.0236
     -6.50   -0.4437    0.0228
     -6.00   -0.4066    0.0222
     -5.50   -0.3688    0.0216
     -5.00   -0.3306    0.0211
     -4.50   -0.2929    0.0207
     -4.00   -0.2548    0.0203
     -3.50   -0.2176    0.0200
     -3.00   -0.1812    0.0198
     -2.50   -0.1461    0.0195
     -2.00   -0.1135    0.0194
     -1.50   -0.0853    0.0193
     -1.00   -0.0614    0.0193
     -0.50   -0.0314    0.0193
      0.00    0.0000    0.0193
      0.50    0.0314    0.0193
      1.00    0.0615    0.0193
      1.50    0.0854    0.0193
      2.00    0.1136    0.0194
      2.50    0.1463    0.0195
      3.00    0.1815    0.0197
      3.50    0.2178    0.0200
      4.00    0.2552    0.0203
      4.50    0.2933    0.0207
      5.00    0.3312    0.0211
      5.50    0.3694    0.0216
      6.00    0.4073    0.0222
      6.50    0.4446    0.0228
      7.00    0.4819    0.0235
      7.50    0.5184    0.0244
      8.00    0.5543    0.0254
      8.50    0.5896    0.0264
      9.00    0.6234    0.0276
      9.50    0.6561    0.0290
     10.00    0.6882    0.0306
     10.50    0.7190    0.0323
     11.00    0.7479    0.0342
     11.50    0.7758    0.0363
     12.00    0.8027    0.0385
     12.50    0.8278    0.0411
     13.00    0.8506    0.0439
     13.50    0.8718    0.0469
     14.00    0.8922    0.0501
     14.50    0.9099    0.0536
     15.00    0.9260    0.0574
     15.50    0.9419    0.0613
     16.00    0.9558    0.0654
     16.50    0.9671    0.0698
     17.00    0.9798    0.0742
     17.50    0.9894    0.0790
     18.00    0.9982    0.0839
     18.50    1.0084    0.0887
     19.00    1.0150    0.0939
     19.50    1.0245    0.0987
     20.00    1.0307    0.1040
     21.00    1.0336    0.0665
     22.00    1.0247    0.0874
     23.00    1.0067    0.1124
     24.00    0.9828    0.1406
     25.00    0.9565    0.1712
     26.00    0.9305    0.2032
     27.00    0.9066    0.2358
     28.00    0.8859    0.2687
     29.00    0.8687    0.3013
     30.00    0.8549    0.3337
     31.00    0.8444    0.3656
     32.00    0.8366    0.3971
     33.00    0.8312    0.4283
     34.00    0.8277    0.4592
     35.00    0.8256    0.4898
     36.00    0.8247    0.5202
     37.00    0.8247    0.5504
     38.00    0.8252    0.5804
     39.00    0.8261    0.6103
     40.00    0.8271    0.6401
     41.00    0.8282    0.6698
     42.00    0.8291    0.6994
     43.00    0.8298    0.7289
     44.00    0.8302    0.7583
     45.00    0.8302    0.7875
     46.00    0.8297    0.8166
     47.00    0.8286    0.8455
     48.00    0.8270    0.8743
     49.00    0.8248    0.9029
     50.00    0.8219    0.9312
     51.00    0.8183    0.9593
     52.00    0.8141    0.9872
     53.00    0.8091    1.0147
     54.00    0.8033    1.0420
     55.00    0.7968    1.0688
     56.00    0.7896    1.0953
     57.00    0.7815    1.1214
     58.00    0.7727    1.1471
     59.00    0.7631    1.1723
     60.00    0.7528    1.1970
     61.00    0.7416    1.2212
     62.00    0.7297    1.2449
     63.00    0.7169    1.2680
     64.00    0.7034    1.2905
     65.00    0.6892    1.3124
     66.00    0.6742    1.3337
     67.00    0.6585    1.3542
     68.00    0.6420    1.3741
     69.00    0.6248    1.3933
     70.00    0.6069    1.4118
     71.00    0.5883    1.4295
     72.00    0.5690    1.4464
     73.00    0.5491    1.4625
     74.00    0.5285    1.4778
     75.00    0.5073    1.4923
     76.00    0.4855    1.5059
     77.00    0.4632    1.5187
     78.00    0.4403    1.5306
     79.00    0.4168    1.5416
     80.00    0.3929    1.5516
     81.00    0.3684    1.5608
     82.00    0.3435    1.5690
     83.00    0.3182    1.5763
     84.00    0.2925    1.5827
     85.00    0.2664    1.5881
     86.00    0.2400    1.5925
     87.00    0.2132    1.5959
     88.00    0.1862    1.5984
     89.00    0.1589    1.6000
     90.00    0.1314    1.6005
     91.00    0.1037    1.6001
     92.00    0.0758    1.5987
     93.00    0.0478    1.5963
     94.00    0.0198    1.5929
     95.00   -0.0084    1.5886
     96.00   -0.0365    1.5834
     97.00   -0.0646    1.5771
     98.00   -0.0927    1.5700
     99.00   -0.1207    1.5619
    100.00   -0.1486    1.5528
    101.00   -0.1763    1.5429
    102.00   -0.2038    1.5320
    103.00   -0.2312    1.5203
    104.00   -0.2582    1.5077
    105.00   -0.2849    1.4942
    106.00   -0.3114    1.4799
    107.00   -0.3374    1.4648
    108.00   -0.3631    1.4488
    109.00   -0.3883    1.4321
    110.00   -0.4130    1.4146
    111.00   -0.4372    1.3963
    112.00   -0.4609    1.3774
    113.00   -0.4841    1.3577
    114.00   -0.5066    1.3373
    115.00   -0.5318    1.3163
    116.00   -0.5530    1.2947
    117.00   -0.5736    1.2725
    118.00   -0.5934    1.2497
    119.00   -0.6125    1.2263
    120.00   -0.6307    1.2025
    121.00   -0.6482    1.1781
    122.00   -0.6649    1.1533
    123.00   -0.6807    1.1281
    124.00   -0.6956    1.1025
    125.00   -0.7096    1.0765
