AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:12:22 Compatible with AeroDyn v13.0.
Polar "T1_Re0.500_M0.00_N9.0 360 M" on Foil "T1_Re0.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
22.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
3.55843        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7048        Cn at stall value for positive angle of attack for linear Cn curve
-0.7037        Cn at stall value for negative angle of attack for linear Cn curve
-11.00         Angle of attack for minimum CD (deg)
0.0181         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0449    0.0065
   -178.00    0.0869    0.0079
   -177.00    0.1255    0.0104
   -176.00    0.1607    0.0138
   -175.00    0.1927    0.0181
   -174.00    0.2224    0.0234
   -173.00    0.2502    0.0297
   -172.00    0.2768    0.0369
   -171.00    0.3026    0.0450
   -170.00    0.3278    0.0541
   -169.00    0.3527    0.0641
   -168.00    0.3772    0.0750
   -167.00    0.4014    0.0867
   -166.00    0.4253    0.0994
   -165.00    0.4489    0.1129
   -164.00    0.4721    0.1272
   -163.00    0.4948    0.1424
   -162.00    0.5170    0.1584
   -161.00    0.5386    0.1751
   -160.00    0.5597    0.1927
   -159.00    0.5800    0.2109
   -158.00    0.5997    0.2299
   -157.00    0.6187    0.2496
   -156.00    0.6369    0.2700
   -155.00    0.6542    0.2910
   -154.00    0.6707    0.3126
   -153.00    0.6864    0.3349
   -152.00    0.7011    0.3577
   -151.00    0.7149    0.3810
   -150.00    0.7278    0.4049
   -149.00    0.7396    0.4293
   -148.00    0.7505    0.4541
   -147.00    0.7604    0.4793
   -146.00    0.7692    0.5049
   -145.00    0.7770    0.5309
   -144.00    0.7838    0.5573
   -143.00    0.7894    0.5839
   -142.00    0.7940    0.6108
   -141.00    0.7976    0.6379
   -140.00    0.8000    0.6653
   -139.00    0.8014    0.6928
   -138.00    0.8017    0.7204
   -137.00    0.8009    0.7481
   -136.00    0.7990    0.7760
   -135.00    0.7961    0.8038
   -134.00    0.7921    0.8316
   -133.00    0.7870    0.8594
   -132.00    0.7809    0.8872
   -131.00    0.7737    0.9148
   -130.00    0.7656    0.9423
   -129.00    0.7564    0.9697
   -128.00    0.7462    0.9968
   -127.00    0.7350    1.0237
   -126.00    0.7228    1.0503
   -125.00    0.7098    1.0767
   -124.00    0.6957    1.1026
   -123.00    0.6808    1.1283
   -122.00    0.6650    1.1535
   -121.00    0.6484    1.1783
   -120.00    0.6309    1.2027
   -119.00    0.6126    1.2265
   -118.00    0.5935    1.2499
   -117.00    0.5737    1.2727
   -116.00    0.5511    1.2949
   -115.00    0.5299    1.3166
   -114.00    0.5081    1.3376
   -113.00    0.4856    1.3580
   -112.00    0.4625    1.3777
   -111.00    0.4389    1.3966
   -110.00    0.4147    1.4149
   -109.00    0.3900    1.4324
   -108.00    0.3648    1.4492
   -107.00    0.3392    1.4652
   -106.00    0.3132    1.4803
   -105.00    0.2869    1.4947
   -104.00    0.2602    1.5082
