AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:35:23 Compatible with AeroDyn v13.0.
Polar "T1_Re0.600_M0.00_N9.0 360 M" on Foil "T1_Re0.600_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.52          Angle of attack for zero Cn for linear Cn curve (deg)
6.60854        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6720        Cn at stall value for positive angle of attack for linear Cn curve
-0.8334        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0071         Minimum CD value
   -180.00   -0.0452    0.0060
   -179.00   -0.0072    0.0065
   -178.00    0.0288    0.0081
   -177.00    0.0632    0.0106
   -176.00    0.0963    0.0143
   -175.00    0.1283    0.0189
   -174.00    0.1594    0.0245
   -173.00    0.1895    0.0312
   -172.00    0.2189    0.0388
   -171.00    0.2475    0.0475
   -170.00    0.2754    0.0571
   -169.00    0.3025    0.0677
   -168.00    0.3289    0.0792
   -167.00    0.3546    0.0917
   -166.00    0.3795    0.1051
   -165.00    0.4037    0.1195
   -164.00    0.4270    0.1347
   -163.00    0.4496    0.1507
   -162.00    0.4713    0.1677
   -161.00    0.4921    0.1854
   -160.00    0.5121    0.2040
   -159.00    0.5312    0.2233
   -158.00    0.5493    0.2434
   -157.00    0.5666    0.2642
   -156.00    0.5829    0.2858
   -155.00    0.5982    0.3080
   -154.00    0.6126    0.3309
   -153.00    0.6260    0.3544
   -152.00    0.6384    0.3785
   -151.00    0.6498    0.4032
   -150.00    0.6602    0.4284
   -149.00    0.6696    0.4542
   -148.00    0.6780    0.4804
   -147.00    0.6854    0.5070
   -146.00    0.6918    0.5341
   -145.00    0.6971    0.5615
   -144.00    0.7015    0.5893
   -143.00    0.7048    0.6174
   -142.00    0.7072    0.6458
   -141.00    0.7085    0.6744
   -140.00    0.7089    0.7032
   -139.00    0.7083    0.7322
   -138.00    0.7067    0.7613
   -137.00    0.7042    0.7906
   -136.00    0.7008    0.8199
   -135.00    0.6964    0.8492
   -134.00    0.6912    0.8785
   -133.00    0.6850    0.9078
   -132.00    0.6780    0.9370
   -131.00    0.6659    0.9661
   -130.00    0.6573    0.9951
   -129.00    0.6479    1.0238
   -128.00    0.6377    1.0524
   -127.00    0.6268    1.0807
   -126.00    0.6150    1.1087
   -125.00    0.6026    1.1364
   -124.00    0.5894    1.1637
   -123.00    0.5755    1.1907
   -122.00    0.5610    1.2172
   -121.00    0.5459    1.2433
   -120.00    0.5301    1.2689
   -119.00    0.5137    1.2940
   -118.00    0.4968    1.3185
   -117.00    0.4794    1.3425
   -116.00    0.4614    1.3658
   -115.00    0.4430    1.3886
   -114.00    0.4240    1.4106
   -113.00    0.4047    1.4320
   -112.00    0.3850    1.4527
   -111.00    0.3648    1.4726
   -110.00    0.3444    1.4918
   -109.00    0.3235    1.5102
   -108.00    0.3024    1.5278
   -107.00    0.2810    1.5446
   -106.00    0.2594    1.5605
   -105.00    0.2375    1.5755
   -104.00    0.2154    1.5897
   -103.00    0.1932    1.6030
   -102.00    0.1708    1.6153
   -101.00    0.1483    1.6267
   -100.00    0.1256    1.6372
    -99.00    0.1029    1.6467
    -98.00    0.0802    1.6553
    -97.00    0.0574    1.6628
    -96.00    0.0346    1.6694
    -95.00    0.0118    1.6750
    -94.00   -0.0110    1.6795
    -93.00   -0.0336    1.6831
    -92.00   -0.0562    1.6856
    -91.00   -0.0787    1.6872
    -90.00   -0.1011    1.6877
    -89.00   -0.1233    1.6872
    -88.00   -0.1454    1.6856
    -87.00   -0.1672    1.6831
    -86.00   -0.1888    1.6795
    -85.00   -0.2103    1.6750
    -84.00   -0.2314    1.6694
    -83.00   -0.2523    1.6628
    -82.00   -0.2729    1.6552
    -81.00   -0.2932    1.6467
    -80.00   -0.3132    1.6372
    -79.00   -0.3328    1.6267
    -78.00   -0.3520    1.6153
    -77.00   -0.3709    1.6029
    -76.00   -0.3894    1.5897
    -75.00   -0.4074    1.5755
    -74.00   -0.4251    1.5604
    -73.00   -0.4422    1.5445
    -72.00   -0.4590    1.5278
    -71.00   -0.4752    1.5102
    -70.00   -0.4909    1.4918
    -69.00   -0.5062    1.4726
    -68.00   -0.5209    1.4526
    -67.00   -0.5350    1.4319
    -66.00   -0.5487    1.4106
    -65.00   -0.5617    1.3885
    -64.00   -0.5742    1.3657
    -63.00   -0.5861    1.3424
    -62.00   -0.5974    1.3184
    -61.00   -0.6080    1.2939
    -60.00   -0.6181    1.2688
    -59.00   -0.6275    1.2432
    -58.00   -0.6363    1.2171
    -57.00   -0.6444    1.1905
    -56.00   -0.6518    1.1636
    -55.00   -0.6586    1.1362
    -54.00   -0.6647    1.1085
    -53.00   -0.6701    1.0805
    -52.00   -0.6748    1.0522
    -51.00   -0.6788    1.0236
    -50.00   -0.6820    0.9948
