AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:37:46 Compatible with AeroDyn v13.0.
Polar "T1_Re3.600_M0.00_N9.0 360 M" on Foil "T1_Re3.600_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.47          Angle of attack for zero Cn for linear Cn curve (deg)
6.65148        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8901        Cn at stall value for positive angle of attack for linear Cn curve
-0.9675        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0083         Minimum CD value
   -180.00   -0.0437    0.0060
   -179.00    0.0490    0.0065
   -178.00    0.1417    0.0081
   -177.00    0.2343    0.0106
   -176.00    0.3270    0.0143
   -175.00    0.4197    0.0189
   -174.00    0.5123    0.0245
   -173.00    0.6050    0.0312
   -172.00    0.6940    0.0388
   -171.00    0.7592    0.0475
   -170.00    0.7667    0.0571
   -169.00    0.7094    0.0677
   -168.00    0.6268    0.0792
   -167.00    0.5586    0.0917
   -166.00    0.5164    0.1051
   -165.00    0.4959    0.1195
   -164.00    0.4900    0.1347
   -163.00    0.4932    0.1507
   -162.00    0.5019    0.1677
   -161.00    0.5138    0.1854
   -160.00    0.5275    0.2040
   -159.00    0.5421    0.2233
   -158.00    0.5571    0.2434
   -157.00    0.5720    0.2642
   -156.00    0.5867    0.2858
   -155.00    0.6008    0.3080
   -154.00    0.6143    0.3309
   -153.00    0.6270    0.3544
   -152.00    0.6390    0.3785
   -151.00    0.6501    0.4032
   -150.00    0.6603    0.4284
   -149.00    0.6696    0.4542
   -148.00    0.6780    0.4804
   -147.00    0.6853    0.5070
   -146.00    0.6917    0.5341
   -145.00    0.6972    0.5615
   -144.00    0.7016    0.5893
   -143.00    0.7051    0.6174
   -142.00    0.7075    0.6458
   -141.00    0.7090    0.6744
   -140.00    0.7095    0.7032
   -139.00    0.7091    0.7322
   -138.00    0.7076    0.7613
   -137.00    0.7053    0.7906
   -136.00    0.7020    0.8199
   -135.00    0.6977    0.8492
   -134.00    0.6926    0.8785
   -133.00    0.6865    0.9078
   -132.00    0.6796    0.9370
   -131.00    0.6718    0.9661
   -130.00    0.6632    0.9951
   -129.00    0.6537    1.0238
   -128.00    0.6435    1.0524
   -127.00    0.6324    1.0807
   -126.00    0.6207    1.1087
   -125.00    0.6081    1.1364
   -124.00    0.5949    1.1637
   -123.00    0.5809    1.1907
   -122.00    0.5663    1.2172
   -121.00    0.5511    1.2433
   -120.00    0.5352    1.2689
   -119.00    0.5187    1.2940
   -118.00    0.5017    1.3185
   -117.00    0.4841    1.3425
   -116.00    0.4660    1.3658
   -115.00    0.4474    1.3886
   -114.00    0.4283    1.4106
   -113.00    0.4088    1.4320
   -112.00    0.3889    1.4527
   -111.00    0.3686    1.4726
   -110.00    0.3480    1.4918
   -109.00    0.3270    1.5102
   -108.00    0.3057    1.5278
   -107.00    0.2841    1.5446
   -106.00    0.2622    1.5605
   -105.00    0.2401    1.5755
   -104.00    0.2178    1.5897
   -103.00    0.1951    1.6030
   -102.00    0.1725    1.6153
   -101.00    0.1497    1.6267
   -100.00    0.1269    1.6372
    -99.00    0.1039    1.6467
    -98.00    0.0809    1.6553
    -97.00    0.0579    1.6628
    -96.00    0.0349    1.6694
    -95.00    0.0118    1.6750
    -94.00   -0.0111    1.6795
    -93.00   -0.0341    1.6831
    -92.00   -0.0569    1.6856
    -91.00   -0.0796    1.6872
    -90.00   -0.1022    1.6877
    -89.00   -0.1247    1.6872
    -88.00   -0.1469    1.6856
    -87.00   -0.1690    1.6831
    -86.00   -0.1909    1.6795
    -85.00   -0.2125    1.6750
    -84.00   -0.2339    1.6694
    -83.00   -0.2550    1.6628
    -82.00   -0.2758    1.6552
    -81.00   -0.2963    1.6467
    -80.00   -0.3164    1.6372
    -79.00   -0.3363    1.6267
    -78.00   -0.3557    1.6153
    -77.00   -0.3747    1.6029
    -76.00   -0.3934    1.5897
    -75.00   -0.4116    1.5755
    -74.00   -0.4294    1.5604
    -73.00   -0.4467    1.5445
    -72.00   -0.4636    1.5278
    -71.00   -0.4799    1.5102
    -70.00   -0.4958    1.4918
    -69.00   -0.5111    1.4726
    -68.00   -0.5259    1.4526
    -67.00   -0.5402    1.4320
    -66.00   -0.5539    1.4106
    -65.00   -0.5670    1.3885
    -64.00   -0.5796    1.3657
    -63.00   -0.5915    1.3424
    -62.00   -0.6029    1.3184
    -61.00   -0.6136    1.2939
    -60.00   -0.6237    1.2688
    -59.00   -0.6331    1.2432
    -58.00   -0.6419    1.2171
    -57.00   -0.6500    1.1905
    -56.00   -0.6574    1.1636
    -55.00   -0.6642    1.1362
    -54.00   -0.6703    1.1085
    -53.00   -0.6756    1.0805
    -52.00   -0.6803    1.0522
    -51.00   -0.6842    1.0236
    -50.00   -0.6875    0.9948
    -49.00   -0.6900    0.9659
    -48.00   -0.6918    0.9368
    -47.00   -0.6928    0.9075
    -46.00   -0.6931    0.8782
    -45.00   -0.6927    0.8489
    -44.00   -0.6916    0.8195
    -43.00   -0.6897    0.7902
    -42.00   -0.6870    0.7609
    -41.00   -0.6837    0.7317
    -40.00   -0.6796    0.7027
    -39.00   -0.6748    0.6738
    -38.00   -0.6692    0.6452
    -37.00   -0.6630    0.6167
    -36.00   -0.6560    0.5886
    -35.00   -0.6484    0.5607
    -34.00   -0.6401    0.5332
    -33.00   -0.6312    0.5060
    -32.00   -0.6216    0.4793
    -31.00   -0.6115    0.4529
    -30.00   -0.6008    0.4271
    -29.00   -0.5897    0.4017
    -28.00   -0.5782    0.3768
    -27.00   -0.5665    0.3524
    -26.00   -0.5546    0.3285
    -25.00   -0.5428    0.3052
    -24.00   -0.5313    0.2825
    -23.00   -0.5206    0.2603
    -22.00   -0.5113    0.2386
    -21.00   -0.5043    0.2174
    -20.00   -0.5010    0.1966
    -19.00   -0.5036    0.1761
    -18.00   -0.5155    0.1556
    -17.00   -0.5421    0.1347
    -16.00   -0.5916    0.1131
    -15.00   -0.6738    0.0903
    -14.00   -0.7940    0.0664
