AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:49:41 Compatible with AeroDyn v13.0.
Polar "T1_Re1.300_M0.00_N9.0 360 M" on Foil "T1_Re1.300_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.47          Angle of attack for zero Cn for linear Cn curve (deg)
6.93873        Cn slope for zero lift for linear Cn curve (1/rad)
1.0513         Cn at stall value for positive angle of attack for linear Cn curve
-0.6557        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0070         Minimum CD value
   -180.00   -0.0420    0.0060
   -179.00    0.0546    0.0065
   -178.00    0.1513    0.0080
   -177.00    0.2472    0.0105
   -176.00    0.3375    0.0140
   -175.00    0.4106    0.0184
   -174.00    0.4525    0.0239
   -173.00    0.4594    0.0303
   -172.00    0.4437    0.0377
   -171.00    0.4222    0.0461
   -170.00    0.4056    0.0553
   -169.00    0.3971    0.0656
   -168.00    0.3964    0.0767
   -167.00    0.4017    0.0888
   -166.00    0.4112    0.1017
   -165.00    0.4237    0.1155
   -164.00    0.4381    0.1302
   -163.00    0.4537    0.1457
   -162.00    0.4699    0.1621
   -161.00    0.4864    0.1792
   -160.00    0.5028    0.1971
   -159.00    0.5190    0.2158
   -158.00    0.5347    0.2352
   -157.00    0.5499    0.2553
   -156.00    0.5645    0.2761
   -155.00    0.5784    0.2976
   -154.00    0.5916    0.3197
   -153.00    0.6039    0.3424
   -152.00    0.6154    0.3657
   -151.00    0.6260    0.3895
   -150.00    0.6357    0.4138
   -149.00    0.6445    0.4387
   -148.00    0.6524    0.4640
   -147.00    0.6594    0.4897
   -146.00    0.6654    0.5158
   -145.00    0.6704    0.5423
   -144.00    0.6745    0.5691
   -143.00    0.6777    0.5962
   -142.00    0.6799    0.6236
   -141.00    0.6811    0.6513
   -140.00    0.6815    0.6791
   -139.00    0.6809    0.7071
   -138.00    0.6794    0.7352
   -137.00    0.6769    0.7634
   -136.00    0.6736    0.7917
   -135.00    0.6694    0.8200
   -134.00    0.6644    0.8483
   -133.00    0.6584    0.8766
   -132.00    0.6517    0.9048
   -131.00    0.6441    0.9329
   -130.00    0.6357    0.9608
   -129.00    0.6265    0.9886
   -128.00    0.6166    1.0161
   -127.00    0.6059    1.0434
   -126.00    0.5945    1.0705
   -125.00    0.5824    1.0972
   -124.00    0.5696    1.1236
   -123.00    0.5562    1.1496
   -122.00    0.5421    1.1752
   -121.00    0.5275    1.2004
   -120.00    0.5122    1.2251
   -119.00    0.4964    1.2493
   -118.00    0.4800    1.2730
   -117.00    0.4631    1.2961
   -116.00    0.4458    1.3187
   -115.00    0.4279    1.3406
   -114.00    0.4097    1.3619
   -113.00    0.3910    1.3825
   -112.00    0.3719    1.4025
   -111.00    0.3525    1.4217
   -110.00    0.3327    1.4403
   -109.00    0.3126    1.4580
   -108.00    0.2917    1.4750
   -107.00    0.2710    1.4912
   -106.00    0.2501    1.5065
   -105.00    0.2290    1.5211
   -104.00    0.2077    1.5347
   -103.00    0.1863    1.5475
   -102.00    0.1647    1.5594
   -101.00    0.1429    1.5705
   -100.00    0.1211    1.5806
    -99.00    0.0992    1.5897
    -98.00    0.0772    1.5980
    -97.00    0.0553    1.6053
    -96.00    0.0333    1.6116
    -95.00    0.0113    1.6170
    -94.00   -0.0106    1.6214
    -93.00   -0.0325    1.6248
    -92.00   -0.0543    1.6273
    -91.00   -0.0760    1.6288
    -90.00   -0.0976    1.6293
    -89.00   -0.1190    1.6288
    -88.00   -0.1403    1.6273
    -87.00   -0.1614    1.6248
    -86.00   -0.1822    1.6214
    -85.00   -0.2029    1.6170
    -84.00   -0.2233    1.6116
    -83.00   -0.2434    1.6053
    -82.00   -0.2633    1.5980
    -81.00   -0.2829    1.5897
    -80.00   -0.3021    1.5805
    -79.00   -0.3211    1.5704
    -78.00   -0.3396    1.5594
    -77.00   -0.3579    1.5475
    -76.00   -0.3757    1.5347
    -75.00   -0.3931    1.5210
    -74.00   -0.4101    1.5065
    -73.00   -0.4267    1.4911
    -72.00   -0.4428    1.4749
    -71.00   -0.4585    1.4580
    -70.00   -0.4737    1.4402
    -69.00   -0.4884    1.4217
    -68.00   -0.5026    1.4024
    -67.00   -0.5163    1.3825
    -66.00   -0.5294    1.3618
    -65.00   -0.5420    1.3405
    -64.00   -0.5541    1.3186
    -63.00   -0.5656    1.2960
    -62.00   -0.5765    1.2729
    -61.00   -0.5868    1.2492
    -60.00   -0.5965    1.2250
    -59.00   -0.6056    1.2003
    -58.00   -0.6141    1.1751
    -57.00   -0.6219    1.1495
    -56.00   -0.6291    1.1234
    -55.00   -0.6357    1.0970
    -54.00   -0.6416    1.0703
    -53.00   -0.6468    1.0433
    -52.00   -0.6514    1.0159
    -51.00   -0.6553    0.9884
    -50.00   -0.6585    0.9606
    -49.00   -0.6610    0.9326
    -48.00   -0.6628    0.9045
    -47.00   -0.6639    0.8763
    -46.00   -0.6643    0.8480
    -45.00   -0.6640    0.8197
    -44.00   -0.6630    0.7914
    -43.00   -0.6613    0.7631
    -42.00   -0.6589    0.7348
    -41.00   -0.6557    0.7067
    -40.00   -0.6519    0.6786
    -39.00   -0.6474    0.6508
    -38.00   -0.6422    0.6231
    -37.00   -0.6363    0.5957
    -36.00   -0.6297    0.5685
    -35.00   -0.6225    0.5416
    -34.00   -0.6147    0.5151
    -33.00   -0.6062    0.4889
    -32.00   -0.5971    0.4630
    -31.00   -0.5874    0.4376
    -30.00   -0.5773    0.4127
    -29.00   -0.5667    0.3882
    -28.00   -0.5557    0.3642
    -27.00   -0.5444    0.3407
    -26.00   -0.5329    0.3177
    -25.00   -0.5215    0.2953
    -24.00   -0.5104    0.2734
    -23.00   -0.4999    0.2521
    -22.00   -0.4907    0.2313
    -21.00   -0.4834    0.2110
    -20.00   -0.4793    0.1912
    -19.00   -0.4804    0.1717
    -18.00   -0.4897    0.1524
    -17.00   -0.5120    0.1330
    -16.00   -0.5548    0.1132
    -15.00   -0.6283    0.0925
    -14.00   -0.7417    0.0708
    -13.00   -0.8875    0.0492
    -12.00   -1.0190    0.0312
    -11.00   -1.0673    0.0203
    -10.00   -0.9035    0.0139
     -9.00   -0.8438    0.0118
     -8.50   -0.8035    0.0108
     -8.00   -0.7577    0.0099
     -7.50   -0.7096    0.0091
     -7.00   -0.6596    0.0082
     -6.50   -0.6033    0.0078
     -6.00   -0.5447    0.0077
     -5.50   -0.4863    0.0074
     -5.00   -0.4257    0.0074
     -4.50   -0.3665    0.0072
     -4.00   -0.3068    0.0072
     -3.50   -0.2457    0.0072
     -3.00   -0.1856    0.0071
     -2.50   -0.1255    0.0071
     -2.00   -0.0649    0.0071
     -1.50   -0.0037    0.0071
     -1.00    0.0568    0.0070
     -0.50    0.1169    0.0070
      0.00    0.1771    0.0071
      0.50    0.2384    0.0071
      1.00    0.2991    0.0071
      1.50    0.3593    0.0071
      2.00    0.4188    0.0073
      2.50    0.4792    0.0074
      3.00    0.5398    0.0074
      3.50    0.5997    0.0074
      4.00    0.6583    0.0076
      4.50    0.7176    0.0077
      5.00    0.7775    0.0078
      5.50    0.8348    0.0080
      6.00    0.8931    0.0082
      6.50    0.9514    0.0083
      7.00    1.0060    0.0086
      7.50    1.0591    0.0091
      8.00    1.1086    0.0096
      8.50    1.1526    0.0104
      9.00    1.1852    0.0116
      9.50    1.2089    0.0127
     10.00    1.2232    0.0143
     10.50    1.2368    0.0163
     11.00    1.2523    0.0185
     11.50    1.2653    0.0211
     12.00    1.2770    0.0240
     12.50    1.2902    0.0270
     13.00    1.3035    0.0301
     13.50    1.3091    0.0340
     14.50    1.3200    0.0426
     15.00    1.3203    0.0477
     15.50    1.3318    0.0518
     16.50    1.3337    0.0626
     17.00    1.3471    0.0672
     17.50    1.3575    0.0723
     18.00    1.3683    0.0774
     18.50    1.3742    0.0832
     19.00    1.3796    0.0891
     19.50    1.3809    0.0957
     20.00    1.3835    0.1023
     20.50    1.3790    0.1101
     21.00    1.3770    0.1174
     21.50    1.3606    0.1271
     22.00    1.3502    0.1360
     22.50    1.3559    0.1424
     23.00    1.3556    0.1499
     23.50    1.3593    0.1567
     24.00    1.3550    0.1649
     24.50    1.3574    0.1719
     25.00    1.3506    0.1807
     26.00    1.3365    0.2496
     27.00    1.3273    0.2736
     28.00    1.3185    0.2984
     29.00    1.3100    0.3239
     30.00    1.3021    0.3501
     31.00    1.2946    0.3769
     32.00    1.2876    0.4042
     33.00    1.2811    0.4320
     34.00    1.2750    0.4603
     35.00    1.2693    0.4890
     36.00    1.2638    0.5180
     37.00    1.2586    0.5473
     38.00    1.2536    0.5769
     39.00    1.2487    0.6068
     40.00    1.2437    0.6368
     41.00    1.2387    0.6670
     42.00    1.2336    0.6973
     43.00    1.2283    0.7276
     44.00    1.2227    0.7580
     45.00    1.2168    0.7884
     46.00    1.2105    0.8188
     47.00    1.2038    0.8491
     48.00    1.1966    0.8793
     49.00    1.1888    0.9093
     50.00    1.1805    0.9392
     51.00    1.1715    0.9689
     52.00    1.1619    0.9983
     53.00    1.1516    1.0274
     54.00    1.1406    1.0562
     55.00    1.1288    1.0847
     56.00    1.1162    1.1128
     57.00    1.1028    1.1405
     58.00    1.0886    1.1678
     59.00    1.0736    1.1945
     60.00    1.0578    1.2208
     61.00    1.0410    1.2466
     62.00    1.0234    1.2717
     63.00    1.0050    1.2963
     64.00    0.9857    1.3203
     65.00    0.9655    1.3436
     66.00    0.9444    1.3662
     67.00    0.9224    1.3882
     68.00    0.8997    1.4094
     69.00    0.8760    1.4299
     70.00    0.8515    1.4495
     71.00    0.8262    1.4684
     72.00    0.8001    1.4865
     73.00    0.7732    1.5038
     74.00    0.7455    1.5201
     75.00    0.7171    1.5356
     76.00    0.6880    1.5502
     77.00    0.6581    1.5639
     78.00    0.6276    1.5767
     79.00    0.5964    1.5885
     80.00    0.5646    1.5994
     81.00    0.5322    1.6093
     82.00    0.4993    1.6182
     83.00    0.4658    1.6262
     84.00    0.4318    1.6331
     85.00    0.3975    1.6390
     86.00    0.3626    1.6440
     87.00    0.3275    1.6479
     88.00    0.2920    1.6507
     89.00    0.2562    1.6526
     90.00    0.2201    1.6534
     91.00    0.1839    1.6533
     92.00    0.1474    1.6521
     93.00    0.1109    1.6498
     94.00    0.0743    1.6466
     95.00    0.0377    1.6423
     96.00    0.0011    1.6370
     97.00   -0.0354    1.6308
     98.00   -0.0719    1.6235
     99.00   -0.1081    1.6153
    100.00   -0.1442    1.6060
    101.00   -0.1799    1.5959
    102.00   -0.2154    1.5847
    103.00   -0.2506    1.5727
    104.00   -0.2853    1.5597
    105.00   -0.3196    1.5458
    106.00   -0.3533    1.5311
    107.00   -0.3866    1.5155
    108.00   -0.4193    1.4990
    109.00   -0.4513    1.4817
    110.00   -0.5168    1.4636
    111.00   -0.5467    1.4447
    112.00   -0.5759    1.4251
    113.00   -0.6043    1.4047
    114.00   -0.6318    1.3837
    115.00   -0.6585    1.3619
    116.00   -0.6843    1.3395
    117.00   -0.7092    1.3165
    118.00   -0.7331    1.2929
    119.00   -0.7559    1.2687
    120.00   -0.7777    1.2440
    121.00   -0.7985    1.2187
    122.00   -0.8181    1.1930
    123.00   -0.8367    1.1668
    124.00   -0.8540    1.1403
    125.00   -0.8702    1.1133
    126.00   -0.8851    1.0860
    127.00   -0.8989    1.0584
    128.00   -0.9113    1.0306
    129.00   -0.9226    1.0024
    130.00   -0.9325    0.9741
    131.00   -0.9412    0.9456
    132.00   -0.9485    0.9170
    133.00   -0.9545    0.8882
    134.00   -0.9593    0.8594
    135.00   -0.9627    0.8305
    136.00   -0.9648    0.8017
    137.00   -0.9655    0.7729
    138.00   -0.9650    0.7441
    139.00   -0.9631    0.7155
    140.00   -0.9600    0.6870
    141.00   -0.9555    0.6587
    142.00   -0.9498    0.6306
    143.00   -0.9428    0.6028
    144.00   -0.9345    0.5752
    145.00   -0.9251    0.5480
    146.00   -0.9144    0.5211
    147.00   -0.9026    0.4946
    148.00   -0.8896    0.4684
    149.00   -0.8755    0.4428
    150.00   -0.8604    0.4176
    151.00   -0.8442    0.3929
    152.00   -0.8270    0.3688
    153.00   -0.8089    0.3452
    154.00   -0.7899    0.3222
    155.00   -0.7701    0.2999
    156.00   -0.7495    0.2782
    157.00   -0.7283    0.2571
    158.00   -0.7065    0.2368
    159.00   -0.6843    0.2172
    160.00   -0.6618    0.1983
    161.00   -0.6391    0.1803
    162.00   -0.6165    0.1630
    163.00   -0.5943    0.1465
    164.00   -0.5727    0.1309
    165.00   -0.5523    0.1161
    166.00   -0.5338    0.1022
    167.00   -0.5177    0.0891
    168.00   -0.5053    0.0770
    169.00   -0.4977    0.0658
    170.00   -0.4959    0.0555
    171.00   -0.5004    0.0462
    172.00   -0.5090    0.0378
    173.00   -0.5154    0.0304
    174.00   -0.5078    0.0240
    175.00   -0.4743    0.0185
    176.00   -0.4120    0.0140
    177.00   -0.3285    0.0105
    178.00   -0.2350    0.0080
    179.00   -0.1387    0.0065
