AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:49:41 Compatible with AeroDyn v13.0.
Polar "T1_Re4.000_M0.00_N9.0 360 M" on Foil "T1_Re4.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
21.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.51          Angle of attack for zero Cn for linear Cn curve (deg)
7.02900        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5932        Cn at stall value for positive angle of attack for linear Cn curve
-0.8508        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0053         Minimum CD value
   -180.00   -0.0432    0.0060
   -179.00    0.0549    0.0065
   -178.00    0.1530    0.0080
   -177.00    0.2511    0.0105
   -176.00    0.3491    0.0140
   -175.00    0.4472    0.0184
   -174.00    0.5453    0.0239
   -173.00    0.6434    0.0303
   -172.00    0.7377    0.0377
   -171.00    0.8048    0.0461
   -170.00    0.8054    0.0553
   -169.00    0.7325    0.0656
   -168.00    0.6344    0.0767
   -167.00    0.5556    0.0888
   -166.00    0.5072    0.1017
   -165.00    0.4829    0.1155
   -164.00    0.4745    0.1302
   -163.00    0.4758    0.1457
   -162.00    0.4829    0.1621
   -161.00    0.4935    0.1792
   -160.00    0.5060    0.1971
   -159.00    0.5195    0.2158
   -158.00    0.5334    0.2352
   -157.00    0.5474    0.2553
   -156.00    0.5610    0.2761
   -155.00    0.5742    0.2976
   -154.00    0.5868    0.3197
   -153.00    0.5987    0.3424
   -152.00    0.6099    0.3657
   -151.00    0.6202    0.3895
   -150.00    0.6297    0.4138
   -149.00    0.6383    0.4387
   -148.00    0.6460    0.4640
   -147.00    0.6528    0.4897
   -146.00    0.6586    0.5158
   -145.00    0.6635    0.5423
   -144.00    0.6675    0.5691
   -143.00    0.6705    0.5962
   -142.00    0.6726    0.6236
   -141.00    0.6738    0.6513
   -140.00    0.6740    0.6791
   -139.00    0.6733    0.7071
   -138.00    0.6717    0.7352
   -137.00    0.6692    0.7634
   -136.00    0.6658    0.7917
   -135.00    0.6616    0.8200
   -134.00    0.6564    0.8483
   -133.00    0.6505    0.8766
   -132.00    0.6437    0.9048
   -131.00    0.6361    0.9329
   -130.00    0.6277    0.9608
   -129.00    0.6186    0.9886
   -128.00    0.6087    1.0161
   -127.00    0.5980    1.0434
   -126.00    0.5867    1.0705
   -125.00    0.5747    1.0972
   -124.00    0.5620    1.1236
   -123.00    0.5486    1.1496
   -122.00    0.5347    1.1752
   -121.00    0.5201    1.2004
   -120.00    0.5050    1.2251
   -119.00    0.4893    1.2493
   -118.00    0.4731    1.2730
   -117.00    0.4564    1.2961
   -116.00    0.4392    1.3187
   -115.00    0.4216    1.3406
   -114.00    0.4035    1.3619
   -113.00    0.3851    1.3825
   -112.00    0.3662    1.4025
   -111.00    0.3471    1.4217
   -110.00    0.3275    1.4403
   -109.00    0.3077    1.4580
   -108.00    0.2876    1.4750
   -107.00    0.2672    1.4912
   -106.00    0.2466    1.5065
   -105.00    0.2258    1.5211
   -104.00    0.2049    1.5347
   -103.00    0.1834    1.5475
   -102.00    0.1621    1.5594
   -101.00    0.1407    1.5705
   -100.00    0.1193    1.5806
    -99.00    0.0977    1.5897
    -98.00    0.0761    1.5980
    -97.00    0.0544    1.6053
    -96.00    0.0328    1.6116
    -95.00    0.0112    1.6170
    -94.00   -0.0104    1.6214
    -93.00   -0.0319    1.6248
    -92.00   -0.0534    1.6273
    -91.00   -0.0747    1.6288
    -90.00   -0.0959    1.6293
    -89.00   -0.1170    1.6288
    -88.00   -0.1379    1.6273
    -87.00   -0.1587    1.6248
    -86.00   -0.1792    1.6214
    -85.00   -0.1996    1.6170
    -84.00   -0.2196    1.6116
    -83.00   -0.2395    1.6053
    -82.00   -0.2590    1.5980
    -81.00   -0.2783    1.5897
    -80.00   -0.2973    1.5805
    -79.00   -0.3159    1.5704
    -78.00   -0.3342    1.5594
    -77.00   -0.3522    1.5475
    -76.00   -0.3698    1.5347
    -75.00   -0.3869    1.5210
    -74.00   -0.4037    1.5065
    -73.00   -0.4201    1.4911
    -72.00   -0.4360    1.4749
    -71.00   -0.4515    1.4580
    -70.00   -0.4665    1.4402
    -69.00   -0.4811    1.4217
    -68.00   -0.4951    1.4024
    -67.00   -0.5087    1.3825
