AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 16:01:40 Compatible with AeroDyn v13.0.
Polar "T1_Re1.800_M0.00_N9.0 360 M" on Foil "T1_Re1.800_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.42          Angle of attack for zero Cn for linear Cn curve (deg)
7.04905        Cn slope for zero lift for linear Cn curve (1/rad)
1.2117         Cn at stall value for positive angle of attack for linear Cn curve
-0.9482        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0075         Minimum CD value
   -180.00   -0.0393    0.0060
   -179.00    0.0584    0.0065
   -178.00    0.1562    0.0079
   -177.00    0.2539    0.0104
   -176.00    0.3516    0.0138
   -175.00    0.4472    0.0181
   -174.00    0.5299    0.0234
   -173.00    0.5792    0.0297
   -172.00    0.5804    0.0369
   -171.00    0.5443    0.0450
   -170.00    0.4976    0.0540
   -169.00    0.4597    0.0640
   -168.00    0.4361    0.0748
   -167.00    0.4253    0.0866
   -166.00    0.4239    0.0992
   -165.00    0.4289    0.1126
   -164.00    0.4382    0.1269
   -163.00    0.4501    0.1420
   -162.00    0.4637    0.1579
   -161.00    0.4782    0.1746
   -160.00    0.4931    0.1920
   -159.00    0.5081    0.2102
   -158.00    0.5229    0.2291
   -157.00    0.5373    0.2486
   -156.00    0.5512    0.2689
   -155.00    0.5645    0.2898
   -154.00    0.5772    0.3113
   -153.00    0.5891    0.3334
   -152.00    0.6001    0.3560
   -151.00    0.6104    0.3792
   -150.00    0.6198    0.4029
   -149.00    0.6284    0.4271
   -148.00    0.6360    0.4517
   -147.00    0.6427    0.4767
   -146.00    0.6486    0.5021
   -145.00    0.6535    0.5279
   -144.00    0.6574    0.5540
   -143.00    0.6605    0.5804
   -142.00    0.6626    0.6070
   -141.00    0.6639    0.6339
   -140.00    0.6642    0.6610
   -139.00    0.6636    0.6882
   -138.00    0.6621    0.7156
   -137.00    0.6598    0.7430
   -136.00    0.6565    0.7706
   -135.00    0.6524    0.7981
   -134.00    0.6475    0.8257
   -133.00    0.6417    0.8532
   -132.00    0.6351    0.8806
   -131.00    0.6277    0.9079
   -130.00    0.6195    0.9351
   -129.00    0.6106    0.9621
   -128.00    0.6009    0.9889
   -127.00    0.5905    1.0155
   -126.00    0.5794    1.0418
   -125.00    0.5676    1.0678
   -124.00    0.5552    1.0935
   -123.00    0.5421    1.1188
   -122.00    0.5284    1.1437
   -121.00    0.5141    1.1682
   -120.00    0.4992    1.1922
   -119.00    0.4838    1.2158
   -118.00    0.4678    1.2388
   -117.00    0.4514    1.2613
   -116.00    0.4344    1.2833
   -115.00    0.4170    1.3046
   -114.00    0.3992    1.3254
   -113.00    0.3810    1.3454
   -112.00    0.3624    1.3649
   -111.00    0.3435    1.3836
   -110.00    0.3242    1.4016
   -109.00    0.3046    1.4189
   -108.00    0.2847    1.4354
   -107.00    0.2646    1.4511
   -106.00    0.2438    1.4661
   -105.00    0.2232    1.4802
   -104.00    0.2025    1.4935
   -103.00    0.1815    1.5060
   -102.00    0.1605    1.5176
   -101.00    0.1393    1.5283
   -100.00    0.1180    1.5381
    -99.00    0.0966    1.5470
    -98.00    0.0752    1.5551
    -97.00    0.0538    1.5622
    -96.00    0.0324    1.5683
    -95.00    0.0109    1.5736
    -94.00   -0.0105    1.5778
    -93.00   -0.0318    1.5812
    -92.00   -0.0531    1.5836
    -91.00   -0.0742    1.5850
    -90.00   -0.0952    1.5855
    -89.00   -0.1161    1.5850
    -88.00   -0.1369    1.5836
    -87.00   -0.1574    1.5812
    -86.00   -0.1778    1.5778
    -85.00   -0.1979    1.5735
    -84.00   -0.2178    1.5683
    -83.00   -0.2375    1.5621
    -82.00   -0.2568    1.5550
    -81.00   -0.2759    1.5470
    -80.00   -0.2947    1.5381
    -79.00   -0.3131    1.5282
    -78.00   -0.3313    1.5175
    -77.00   -0.3490    1.5059
    -76.00   -0.3664    1.4935
    -75.00   -0.3834    1.4802
    -74.00   -0.4000    1.4660
    -73.00   -0.4161    1.4511
    -72.00   -0.4319    1.4353
    -71.00   -0.4471    1.4188
    -70.00   -0.4619    1.4015
    -69.00   -0.4763    1.3835
    -68.00   -0.4901    1.3648
    -67.00   -0.5035    1.3454
    -66.00   -0.5163    1.3253
    -65.00   -0.5286    1.3046
    -64.00   -0.5403    1.2832
    -63.00   -0.5515    1.2613
    -62.00   -0.5622    1.2388
    -61.00   -0.5722    1.2157
    -60.00   -0.5817    1.1921
    -59.00   -0.5906    1.1681
    -58.00   -0.5988    1.1436
    -57.00   -0.6065    1.1187
    -56.00   -0.6135    1.0934
    -55.00   -0.6199    1.0677
    -54.00   -0.6257    1.0417
    -53.00   -0.6308    1.0154
    -52.00   -0.6352    0.9888
    -51.00   -0.6390    0.9619
    -50.00   -0.6421    0.9349
    -49.00   -0.6446    0.9077
    -48.00   -0.6463    0.8804
    -47.00   -0.6474    0.8529
    -46.00   -0.6478    0.8254
    -45.00   -0.6476    0.7978
    -44.00   -0.6466    0.7703
    -43.00   -0.6449    0.7427
    -42.00   -0.6426    0.7152
    -41.00   -0.6396    0.6879
    -40.00   -0.6359    0.6606
    -39.00   -0.6315    0.6335
    -38.00   -0.6265    0.6066
    -37.00   -0.6207    0.5799
    -36.00   -0.6144    0.5534
    -35.00   -0.6074    0.5273
    -34.00   -0.5998    0.5014
    -33.00   -0.5915    0.4759
    -32.00   -0.5828    0.4508
    -31.00   -0.5735    0.4261
    -30.00   -0.5637    0.4018
    -29.00   -0.5535    0.3779
    -28.00   -0.5429    0.3546
    -27.00   -0.5321    0.3317
    -26.00   -0.5213    0.3093
    -25.00   -0.5105    0.2875
    -24.00   -0.5002    0.2662
    -23.00   -0.4908    0.2454
    -22.00   -0.4828    0.2251
    -21.00   -0.4773    0.2053
    -20.00   -0.4757    0.1859
    -19.00   -0.4805    0.1668
    -18.00   -0.4954    0.1477
    -17.00   -0.5267    0.1285
    -16.00   -0.5838    0.1085
    -15.00   -0.6788    0.0875
    -14.00   -0.8191    0.0655
    -13.00   -0.9842    0.0444
    -12.00   -1.1062    0.0285
    -11.00   -1.1203    0.0203
    -10.00   -1.0032    0.0099
     -9.50   -0.9598    0.0093
     -9.00   -0.9079    0.0090
     -8.50   -0.8520    0.0088
     -8.00   -0.7971    0.0085
     -7.50   -0.7391    0.0083
     -7.00   -0.6794    0.0083
     -6.50   -0.6201    0.0081
     -6.00   -0.5614    0.0079
     -5.50   -0.5009    0.0078
     -5.00   -0.4401    0.0078
     -4.50   -0.3787    0.0078
     -4.00   -0.3168    0.0078
     -3.50   -0.2561    0.0076
     -3.00   -0.1950    0.0075
     -2.50   -0.1338    0.0075
     -2.00   -0.0727    0.0076
     -1.50   -0.0106    0.0076
     -1.00    0.0520    0.0076
     -0.50    0.1141    0.0076
      0.00    0.1755    0.0075
      0.50    0.2367    0.0075
      1.00    0.2973    0.0076
      1.50    0.3577    0.0077
      2.00    0.4199    0.0078
      2.50    0.4820    0.0078
      3.00    0.5434    0.0078
      3.50    0.6043    0.0078
      4.00    0.6641    0.0080
      4.50    0.7220    0.0082
      5.00    0.7803    0.0084
      5.50    0.8408    0.0084
      6.00    0.9008    0.0085
      6.50    0.9598    0.0086
      7.00    1.0162    0.0088
      7.50    1.0672    0.0092
      8.00    1.1217    0.0094
      8.50    1.1770    0.0095
      9.00    1.2253    0.0098
      9.50    1.2567    0.0104
     10.00    1.2946    0.0110
     10.50    1.3367    0.0116
     11.00    1.3530    0.0134
     11.50    1.3789    0.0149
     12.00    1.3859    0.0175
     12.50    1.3823    0.0209
     13.00    1.3806    0.0245
     13.50    1.3769    0.0285
     14.00    1.3614    0.0337
     14.50    1.3607    0.0382
     15.00    1.3494    0.0438
     15.50    1.3419    0.0492
     16.00    1.3407    0.0546
     16.50    1.3253    0.0614
     17.00    1.3377    0.0655
     17.50    1.3274    0.0724
     18.00    1.3381    0.0770
     18.50    1.3478    0.0818
     19.00    1.3354    0.0893
     19.50    1.3533    0.0933
     20.00    1.3453    0.1007
     20.50    1.3526    0.1061
     21.00    1.3694    0.1104
     21.50    1.3598    0.1182
     22.00    1.3642    0.1240
     22.50    1.3626    0.1305
     23.50    1.3474    0.1448
     24.00    1.3395    0.1528
     24.50    1.3506    0.1579
     25.00    1.3535    0.1641
     26.00    1.3183    0.2457
     27.00    1.2985    0.2701
     28.00    1.2803    0.2952
     29.00    1.2637    0.3209
     30.00    1.2487    0.3472
     31.00    1.2352    0.3740
     32.00    1.2231    0.4012
     33.00    1.2124    0.4289
     34.00    1.2028    0.4569
     35.00    1.1943    0.4852
     36.00    1.1866    0.5138
     37.00    1.1797    0.5426
     38.00    1.1734    0.5716
     39.00    1.1676    0.6008
     40.00    1.1621    0.6302
     41.00    1.1568    0.6596
     42.00    1.1516    0.6891
     43.00    1.1464    0.7187
     44.00    1.1412    0.7483
     45.00    1.1358    0.7778
     46.00    1.1301    0.8073
     47.00    1.1241    0.8367
     48.00    1.1177    0.8660
     49.00    1.1108    0.8951
     50.00    1.1034    0.9240
     51.00    1.0954    0.9528
     52.00    1.0869    0.9812
     53.00    1.0777    1.0094
     54.00    1.0677    1.0373
     55.00    1.0571    1.0649
     56.00    1.0457    1.0920
     57.00    1.0336    1.1188
     58.00    1.0206    1.1451
     59.00    1.0068    1.1710
     60.00    0.9922    1.1964
     61.00    0.9767    1.2213
     62.00    0.9604    1.2456
     63.00    0.9433    1.2693
     64.00    0.9252    1.2925
     65.00    0.9063    1.3150
     66.00    0.8866    1.3369
     67.00    0.8660    1.3580
     68.00    0.8445    1.3785
     69.00    0.8222    1.3983
     70.00    0.7991    1.4173
     71.00    0.7751    1.4355
     72.00    0.7503    1.4529
     73.00    0.7248    1.4695
     74.00    0.6985    1.4853
     75.00    0.6714    1.5002
     76.00    0.6437    1.5143
     77.00    0.6152    1.5275
     78.00    0.5860    1.5398
     79.00    0.5562    1.5511
     80.00    0.5258    1.5616
     81.00    0.4948    1.5711
     82.00    0.4633    1.5796
     83.00    0.4312    1.5872
     84.00    0.3986    1.5939
     85.00    0.3656    1.5995
     86.00    0.3322    1.6042
     87.00    0.2984    1.6079
     88.00    0.2643    1.6105
     89.00    0.2299    1.6122
     90.00    0.1952    1.6129
     91.00    0.1604    1.6127
     92.00    0.1253    1.6114
     93.00    0.0902    1.6091
     94.00    0.0549    1.6058
     95.00    0.0196    1.6016
     96.00   -0.0156    1.5964
     97.00   -0.0508    1.5902
     98.00   -0.0859    1.5830
