AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:45:19 Compatible with AeroDyn v13.0.
Polar "T1_Re0.300_M0.00_N9.0 360 M" on Foil "T1_Re0.300_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
24.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.00          Angle of attack for zero Cn for linear Cn curve (deg)
3.89556        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5003        Cn at stall value for positive angle of attack for linear Cn curve
-0.6043        Cn at stall value for negative angle of attack for linear Cn curve
-11.00         Angle of attack for minimum CD (deg)
0.0199         Minimum CD value
   -180.00   -0.0278    0.0060
   -179.00    0.0225    0.0065
   -178.00    0.0709    0.0079
   -177.00    0.1159    0.0104
   -176.00    0.1560    0.0138
   -175.00    0.1906    0.0181
   -174.00    0.2201    0.0234
   -173.00    0.2458    0.0297
   -172.00    0.2691    0.0369
   -171.00    0.2909    0.0450
   -170.00    0.3122    0.0540
   -169.00    0.3334    0.0640
   -168.00    0.3546    0.0748
   -167.00    0.3758    0.0866
   -166.00    0.3971    0.0992
   -165.00    0.4184    0.1126
   -164.00    0.4394    0.1269
   -163.00    0.4602    0.1420
   -162.00    0.4807    0.1579
   -161.00    0.5007    0.1746
   -160.00    0.5202    0.1920
   -159.00    0.5391    0.2102
   -158.00    0.5573    0.2291
   -157.00    0.5749    0.2486
   -156.00    0.5917    0.2689
   -155.00    0.6077    0.2898
   -154.00    0.6229    0.3113
   -153.00    0.6373    0.3334
   -152.00    0.6508    0.3560
   -151.00    0.6634    0.3792
   -150.00    0.6751    0.4029
   -149.00    0.6858    0.4271
   -148.00    0.6956    0.4517
   -147.00    0.7044    0.4767
   -146.00    0.7122    0.5021
   -145.00    0.7190    0.5279
   -144.00    0.7248    0.5540
   -143.00    0.7297    0.5804
   -142.00    0.7335    0.6070
   -141.00    0.7363    0.6339
   -140.00    0.7381    0.6610
   -139.00    0.7389    0.6882
   -138.00    0.7387    0.7156
   -137.00    0.7374    0.7430
   -136.00    0.7352    0.7706
   -135.00    0.7320    0.7981
   -134.00    0.7279    0.8257
   -133.00    0.7227    0.8532
   -132.00    0.7166    0.8806
   -131.00    0.7096    0.9079
   -130.00    0.7016    0.9351
   -129.00    0.6927    0.9621
   -128.00    0.6829    0.9889
   -127.00    0.6723    1.0155
   -126.00    0.6608    1.0418
   -125.00    0.6484    1.0678
   -124.00    0.6352    1.0935
   -123.00    0.6212    1.1188
   -122.00    0.6065    1.1437
   -121.00    0.5910    1.1682
   -120.00    0.5747    1.1922
   -119.00    0.5578    1.2158
   -118.00    0.5402    1.2388
   -117.00    0.5219    1.2614
   -116.00    0.5030    1.2833
   -115.00    0.4835    1.3046
   -114.00    0.4634    1.3254
   -113.00    0.4416    1.3454
   -112.00    0.4206    1.3649
   -111.00    0.3990    1.3836
   -110.00    0.3769    1.4016
   -109.00    0.3545    1.4189
   -108.00    0.3316    1.4354
   -107.00    0.3084    1.4511
   -106.00    0.2848    1.4661
   -105.00    0.2610    1.4802
   -104.00    0.2368    1.4935
   -103.00    0.2124    1.5060
   -102.00    0.1878    1.5176
   -101.00    0.1630    1.5283
   -100.00    0.1381    1.5381
    -99.00    0.1130    1.5470
    -98.00    0.0879    1.5551
    -97.00    0.0627    1.5622
    -96.00    0.0374    1.5683
    -95.00    0.0122    1.5736
    -94.00   -0.0131    1.5778
    -93.00   -0.0382    1.5812
    -92.00   -0.0633    1.5836
    -91.00   -0.0882    1.5850
    -90.00   -0.1131    1.5855
    -89.00   -0.1377    1.5850
    -88.00   -0.1621    1.5836
    -87.00   -0.1864    1.5812
    -86.00   -0.2103    1.5778
    -85.00   -0.2340    1.5735
    -84.00   -0.2574    1.5683
    -83.00   -0.2804    1.5621
    -82.00   -0.3031    1.5550
    -81.00   -0.3254    1.5470
    -80.00   -0.3473    1.5381
