AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:45:19 Compatible with AeroDyn v13.0.
Polar "T1_Re1.900_M0.00_N9.0 360 M" on Foil "T1_Re1.900_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
27.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.24          Angle of attack for zero Cn for linear Cn curve (deg)
6.19065        Cn slope for zero lift for linear Cn curve (1/rad)
0.6814         Cn at stall value for positive angle of attack for linear Cn curve
-0.6080        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0135         Minimum CD value
   -180.00   -0.0348    0.0060
   -179.00    0.0498    0.0065
   -178.00    0.1344    0.0079
   -177.00    0.2190    0.0104
   -176.00    0.3036    0.0138
   -175.00    0.3880    0.0181
   -174.00    0.4686    0.0234
   -173.00    0.5336    0.0297
   -172.00    0.5656    0.0369
   -171.00    0.5573    0.0450
   -170.00    0.5235    0.0540
   -169.00    0.4864    0.0640
   -168.00    0.4592    0.0748
   -167.00    0.4445    0.0866
   -166.00    0.4401    0.0992
   -165.00    0.4433    0.1126
   -164.00    0.4516    0.1269
   -163.00    0.4631    0.1420
   -162.00    0.4767    0.1579
   -161.00    0.4914    0.1746
   -160.00    0.5068    0.1920
   -159.00    0.5224    0.2102
   -158.00    0.5378    0.2291
   -157.00    0.5530    0.2486
   -156.00    0.5677    0.2689
   -155.00    0.5818    0.2898
   -154.00    0.5953    0.3113
   -153.00    0.6080    0.3334
   -152.00    0.6200    0.3560
   -151.00    0.6311    0.3792
   -150.00    0.6414    0.4029
   -149.00    0.6508    0.4271
   -148.00    0.6593    0.4517
   -147.00    0.6668    0.4767
   -146.00    0.6735    0.5021
   -145.00    0.6792    0.5279
   -144.00    0.6839    0.5540
   -143.00    0.6877    0.5804
   -142.00    0.6905    0.6070
   -141.00    0.6924    0.6339
   -140.00    0.6934    0.6610
   -139.00    0.6933    0.6882
   -138.00    0.6924    0.7156
   -137.00    0.6905    0.7430
   -136.00    0.6877    0.7706
   -135.00    0.6840    0.7981
   -134.00    0.6794    0.8257
   -133.00    0.6739    0.8532
   -132.00    0.6675    0.8806
   -131.00    0.6603    0.9079
   -130.00    0.6522    0.9351
   -129.00    0.6434    0.9621
   -128.00    0.6337    0.9889
   -127.00    0.6232    1.0155
   -126.00    0.6119    1.0418
   -125.00    0.5999    1.0678
   -124.00    0.5872    1.0935
   -123.00    0.5737    1.1188
   -122.00    0.5596    1.1437
   -121.00    0.5449    1.1682
   -120.00    0.5294    1.1922
   -119.00    0.5134    1.2158
   -118.00    0.4968    1.2388
   -117.00    0.4796    1.2613
   -116.00    0.4619    1.2833
   -115.00    0.4437    1.3046
   -114.00    0.4250    1.3254
   -113.00    0.4058    1.3454
   -112.00    0.3862    1.3649
   -111.00    0.3662    1.3836
   -110.00    0.3458    1.4016
   -109.00    0.3250    1.4189
   -108.00    0.3039    1.4354
   -107.00    0.2825    1.4511
   -106.00    0.2608    1.4661
   -105.00    0.2385    1.4802
   -104.00    0.2164    1.4935
   -103.00    0.1941    1.5060
   -102.00    0.1715    1.5175
   -101.00    0.1489    1.5283
   -100.00    0.1261    1.5381
    -99.00    0.1033    1.5470
    -98.00    0.0803    1.5550
    -97.00    0.0574    1.5621
    -96.00    0.0344    1.5683
    -95.00    0.0114    1.5735
    -94.00   -0.0115    1.5778
    -93.00   -0.0344    1.5812
    -92.00   -0.0572    1.5836
    -91.00   -0.0799    1.5850
    -90.00   -0.1025    1.5855
    -89.00   -0.1249    1.5850
    -88.00   -0.1472    1.5836
    -87.00   -0.1692    1.5812
    -86.00   -0.1910    1.5778
    -85.00   -0.2126    1.5735
    -84.00   -0.2339    1.5683
    -83.00   -0.2549    1.5621
    -82.00   -0.2757    1.5550
    -81.00   -0.2961    1.5470
    -80.00   -0.3161    1.5381
    -79.00   -0.3358    1.5282
    -78.00   -0.3551    1.5175
    -77.00   -0.3740    1.5059
    -76.00   -0.3925    1.4935
    -75.00   -0.4105    1.4801
    -74.00   -0.4281    1.4660
    -73.00   -0.4452    1.4511
    -72.00   -0.4618    1.4353
    -71.00   -0.4779    1.4188
    -70.00   -0.4935    1.4015
    -69.00   -0.5086    1.3835
    -68.00   -0.5231    1.3648
    -67.00   -0.5370    1.3453
    -66.00   -0.5504    1.3253
    -65.00   -0.5631    1.3045
    -64.00   -0.5753    1.2832
    -63.00   -0.5869    1.2612
    -62.00   -0.5978    1.2387
    -61.00   -0.6081    1.2157
    -60.00   -0.6177    1.1921
    -59.00   -0.6267    1.1681
    -58.00   -0.6351    1.1436
    -57.00   -0.6427    1.1186
    -56.00   -0.6497    1.0933
    -55.00   -0.6560    1.0676
    -54.00   -0.6616    1.0416
    -53.00   -0.6664    1.0153
    -52.00   -0.6706    0.9887
    -51.00   -0.6741    0.9619
    -50.00   -0.6768    0.9348
    -49.00   -0.6789    0.9076
    -48.00   -0.6802    0.8803
    -47.00   -0.6808    0.8528
    -46.00   -0.6806    0.8253
    -45.00   -0.6798    0.7978
    -44.00   -0.6782    0.7702
    -43.00   -0.6759    0.7426
    -42.00   -0.6728    0.7152
    -41.00   -0.6691    0.6878
    -40.00   -0.6646    0.6605
    -39.00   -0.6595    0.6334
    -38.00   -0.6536    0.6064
    -37.00   -0.6470    0.5797
    -36.00   -0.6398    0.5533
    -35.00   -0.6319    0.5271
    -34.00   -0.6234    0.5013
    -33.00   -0.6142    0.4758
    -32.00   -0.6045    0.4507
    -31.00   -0.5941    0.4259
    -30.00   -0.5832    0.4017
    -29.00   -0.5719    0.3778
    -28.00   -0.5601    0.3545
    -27.00   -0.5479    0.3316
    -26.00   -0.5354    0.3093
    -25.00   -0.5228    0.2875
    -24.00   -0.5102    0.2663
    -23.00   -0.4979    0.2457
    -22.00   -0.4860    0.2256
    -21.00   -0.4752    0.2061
    -20.00   -0.4659    0.1871
    -19.00   -0.4591    0.1687
    -18.00   -0.4561    0.1507
    -17.00   -0.4590    0.1331
    -16.00   -0.4708    0.1157
    -15.00   -0.4957    0.0984
    -14.00   -0.5392    0.0810
    -13.00   -0.6056    0.0636
    -12.00   -0.6910    0.0470
    -11.00   -0.7729    0.0328
    -10.00   -0.7410    0.0243
     -9.50   -0.7115    0.0227
     -9.00   -0.6801    0.0212
     -8.50   -0.6459    0.0200
     -8.00   -0.6113    0.0188
     -7.50   -0.5754    0.0177
     -7.00   -0.5381    0.0168
     -6.50   -0.4999    0.0159
     -6.00   -0.4635    0.0152
     -5.50   -0.4388    0.0146
     -5.00   -0.3944    0.0143
     -4.50   -0.3460    0.0141
     -4.00   -0.2954    0.0139
     -3.50   -0.2434    0.0138
     -3.00   -0.1904    0.0137
