AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:37:46 Compatible with AeroDyn v13.0.
Polar "T1_Re1.500_M0.00_N9.0 360 M" on Foil "T1_Re1.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.44          Angle of attack for zero Cn for linear Cn curve (deg)
6.59193        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7721        Cn at stall value for positive angle of attack for linear Cn curve
-0.9263        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0098         Minimum CD value
   -180.00   -0.0426    0.0060
   -179.00    0.0491    0.0065
   -178.00    0.1409    0.0081
   -177.00    0.2326    0.0106
   -176.00    0.3231    0.0143
   -175.00    0.4057    0.0189
   -174.00    0.4671    0.0245
   -173.00    0.4945    0.0312
   -172.00    0.4891    0.0388
   -171.00    0.4669    0.0475
   -170.00    0.4442    0.0571
   -169.00    0.4292    0.0677
   -168.00    0.4233    0.0792
   -167.00    0.4252    0.0917
   -166.00    0.4327    0.1051
   -165.00    0.4441    0.1195
   -164.00    0.4581    0.1347
   -163.00    0.4738    0.1507
   -162.00    0.4903    0.1677
   -161.00    0.5073    0.1854
   -160.00    0.5243    0.2040
   -159.00    0.5412    0.2233
   -158.00    0.5577    0.2434
   -157.00    0.5737    0.2642
   -156.00    0.5891    0.2858
   -155.00    0.6037    0.3080
   -154.00    0.6176    0.3309
   -153.00    0.6307    0.3544
   -152.00    0.6429    0.3785
   -151.00    0.6542    0.4032
   -150.00    0.6646    0.4284
   -149.00    0.6740    0.4542
   -148.00    0.6824    0.4804
   -147.00    0.6899    0.5070
   -146.00    0.6964    0.5341
   -145.00    0.7019    0.5615
   -144.00    0.7064    0.5893
   -143.00    0.7100    0.6174
   -142.00    0.7125    0.6458
   -141.00    0.7140    0.6744
   -140.00    0.7146    0.7032
   -139.00    0.7142    0.7322
   -138.00    0.7128    0.7613
   -137.00    0.7105    0.7906
   -136.00    0.7072    0.8199
   -135.00    0.7030    0.8492
   -134.00    0.6979    0.8785
   -133.00    0.6918    0.9078
   -132.00    0.6849    0.9370
   -131.00    0.6771    0.9661
   -130.00    0.6685    0.9951
   -129.00    0.6590    1.0238
   -128.00    0.6487    1.0524
   -127.00    0.6377    1.0807
   -126.00    0.6258    1.1087
   -125.00    0.6132    1.1364
   -124.00    0.5999    1.1637
   -123.00    0.5859    1.1907
   -122.00    0.5712    1.2172
   -121.00    0.5559    1.2433
   -120.00    0.5399    1.2689
   -119.00    0.5234    1.2940
   -118.00    0.5062    1.3185
   -117.00    0.4885    1.3425
   -116.00    0.4703    1.3658
   -115.00    0.4516    1.3886
   -114.00    0.4323    1.4106
   -113.00    0.4127    1.4320
   -112.00    0.3926    1.4527
   -111.00    0.3722    1.4726
   -110.00    0.3513    1.4918
   -109.00    0.3301    1.5102
   -108.00    0.3086    1.5278
   -107.00    0.2864    1.5446
   -106.00    0.2643    1.5605
   -105.00    0.2421    1.5755
   -104.00    0.2196    1.5897
   -103.00    0.1969    1.6030
   -102.00    0.1741    1.6153
   -101.00    0.1511    1.6267
   -100.00    0.1280    1.6372
    -99.00    0.1049    1.6467
    -98.00    0.0817    1.6553
    -97.00    0.0584    1.6628
    -96.00    0.0351    1.6694
    -95.00    0.0119    1.6750
    -94.00   -0.0113    1.6795
    -93.00   -0.0345    1.6831
    -92.00   -0.0575    1.6856
    -91.00   -0.0805    1.6872
    -90.00   -0.1033    1.6877
    -89.00   -0.1260    1.6872
    -88.00   -0.1485    1.6856
    -87.00   -0.1708    1.6831
    -86.00   -0.1929    1.6795
    -85.00   -0.2147    1.6750
    -84.00   -0.2363    1.6694
    -83.00   -0.2576    1.6628
    -82.00   -0.2786    1.6552
    -81.00   -0.2993    1.6467
    -80.00   -0.3196    1.6372
    -79.00   -0.3396    1.6267
    -78.00   -0.3592    1.6153
    -77.00   -0.3784    1.6029
    -76.00   -0.3972    1.5897
    -75.00   -0.4156    1.5755
    -74.00   -0.4335    1.5604
    -73.00   -0.4510    1.5445
    -72.00   -0.4680    1.5278
    -71.00   -0.4845    1.5102
    -70.00   -0.5005    1.4918
    -69.00   -0.5159    1.4726
    -68.00   -0.5308    1.4526
    -67.00   -0.5452    1.4319
    -66.00   -0.5590    1.4106
    -65.00   -0.5722    1.3885
    -64.00   -0.5848    1.3657
    -63.00   -0.5968    1.3424
    -62.00   -0.6082    1.3184
    -61.00   -0.6189    1.2939
    -60.00   -0.6290    1.2688
    -59.00   -0.6385    1.2432
    -58.00   -0.6473    1.2171
    -57.00   -0.6554    1.1905
    -56.00   -0.6628    1.1636
    -55.00   -0.6696    1.1362
    -54.00   -0.6756    1.1085
    -53.00   -0.6810    1.0805
    -52.00   -0.6856    1.0522
    -51.00   -0.6895    1.0236
    -50.00   -0.6927    0.9948
    -49.00   -0.6951    0.9659
    -48.00   -0.6968    0.9367
    -47.00   -0.6978    0.9075
    -46.00   -0.6981    0.8782
    -45.00   -0.6976    0.8489
    -44.00   -0.6963    0.8195
    -43.00   -0.6943    0.7902
    -42.00   -0.6916    0.7609
    -41.00   -0.6881    0.7317
    -40.00   -0.6839    0.7027
    -39.00   -0.6790    0.6738
    -38.00   -0.6733    0.6452
    -37.00   -0.6670    0.6167
    -36.00   -0.6599    0.5886
    -35.00   -0.6521    0.5607
