AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:45:19 Compatible with AeroDyn v13.0.
Polar "T1_Re0.200_M0.00_N9.0 360 M" on Foil "T1_Re0.200_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
24.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.92          Angle of attack for zero Cn for linear Cn curve (deg)
3.25273        Cn slope for zero lift for linear Cn curve (1/rad)
0.5269         Cn at stall value for positive angle of attack for linear Cn curve
-0.5684        Cn at stall value for negative angle of attack for linear Cn curve
-11.00         Angle of attack for minimum CD (deg)
0.0187         Minimum CD value
   -180.00   -0.0252    0.0060
   -179.00    0.0210    0.0065
   -178.00    0.0663    0.0079
   -177.00    0.1097    0.0104
   -176.00    0.1501    0.0138
   -175.00    0.1863    0.0181
   -174.00    0.2181    0.0234
   -173.00    0.2460    0.0297
   -172.00    0.2709    0.0369
   -171.00    0.2938    0.0450
   -170.00    0.3158    0.0540
   -169.00    0.3374    0.0640
   -168.00    0.3588    0.0748
   -167.00    0.3803    0.0866
   -166.00    0.4017    0.0992
   -165.00    0.4231    0.1126
   -164.00    0.4444    0.1269
   -163.00    0.4654    0.1420
   -162.00    0.4861    0.1579
   -161.00    0.5064    0.1746
   -160.00    0.5261    0.1920
   -159.00    0.5453    0.2102
   -158.00    0.5639    0.2291
   -157.00    0.5818    0.2486
   -156.00    0.5989    0.2689
   -155.00    0.6153    0.2898
   -154.00    0.6308    0.3113
   -153.00    0.6455    0.3334
   -152.00    0.6594    0.3560
   -151.00    0.6723    0.3792
   -150.00    0.6843    0.4029
   -149.00    0.6954    0.4271
   -148.00    0.7055    0.4517
   -147.00    0.7146    0.4767
   -146.00    0.7227    0.5021
   -145.00    0.7299    0.5279
   -144.00    0.7360    0.5540
   -143.00    0.7411    0.5804
   -142.00    0.7452    0.6070
   -141.00    0.7482    0.6339
   -140.00    0.7503    0.6610
   -139.00    0.7513    0.6882
   -138.00    0.7513    0.7156
   -137.00    0.7502    0.7430
   -136.00    0.7482    0.7706
   -135.00    0.7451    0.7981
   -134.00    0.7411    0.8257
   -133.00    0.7360    0.8532
   -132.00    0.7300    0.8806
   -131.00    0.7230    0.9079
   -130.00    0.7150    0.9351
   -129.00    0.7062    0.9621
   -128.00    0.6964    0.9889
   -127.00    0.6856    1.0155
   -126.00    0.6741    1.0418
   -125.00    0.6616    1.0678
   -124.00    0.6483    1.0935
   -123.00    0.6341    1.1188
   -122.00    0.6192    1.1437
   -121.00    0.6035    1.1682
   -120.00    0.5870    1.1922
   -119.00    0.5698    1.2158
   -118.00    0.5519    1.2388
   -117.00    0.5334    1.2613
   -116.00    0.5141    1.2833
   -115.00    0.4943    1.3046
   -114.00    0.4738    1.3254
   -113.00    0.4528    1.3454
   -112.00    0.4301    1.3649
   -111.00    0.4081    1.3836
   -110.00    0.3856    1.4016
   -109.00    0.3627    1.4189
   -108.00    0.3393    1.4354
   -107.00    0.3156    1.4511
   -106.00    0.2915    1.4661
   -105.00    0.2671    1.4802
   -104.00    0.2423    1.4935
   -103.00    0.2174    1.5060
   -102.00    0.1922    1.5176
   -101.00    0.1668    1.5283
   -100.00    0.1413    1.5381
    -99.00    0.1156    1.5470
    -98.00    0.0899    1.5550
    -97.00    0.0640    1.5621
    -96.00    0.0381    1.5683
    -95.00    0.0123    1.5735
    -94.00   -0.0136    1.5778
    -93.00   -0.0394    1.5812
    -92.00   -0.0651    1.5836
    -91.00   -0.0906    1.5850
    -90.00   -0.1161    1.5855
    -89.00   -0.1413    1.5850
    -88.00   -0.1664    1.5836
    -87.00   -0.1912    1.5812
    -86.00   -0.2157    1.5778
    -85.00   -0.2400    1.5735
    -84.00   -0.2640    1.5683
    -83.00   -0.2876    1.5621
    -82.00   -0.3108    1.5550
    -81.00   -0.3336    1.5470
    -80.00   -0.3561    1.5381
    -79.00   -0.3780    1.5282
    -78.00   -0.3996    1.5175
    -77.00   -0.4206    1.5059
    -76.00   -0.4411    1.4935
    -75.00   -0.4611    1.4802
    -74.00   -0.4805    1.4660
    -73.00   -0.4994    1.4511
    -72.00   -0.5177    1.4353
    -71.00   -0.5353    1.4188
    -70.00   -0.5524    1.4015
    -69.00   -0.5688    1.3835
    -68.00   -0.5845    1.3648
    -67.00   -0.5996    1.3454
    -66.00   -0.6139    1.3253
    -65.00   -0.6276    1.3045
    -64.00   -0.6406    1.2832
    -63.00   -0.6528    1.2612
    -62.00   -0.6643    1.2387
    -61.00   -0.6750    1.2157
    -60.00   -0.6850    1.1921
    -59.00   -0.6942    1.1681
    -58.00   -0.7026    1.1436
    -57.00   -0.7103    1.1187
    -56.00   -0.7171    1.0933
    -55.00   -0.7232    1.0676
    -54.00   -0.7285    1.0416
    -53.00   -0.7329    1.0153
    -52.00   -0.7366    0.9887
    -51.00   -0.7395    0.9619
    -50.00   -0.7415    0.9349
    -49.00   -0.7427    0.9077
    -48.00   -0.7431    0.8803
    -47.00   -0.7427    0.8529
    -46.00   -0.7415    0.8253
    -45.00   -0.7395    0.7978
    -44.00   -0.7367    0.7702
    -43.00   -0.7331    0.7426
    -42.00   -0.7287    0.7151
    -41.00   -0.7236    0.6877
    -40.00   -0.7176    0.6605
    -39.00   -0.7109    0.6333
    -38.00   -0.7034    0.6064
    -37.00   -0.6952    0.5797
    -36.00   -0.6863    0.5532
    -35.00   -0.6766    0.5271
    -34.00   -0.6663    0.5012
    -33.00   -0.6553    0.4757
    -32.00   -0.6436    0.4505
    -31.00   -0.6313    0.4257
    -30.00   -0.6184    0.4014
    -29.00   -0.6050    0.3775
    -28.00   -0.5911    0.3540
    -27.00   -0.5767    0.3311
    -26.00   -0.5620    0.3086
    -25.00   -0.5471    0.2866
    -24.00   -0.5322    0.2651
    -23.00   -0.5175    0.2441
    -22.00   -0.5033    0.2235
    -21.00   -0.4902    0.2032
    -20.00   -0.4791    0.1832
    -19.00   -0.4712    0.1631
    -18.00   -0.4688    0.1428
    -17.00   -0.4747    0.1217
    -16.00   -0.4932    0.0994
    -15.00   -0.5272    0.0759
    -14.00   -0.5720    0.0528
    -13.00   -0.6077    0.0340
    -12.00   -0.6097    0.0229
    -11.00   -0.5754    0.0187
    -10.00   -0.4852    0.0462
     -9.50   -0.4589    0.0439
     -9.00   -0.4313    0.0417
     -8.50   -0.4044    0.0396
     -8.00   -0.3766    0.0377
     -7.50   -0.3495    0.0358
     -7.00   -0.3216    0.0341
     -6.50   -0.2940    0.0325
     -6.00   -0.2654    0.0310
     -5.50   -0.2370    0.0297
     -5.00   -0.2085    0.0284
     -4.50   -0.1799    0.0272
     -4.00   -0.1522    0.0262
     -3.50   -0.1268    0.0253
     -3.00   -0.1084    0.0246
     -2.50   -0.0958    0.0240
     -2.00   -0.0689    0.0237
     -1.50   -0.0380    0.0235
     -1.00   -0.0054    0.0234
     -0.50    0.0273    0.0234
      0.00    0.0587    0.0234
      0.50    0.0820    0.0236
      1.00    0.1082    0.0239
      1.50    0.1404    0.0245
      2.00    0.1749    0.0252
      2.50    0.2099    0.0261
      3.00    0.2448    0.0270
      3.50    0.2790    0.0282
      4.00    0.3126    0.0294
      4.50    0.3457    0.0308
      5.00    0.3775    0.0323
      5.50    0.4089    0.0339
      6.00    0.4390    0.0357
      6.50    0.4680    0.0377
      7.00    0.4974    0.0397
      7.50    0.5259    0.0419
      8.00    0.5543    0.0443
      8.50    0.5819    0.0467
      9.00    0.6084    0.0494
      9.50    0.6360    0.0520
     10.00    0.6612    0.0549
     10.50    0.6874    0.0578
     11.00    0.7132    0.0607
     11.50    0.7363    0.0640
     12.00    0.7614    0.0672
     12.50    0.7862    0.0704
     13.00    0.8081    0.0740
     13.50    0.8315    0.0775
     14.00    0.8548    0.0810
     14.50    0.8767    0.0847
     15.00    0.8968    0.0887
     15.50    0.9186    0.0925
     16.00    0.9400    0.0963
     16.50    0.9594    0.1005
     17.00    0.9783    0.1048
     17.50    0.9986    0.1088
     18.00    1.0184    0.1129
     18.50    1.0357    0.1173
     19.00    1.0519    0.1218
     19.50    1.0708    0.1259
     20.00    1.0890    0.1301
     20.50    1.1054    0.1346
     21.00    1.1199    0.1393
     21.50    1.1379    0.1435
     22.00    1.1562    0.1476
     22.50    1.1743    0.1516
     23.00    1.1931    0.1555
     23.50    1.2105    0.1594
     24.00    1.2268    0.1634
     24.50    1.2363    0.1683
     25.00    1.2045    0.1806
     25.50    1.2293    0.1826
     26.00    1.1814    0.1981
     26.50    1.1965    0.2023
     27.50    0.9402    0.2940
     28.00    0.9328    0.3119
     28.50    0.9370    0.3251
     29.00    0.9574    0.3347
     29.50    0.9656    0.3470
     30.00    0.9738    0.3585
     31.00    0.9186    0.3600
     32.00    0.8973    0.3963
     33.00    0.8825    0.4310
     34.00    0.8726    0.4645
     35.00    0.8665    0.4970
     36.00    0.8631    0.5287
     37.00    0.8617    0.5599
     38.00    0.8617    0.5906
     39.00    0.8627    0.6210
     40.00    0.8642    0.6511
     41.00    0.8659    0.6810
     42.00    0.8677    0.7108
     43.00    0.8694    0.7404
     44.00    0.8708    0.7698
     45.00    0.8717    0.7991
     46.00    0.8722    0.8283
     47.00    0.8721    0.8573
     48.00    0.8714    0.8861
     49.00    0.8699    0.9148
     50.00    0.8678    0.9432
     51.00    0.8649    0.9714
     52.00    0.8612    0.9994
     53.00    0.8567    1.0270
     54.00    0.8514    1.0544
     55.00    0.8452    1.0814
     56.00    0.8381    1.1080
     57.00    0.8302    1.1343
     58.00    0.8215    1.1601
     59.00    0.8118    1.1854
     60.00    0.8013    1.2103
     61.00    0.7899    1.2347
     62.00    0.7777    1.2586
     63.00    0.7646    1.2819
     64.00    0.7506    1.3045
     65.00    0.7358    1.3266
     66.00    0.7201    1.3481
     67.00    0.7036    1.3688
     68.00    0.6863    1.3889
     69.00    0.6682    1.4083
     70.00    0.6494    1.4269
     71.00    0.6297    1.4448
     72.00    0.6093    1.4618
     73.00    0.5882    1.4781
     74.00    0.5664    1.4936
     75.00    0.5438    1.5082
     76.00    0.5206    1.5220
     77.00    0.4968    1.5349
     78.00    0.4724    1.5469
     79.00    0.4473    1.5579
     80.00    0.4217    1.5681
     81.00    0.3956    1.5774
     82.00    0.3689    1.5857
     83.00    0.3418    1.5930
     84.00    0.3142    1.5994
     85.00    0.2863    1.6049
     86.00    0.2579    1.6093
     87.00    0.2292    1.6128
     88.00    0.2002    1.6153
     89.00    0.1709    1.6168
     90.00    0.1413    1.6173
     91.00    0.1116    1.6168
     92.00    0.0816    1.6154
     93.00    0.0516    1.6129
     94.00    0.0214    1.6095
     95.00   -0.0088    1.6051
     96.00   -0.0390    1.5997
     97.00   -0.0692    1.5934
     98.00   -0.0994    1.5861
     99.00   -0.1295    1.5779
    100.00   -0.1594    1.5687
    101.00   -0.1892    1.5586
    102.00   -0.2187    1.5475
    103.00   -0.2480    1.5356
    104.00   -0.2770    1.5228
    105.00   -0.3057    1.5091
    106.00   -0.3340    1.4945
    107.00   -0.3619    1.4792
    108.00   -0.3893    1.4630
    109.00   -0.4163    1.4460
    110.00   -0.4428    1.4282
    111.00   -0.4687    1.4097
    112.00   -0.4959    1.3904
    113.00   -0.5206    1.3705
    114.00   -0.5446    1.3498
    115.00   -0.5679    1.3285
    116.00   -0.5905    1.3066
    117.00   -0.6124    1.2841
    118.00   -0.6334    1.2610
    119.00   -0.6537    1.2373
    120.00   -0.6731    1.2131
    121.00   -0.6916    1.1885
    122.00   -0.7092    1.1633
    123.00   -0.7258    1.1378
    124.00   -0.7415    1.1118
    125.00   -0.7563    1.0855
    126.00   -0.7700    1.0588
    127.00   -0.7827    1.0319
    128.00   -0.7944    1.0047
    129.00   -0.8050    0.9772
    130.00   -0.8145    0.9496
    131.00   -0.8230    0.9217
    132.00   -0.8303    0.8938
    133.00   -0.8366    0.8657
    134.00   -0.8417    0.8376
    135.00   -0.8457    0.8095
    136.00   -0.8485    0.7814
    137.00   -0.8503    0.7533
    138.00   -0.8509    0.7252
    139.00   -0.8503    0.6973
    140.00   -0.8486    0.6695
    141.00   -0.8458    0.6419
    142.00   -0.8418    0.6146
    143.00   -0.8367    0.5874
    144.00   -0.8305    0.5605
    145.00   -0.8233    0.5340
    146.00   -0.8149    0.5078
    147.00   -0.8054    0.4819
    148.00   -0.7950    0.4565
    149.00   -0.7834    0.4315
    150.00   -0.7709    0.4069
    151.00   -0.7574    0.3829
    152.00   -0.7430    0.3593
    153.00   -0.7276    0.3364
    154.00   -0.7114    0.3140
    155.00   -0.6943    0.2922
    156.00   -0.6765    0.2711
    157.00   -0.6579    0.2506
    158.00   -0.6386    0.2308
    159.00   -0.6187    0.2117
    160.00   -0.5983    0.1933
    161.00   -0.5775    0.1757
    162.00   -0.5563    0.1588
    163.00   -0.5348    0.1428
    164.00   -0.5132    0.1276
    165.00   -0.4916    0.1132
    166.00   -0.4702    0.0996
    167.00   -0.4489    0.0869
    168.00   -0.4279    0.0751
    169.00   -0.4070    0.0642
    170.00   -0.3859    0.0542
    171.00   -0.3639    0.0451
    172.00   -0.3401    0.0370
    173.00   -0.3131    0.0297
    174.00   -0.2820    0.0235
    175.00   -0.2462    0.0181
    176.00   -0.2062    0.0138
    177.00   -0.1630    0.0104
    178.00   -0.1178    0.0079
    179.00   -0.0717    0.0065
    180.00   -0.0252    0.0060
    180.00   -0.0252    0.0060
