AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:45:19 Compatible with AeroDyn v13.0.
Polar "T1_Re3.900_M0.00_N9.0 360 M" on Foil "T1_Re3.900_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
30.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.30          Angle of attack for zero Cn for linear Cn curve (deg)
6.51705        Cn slope for zero lift for linear Cn curve (1/rad)
0.7873         Cn at stall value for positive angle of attack for linear Cn curve
-0.6711        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0117         Minimum CD value
   -180.00   -0.0360    0.0060
   -179.00    0.0540    0.0065
   -178.00    0.1439    0.0079
   -177.00    0.2339    0.0104
   -176.00    0.3239    0.0138
   -175.00    0.4139    0.0181
   -174.00    0.5038    0.0234
   -173.00    0.5938    0.0297
   -172.00    0.6838    0.0369
   -171.00    0.7704    0.0450
   -170.00    0.8302    0.0540
   -169.00    0.8218    0.0640
   -168.00    0.7402    0.0748
   -167.00    0.6383    0.0866
   -166.00    0.5606    0.0992
   -165.00    0.5150    0.1126
   -164.00    0.4935    0.1269
   -163.00    0.4872    0.1420
   -162.00    0.4899    0.1579
   -161.00    0.4979    0.1746
   -160.00    0.5090    0.1920
   -159.00    0.5217    0.2102
   -158.00    0.5353    0.2291
   -157.00    0.5491    0.2486
   -156.00    0.5629    0.2689
   -155.00    0.5763    0.2898
   -154.00    0.5892    0.3113
   -153.00    0.6015    0.3334
   -152.00    0.6130    0.3560
   -151.00    0.6238    0.3792
   -150.00    0.6338    0.4029
   -149.00    0.6429    0.4271
   -148.00    0.6511    0.4517
   -147.00    0.6584    0.4767
   -146.00    0.6648    0.5021
   -145.00    0.6703    0.5279
   -144.00    0.6748    0.5540
   -143.00    0.6784    0.5804
   -142.00    0.6810    0.6070
   -141.00    0.6827    0.6339
   -140.00    0.6835    0.6610
   -139.00    0.6833    0.6882
   -138.00    0.6822    0.7156
   -137.00    0.6802    0.7430
   -136.00    0.6773    0.7706
   -135.00    0.6735    0.7981
   -134.00    0.6688    0.8257
   -133.00    0.6632    0.8532
