AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:35:09 Compatible with AeroDyn v13.0.
Polar "T1_Re0.600_M0.00_N9.0 360 M" on Foil "T1_Re0.600_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.39429        Cn slope for zero lift for linear Cn curve (1/rad)
-0.9530        Cn at stall value for positive angle of attack for linear Cn curve
-0.9985        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0122         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0581    0.0065
   -178.00    0.1057    0.0081
   -177.00    0.1455    0.0107
   -176.00    0.1799    0.0143
   -175.00    0.2110    0.0189
   -174.00    0.2399    0.0246
   -173.00    0.2677    0.0312
   -172.00    0.2949    0.0389
   -171.00    0.3216    0.0475
   -170.00    0.3481    0.0572
   -169.00    0.3744    0.0678
   -168.00    0.4004    0.0794
   -167.00    0.4263    0.0919
   -166.00    0.4518    0.1054
   -165.00    0.4769    0.1197
   -164.00    0.5016    0.1350
   -163.00    0.5258    0.1511
   -162.00    0.5495    0.1681
   -161.00    0.5726    0.1860
   -160.00    0.5950    0.2046
   -159.00    0.6167    0.2240
   -158.00    0.6377    0.2442
   -157.00    0.6579    0.2652
   -156.00    0.6773    0.2869
   -155.00    0.6957    0.3092
   -154.00    0.7133    0.3323
   -153.00    0.7299    0.3559
   -152.00    0.7456    0.3802
   -151.00    0.7603    0.4050
   -150.00    0.7740    0.4304
   -149.00    0.7866    0.4563
   -148.00    0.7982    0.4827
   -147.00    0.8087    0.5096
   -146.00    0.8181    0.5369
   -145.00    0.8263    0.5645
   -144.00    0.8335    0.5925
   -143.00    0.8396    0.6209
   -142.00    0.8445    0.6495
   -141.00    0.8482    0.6784
   -140.00    0.8508    0.7075
   -139.00    0.8523    0.7367
   -138.00    0.8526    0.7661
   -137.00    0.8517    0.7956
   -136.00    0.8498    0.8252
   -135.00    0.8466    0.8548
   -134.00    0.8424    0.8845
   -133.00    0.8370    0.9141
   -132.00    0.8305    0.9436
   -131.00    0.8229    0.9730
   -130.00    0.8141    1.0022
   -129.00    0.8044    1.0313
   -128.00    0.7935    1.0602
   -127.00    0.7816    1.0888
   -126.00    0.7687    1.1171
   -125.00    0.7548    1.1451
   -124.00    0.7399    1.1728
   -123.00    0.7240    1.2001
   -122.00    0.7072    1.2269
   -121.00    0.6895    1.2533
   -120.00    0.6709    1.2792
   -119.00    0.6481    1.3046
   -118.00    0.6279    1.3295
   -117.00    0.6068    1.3537
   -116.00    0.5850    1.3774
   -115.00    0.5624    1.4004
   -114.00    0.5391    1.4227
   -113.00    0.5151    1.4444
   -112.00    0.4905    1.4653
   -111.00    0.4653    1.4855
   -110.00    0.4395    1.5050
   -109.00    0.4132    1.5236
   -108.00    0.3864    1.5414
   -107.00    0.3591    1.5584
   -106.00    0.3314    1.5745
   -105.00    0.3033    1.5898
   -104.00    0.2748    1.6041
   -103.00    0.2461    1.6176
   -102.00    0.2170    1.6301
   -101.00    0.1877    1.6416
   -100.00    0.1583    1.6522
    -99.00    0.1286    1.6619
    -98.00    0.0988    1.6705
    -97.00    0.0690    1.6782
    -96.00    0.0390    1.6848
    -95.00    0.0091    1.6904
    -94.00   -0.0208    1.6950
    -93.00   -0.0507    1.6986
    -92.00   -0.0804    1.7012
    -91.00   -0.1100    1.7027
    -90.00   -0.1395    1.7032
    -89.00   -0.1688    1.7027
    -88.00   -0.1978    1.7011
    -87.00   -0.2265    1.6985
    -86.00   -0.2550    1.6948
    -85.00   -0.2831    1.6902
    -84.00   -0.3108    1.6845
    -83.00   -0.3382    1.6778
    -82.00   -0.3651    1.6701
    -81.00   -0.3915    1.6614
    -80.00   -0.4175    1.6517
    -79.00   -0.4429    1.6410
    -78.00   -0.4678    1.6294
    -77.00   -0.4922    1.6168
    -76.00   -0.5159    1.6033
    -75.00   -0.5391    1.5889
    -74.00   -0.5615    1.5736
    -73.00   -0.5834    1.5574
    -72.00   -0.6045    1.5403
    -71.00   -0.6249    1.5224
    -70.00   -0.6446    1.5037
    -69.00   -0.6636    1.4842
    -68.00   -0.6818    1.4639
    -67.00   -0.6992    1.4429
    -66.00   -0.7158    1.4211
    -65.00   -0.7316    1.3987
    -64.00   -0.7467    1.3755
    -63.00   -0.7608    1.3518
    -62.00   -0.7742    1.3274
    -61.00   -0.7867    1.3024
    -60.00   -0.7983    1.2769
    -59.00   -0.8091    1.2509
    -58.00   -0.8190    1.2244
    -57.00   -0.8281    1.1974
    -56.00   -0.8363    1.1699
    -55.00   -0.8436    1.1421
    -54.00   -0.8501    1.1139
    -53.00   -0.8557    1.0854
    -52.00   -0.8604    1.0566
    -51.00   -0.8643    1.0276
    -50.00   -0.8673    0.9983
    -49.00   -0.8695    0.9688
    -48.00   -0.8709    0.9391
    -47.00   -0.8715    0.9093
    -46.00   -0.8713    0.8794
    -45.00   -0.8703    0.8495
    -44.00   -0.8686    0.8196
    -43.00   -0.8662    0.7896
    -42.00   -0.8631    0.7597
    -41.00   -0.8593    0.7299
    -40.00   -0.8550    0.7002
    -39.00   -0.8501    0.6706
    -38.00   -0.8447    0.6412
    -37.00   -0.8388    0.6120
    -36.00   -0.8326    0.5830
    -35.00   -0.8262    0.5543
    -34.00   -0.8195    0.5259
    -33.00   -0.8128    0.4978
    -32.00   -0.8062    0.4700
    -31.00   -0.7998    0.4426
    -30.00   -0.7938    0.4156
    -29.00   -0.7885    0.3889
    -28.00   -0.7841    0.3627
    -27.00   -0.7809    0.3369
    -26.00   -0.7793    0.3115
    -25.00   -0.7797    0.2866
    -24.00   -0.7826    0.2621
    -23.00   -0.7886    0.2381
    -22.00   -0.7984    0.2145
    -21.00   -0.8125    0.1915
    -20.00   -0.8315    0.1690
    -19.00   -0.8561    0.1472
    -18.00   -0.8863    0.1261
    -17.00   -0.9215    0.1060
    -16.00   -0.9601    0.0870
    -15.00   -0.9992    0.0697
    -14.00   -1.0340    0.0544
    -13.00   -1.0584    0.0414
    -12.00   -1.0659    0.0312
