AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:28:29 Compatible with AeroDyn v13.0.
Polar "T1_Re0.600_M0.00_N9.0 360 M" on Foil "T1_Re0.600_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
6.25478        Cn slope for zero lift for linear Cn curve (1/rad)
1.0123         Cn at stall value for positive angle of attack for linear Cn curve
-1.0115        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0135         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0519    0.0065
   -178.00    0.0957    0.0080
   -177.00    0.1336    0.0106
   -176.00    0.1674    0.0141
   -175.00    0.1986    0.0187
   -174.00    0.2282    0.0242
   -173.00    0.2566    0.0308
   -172.00    0.2843    0.0383
   -171.00    0.3116    0.0468
   -170.00    0.3384    0.0563
   -169.00    0.3650    0.0668
   -168.00    0.3912    0.0781
   -167.00    0.4171    0.0904
   -166.00    0.4425    0.1037
   -165.00    0.4676    0.1178
   -164.00    0.4921    0.1328
   -163.00    0.5162    0.1486
   -162.00    0.5396    0.1653
   -161.00    0.5625    0.1829
   -160.00    0.5846    0.2012
   -159.00    0.6061    0.2203
   -158.00    0.6268    0.2401
   -157.00    0.6467    0.2607
   -156.00    0.6657    0.2820
   -155.00    0.6839    0.3040
   -154.00    0.7012    0.3266
   -153.00    0.7176    0.3499
   -152.00    0.7331    0.3737
   -151.00    0.7475    0.3982
   -150.00    0.7609    0.4231
   -149.00    0.7734    0.4486
   -148.00    0.7847    0.4745
   -147.00    0.7951    0.5009
   -146.00    0.8043    0.5277
   -145.00    0.8124    0.5549
   -144.00    0.8195    0.5824
   -143.00    0.8254    0.6103
   -142.00    0.8302    0.6384
   -141.00    0.8339    0.6668
   -140.00    0.8365    0.6954
   -139.00    0.8379    0.7241
   -138.00    0.8382    0.7530
   -137.00    0.8374    0.7820
   -136.00    0.8354    0.8111
   -135.00    0.8323    0.8402
   -134.00    0.8282    0.8693
   -133.00    0.8228    0.8984
   -132.00    0.8164    0.9274
   -131.00    0.8090    0.9563
   -130.00    0.8004    0.9851
   -129.00    0.7908    1.0136
   -128.00    0.7801    1.0420
   -127.00    0.7684    1.0701
   -126.00    0.7557    1.0980
   -125.00    0.7420    1.1255
   -124.00    0.7274    1.1527
   -123.00    0.7118    1.1795
   -122.00    0.6953    1.2058
   -121.00    0.6778    1.2318
   -120.00    0.6552    1.2572
   -119.00    0.6360    1.2822
   -118.00    0.6161    1.3066
   -117.00    0.5954    1.3304
   -116.00    0.5739    1.3537
   -115.00    0.5516    1.3763
   -114.00    0.5287    1.3983
   -113.00    0.5052    1.4195
   -112.00    0.4809    1.4401
   -111.00    0.4561    1.4600
   -110.00    0.4308    1.4791
   -109.00    0.4049    1.4974
   -108.00    0.3785    1.5149
   -107.00    0.3516    1.5315
   -106.00    0.3244    1.5474
   -105.00    0.2967    1.5624
   -104.00    0.2687    1.5765
   -103.00    0.2404    1.5897
   -102.00    0.2118    1.6019
   -101.00    0.1830    1.6133
   -100.00    0.1539    1.6237
    -99.00    0.1248    1.6331
    -98.00    0.0954    1.6416
