AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:28:29 Compatible with AeroDyn v13.0.
Polar "T1_Re3.100_M0.00_N9.0 360 M" on Foil "T1_Re3.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.55351        Cn slope for zero lift for linear Cn curve (1/rad)
1.1764         Cn at stall value for positive angle of attack for linear Cn curve
-1.0873        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0097         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0915    0.0065
   -178.00    0.1830    0.0080
   -177.00    0.2744    0.0106
   -176.00    0.3659    0.0141
   -175.00    0.4574    0.0187
   -174.00    0.5489    0.0242
   -173.00    0.6395    0.0308
   -172.00    0.7199    0.0383
   -171.00    0.7661    0.0468
   -170.00    0.7558    0.0563
   -169.00    0.6998    0.0668
   -168.00    0.6345    0.0781
   -167.00    0.5851    0.0904
   -166.00    0.5566    0.1037
   -165.00    0.5450    0.1178
   -164.00    0.5449    0.1328
   -163.00    0.5524    0.1486
   -162.00    0.5645    0.1653
   -161.00    0.5795    0.1829
   -160.00    0.5961    0.2012
   -159.00    0.6136    0.2203
   -158.00    0.6315    0.2401
   -157.00    0.6493    0.2607
   -156.00    0.6669    0.2820
   -155.00    0.6839    0.3040
   -154.00    0.7004    0.3266
   -153.00    0.7162    0.3499
   -152.00    0.7312    0.3737
   -151.00    0.7453    0.3982
   -150.00    0.7585    0.4231
   -149.00    0.7708    0.4486
   -148.00    0.7821    0.4745
   -147.00    0.7923    0.5009
   -146.00    0.8015    0.5277
   -145.00    0.8097    0.5549
   -144.00    0.8167    0.5825
   -143.00    0.8227    0.6103
   -142.00    0.8276    0.6384
   -141.00    0.8313    0.6668
   -140.00    0.8339    0.6954
   -139.00    0.8354    0.7241
   -138.00    0.8358    0.7530
   -137.00    0.8350    0.7820
   -136.00    0.8331    0.8111
   -135.00    0.8301    0.8402
   -134.00    0.8259    0.8693
   -133.00    0.8207    0.8984
   -132.00    0.8144    0.9274
   -131.00    0.8069    0.9563
   -130.00    0.7984    0.9851
   -129.00    0.7889    1.0137
   -128.00    0.7782    1.0420
   -127.00    0.7666    1.0702
   -126.00    0.7540    1.0980
   -125.00    0.7403    1.1255
   -124.00    0.7257    1.1527
   -123.00    0.7102    1.1795
   -122.00    0.6937    1.2059
   -121.00    0.6763    1.2318
   -120.00    0.6581    1.2573
   -119.00    0.6390    1.2822
   -118.00    0.6191    1.3066
   -117.00    0.5984    1.3305
   -116.00    0.5770    1.3537
   -115.00    0.5548    1.3764
   -114.00    0.5319    1.3983
   -113.00    0.5084    1.4196
   -112.00    0.4843    1.4402
   -111.00    0.4595    1.4600
   -110.00    0.4342    1.4791
   -109.00    0.4084    1.4974
   -108.00    0.3821    1.5149
   -107.00    0.3553    1.5316
   -106.00    0.3281    1.5475
   -105.00    0.3006    1.5625
   -104.00    0.2693    1.5766
   -103.00    0.2410    1.5898
   -102.00    0.2124    1.6020
   -101.00    0.1836    1.6134
   -100.00    0.1546    1.6238
    -99.00    0.1254    1.6333
    -98.00    0.0961    1.6418
    -97.00    0.0667    1.6493
    -96.00    0.0373    1.6558
    -95.00    0.0078    1.6613
    -94.00   -0.0216    1.6658
    -93.00   -0.0510    1.6694
    -92.00   -0.0802    1.6719
    -91.00   -0.1094    1.6734
    -90.00   -0.1384    1.6738
    -89.00   -0.1672    1.6733
    -88.00   -0.1957    1.6717
    -87.00   -0.2240    1.6692
    -86.00   -0.2520    1.6656
    -85.00   -0.2797    1.6610
    -84.00   -0.3070    1.6554
    -83.00   -0.3340    1.6488
    -82.00   -0.3605    1.6412
    -81.00   -0.3865    1.6326
    -80.00   -0.4121    1.6231
    -79.00   -0.4372    1.6126
    -78.00   -0.4617    1.6011
    -77.00   -0.4857    1.5888
    -76.00   -0.5092    1.5755
    -75.00   -0.5320    1.5613
    -74.00   -0.5541    1.5462
    -73.00   -0.5757    1.5303
    -72.00   -0.5966    1.5135
    -71.00   -0.6167    1.4959
    -70.00   -0.6362    1.4775
    -69.00   -0.6550    1.4583
    -68.00   -0.6730    1.4383
    -67.00   -0.6902    1.4176
    -66.00   -0.7067    1.3962
    -65.00   -0.7224    1.3741
    -64.00   -0.7373    1.3514
    -63.00   -0.7514    1.3280
    -62.00   -0.7647    1.3040
    -61.00   -0.7772    1.2795
    -60.00   -0.7889    1.2543
    -59.00   -0.7997    1.2287
    -58.00   -0.8097    1.2026
    -57.00   -0.8188    1.1760
    -56.00   -0.8271    1.1490
    -55.00   -0.8346    1.1216
    -54.00   -0.8413    1.0939
    -53.00   -0.8471    1.0658
    -52.00   -0.8522    1.0374
    -51.00   -0.8564    1.0088
    -50.00   -0.8598    0.9799
    -49.00   -0.8624    0.9509
    -48.00   -0.8643    0.9217
    -47.00   -0.8655    0.8923
    -46.00   -0.8659    0.8629
    -45.00   -0.8656    0.8334
    -44.00   -0.8647    0.8038
    -43.00   -0.8631    0.7743
    -42.00   -0.8610    0.7448
    -41.00   -0.8583    0.7153
    -40.00   -0.8551    0.6860
    -39.00   -0.8515    0.6568
    -38.00   -0.8476    0.6277
    -37.00   -0.8434    0.5988
    -36.00   -0.8390    0.5702
    -35.00   -0.8346    0.5417
    -34.00   -0.8302    0.5136
    -33.00   -0.8261    0.4857
    -32.00   -0.8223    0.4581
    -31.00   -0.8192    0.4309
    -30.00   -0.8169    0.4040
    -29.00   -0.8157    0.3774
    -28.00   -0.8159    0.3512
    -27.00   -0.8180    0.3254
    -26.00   -0.8223    0.3001
    -25.00   -0.8294    0.2751
    -24.00   -0.8399    0.2505
    -23.00   -0.8542    0.2264
    -22.00   -0.8731    0.2027
    -21.00   -0.8970    0.1796
    -20.00   -0.9263    0.1572
    -19.00   -0.9610    0.1354
    -18.00   -1.0003    0.1146
    -17.00   -1.0426    0.0951
    -16.00   -1.0850    0.0771
    -15.00   -1.1231    0.0610
    -14.00   -1.1512    0.0473
    -13.00   -1.1635    0.0362
    -12.00   -1.1548    0.0277
    -11.00   -1.1222    0.0218
    -10.00   -1.1019    0.0124
     -9.50   -1.0519    0.0121
     -9.00   -1.0032    0.0116
     -8.50   -0.9519    0.0113
     -8.00   -0.9010    0.0110
     -7.50   -0.8465    0.0108
     -7.00   -0.7916    0.0106
     -6.50   -0.7364    0.0105
     -6.00   -0.6808    0.0104
     -5.50   -0.6250    0.0103
     -5.00   -0.5689    0.0102
     -4.50   -0.5126    0.0101
     -4.00   -0.4561    0.0100
     -3.50   -0.3994    0.0099
     -3.00   -0.3426    0.0099
     -2.50   -0.2857    0.0098
     -2.00   -0.2287    0.0098
     -1.50   -0.1716    0.0097
     -1.00   -0.1144    0.0097
     -0.50   -0.0572    0.0097
      0.00   -0.0000    0.0097
      0.50    0.0572    0.0097
      1.00    0.1144    0.0097
      1.50    0.1716    0.0097
      2.00    0.2287    0.0098
      2.50    0.2857    0.0098
      3.00    0.3426    0.0099
      3.50    0.3995    0.0099
      4.00    0.4561    0.0100
      4.50    0.5126    0.0101
      5.00    0.5689    0.0102
      5.50    0.6250    0.0103
      6.00    0.6809    0.0104
      6.50    0.7365    0.0105
      7.00    0.7917    0.0106
      7.50    0.8466    0.0108
      8.00    0.9011    0.0110
      8.50    0.9521    0.0113
      9.00    1.0035    0.0116
      9.50    1.0522    0.0121
     10.00    1.1023    0.0124
     10.50    1.1485    0.0129
     11.00    1.1958    0.0133
     11.50    1.2396    0.0139
     12.00    1.2733    0.0144
     12.50    1.3141    0.0149
     13.00    1.3541    0.0156
     13.50    1.3892    0.0165
     14.00    1.4222    0.0175
     14.50    1.4575    0.0184
     15.00    1.4919    0.0194
     15.50    1.5222    0.0207
     16.00    1.5482    0.0224
     16.50    1.5685    0.0245
     17.00    1.5858    0.0271
     17.50    1.6057    0.0297
     18.00    1.6249    0.0325
     18.50    1.6407    0.0357
     19.00    1.6513    0.0397
     19.50    1.6563    0.0444
     20.00    1.6552    0.0499
     21.00    1.5889    0.1047
     22.00    1.5318    0.1282
     23.00    1.4705    0.1538
     24.00    1.4085    0.1809
     25.00    1.3488    0.2092
     26.00    1.2933    0.2383
     27.00    1.2429    0.2679
     28.00    1.1980    0.2979
     29.00    1.1588    0.3282
     30.00    1.1247    0.3586
     31.00    1.0955    0.3891
     32.00    1.0706    0.4197
     33.00    1.0495    0.4504
     34.00    1.0316    0.4810
     35.00    1.0164    0.5118
     36.00    1.0036    0.5425
     37.00    0.9926    0.5733
     38.00    0.9833    0.6042
     39.00    0.9751    0.6350
     40.00    0.9680    0.6658
