AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:12:22 Compatible with AeroDyn v13.0.
Polar "T1_Re0.300_M0.00_N9.0 360 M" on Foil "T1_Re0.300_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
23.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
3.17755        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6514        Cn at stall value for positive angle of attack for linear Cn curve
-0.6784        Cn at stall value for negative angle of attack for linear Cn curve
-11.00         Angle of attack for minimum CD (deg)
0.0180         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0425    0.0065
   -178.00    0.0843    0.0079
   -177.00    0.1249    0.0104
   -176.00    0.1632    0.0138
   -175.00    0.1988    0.0181
   -174.00    0.2313    0.0234
   -173.00    0.2608    0.0297
   -172.00    0.2878    0.0369
   -171.00    0.3132    0.0450
   -170.00    0.3374    0.0541
   -169.00    0.3609    0.0641
   -168.00    0.3841    0.0750
   -167.00    0.4071    0.0867
   -166.00    0.4299    0.0994
   -165.00    0.4525    0.1129
   -164.00    0.4749    0.1272
   -163.00    0.4969    0.1424
   -162.00    0.5186    0.1584
   -161.00    0.5398    0.1751
   -160.00    0.5605    0.1927
   -159.00    0.5806    0.2109
   -158.00    0.6001    0.2299
   -157.00    0.6188    0.2496
   -156.00    0.6369    0.2700
   -155.00    0.6541    0.2910
   -154.00    0.6706    0.3126
   -153.00    0.6861    0.3349
   -152.00    0.7008    0.3577
   -151.00    0.7146    0.3810
   -150.00    0.7274    0.4049
   -149.00    0.7392    0.4293
   -148.00    0.7501    0.4541
   -147.00    0.7599    0.4793
   -146.00    0.7688    0.5049
   -145.00    0.7766    0.5309
   -144.00    0.7833    0.5573
   -143.00    0.7890    0.5839
   -142.00    0.7936    0.6108
   -141.00    0.7971    0.6379
   -140.00    0.7996    0.6653
   -139.00    0.8010    0.6928
   -138.00    0.8013    0.7204
   -137.00    0.8005    0.7481
   -136.00    0.7986    0.7760
   -135.00    0.7957    0.8038
   -134.00    0.7917    0.8316
   -133.00    0.7866    0.8594
   -132.00    0.7805    0.8872
   -131.00    0.7734    0.9148
   -130.00    0.7652    0.9423
   -129.00    0.7560    0.9697
   -128.00    0.7458    0.9968
   -127.00    0.7346    1.0237
   -126.00    0.7225    1.0503
   -125.00    0.7094    1.0766
   -124.00    0.6954    1.1026
   -123.00    0.6805    1.1283
   -122.00    0.6647    1.1535
   -121.00    0.6481    1.1783
   -120.00    0.6306    1.2027
   -119.00    0.6123    1.2265
   -118.00    0.5933    1.2499
   -117.00    0.5734    1.2727
   -116.00    0.5529    1.2949
   -115.00    0.5317    1.3166
   -114.00    0.5098    1.3376
   -113.00    0.4856    1.3580
   -112.00    0.4625    1.3776
   -111.00    0.4388    1.3966
   -110.00    0.4146    1.4149
   -109.00    0.3899    1.4324
   -108.00    0.3648    1.4492
   -107.00    0.3392    1.4651
   -106.00    0.3132    1.4803
   -105.00    0.2868    1.4946
   -104.00    0.2601    1.5081
   -103.00    0.2332    1.5208
   -102.00    0.2059    1.5325
   -101.00    0.1784    1.5434
   -100.00    0.1508    1.5534
    -99.00    0.1230    1.5625
    -98.00    0.0950    1.5706
    -97.00    0.0670    1.5778
    -96.00    0.0390    1.5840
    -95.00    0.0109    1.5894
    -94.00   -0.0171    1.5937
    -93.00   -0.0451    1.5971
    -92.00   -0.0730    1.5995
    -91.00   -0.1007    1.6010
    -90.00   -0.1283    1.6014
    -89.00   -0.1557    1.6009
    -88.00   -0.1829    1.5995
    -87.00   -0.2098    1.5970
    -86.00   -0.2365    1.5936
    -85.00   -0.2628    1.5893
    -84.00   -0.2887    1.5839
    -83.00   -0.3143    1.5777
    -82.00   -0.3395    1.5704
    -81.00   -0.3642    1.5623
    -80.00   -0.3885    1.5532
    -79.00   -0.4123    1.5432
    -78.00   -0.4355    1.5323
    -77.00   -0.4583    1.5205
    -76.00   -0.4804    1.5079
    -75.00   -0.5020    1.4943
    -74.00   -0.5229    1.4800
    -73.00   -0.5432    1.4648
    -72.00   -0.5629    1.4488
    -71.00   -0.5819    1.4320
    -70.00   -0.6002    1.4144
    -69.00   -0.6178    1.3961
    -68.00   -0.6346    1.3771
    -67.00   -0.6507    1.3574
    -66.00   -0.6661    1.3370
    -65.00   -0.6807    1.3159
    -64.00   -0.6945    1.2943
    -63.00   -0.7075    1.2720
    -62.00   -0.7197    1.2491
    -61.00   -0.7310    1.2257
    -60.00   -0.7416    1.2018
    -59.00   -0.7513    1.1774
    -58.00   -0.7602    1.1525
    -57.00   -0.7682    1.1272
    -56.00   -0.7754    1.1015
    -55.00   -0.7817    1.0754
    -54.00   -0.7871    1.0490
    -53.00   -0.7917    1.0223
    -52.00   -0.7955    0.9953
    -51.00   -0.7984    0.9680
    -50.00   -0.8004    0.9406
    -49.00   -0.8016    0.9129
    -48.00   -0.8020    0.8852
    -47.00   -0.8015    0.8573
    -46.00   -0.8002    0.8293
    -45.00   -0.7981    0.8012
    -44.00   -0.7951    0.7732
    -43.00   -0.7914    0.7451
    -42.00   -0.7869    0.7171
    -41.00   -0.7817    0.6892
    -40.00   -0.7758    0.6613
    -39.00   -0.7691    0.6336
    -38.00   -0.7618    0.6060
    -37.00   -0.7539    0.5786
    -36.00   -0.7454    0.5514
    -35.00   -0.7364    0.5244
    -34.00   -0.7269    0.4977
    -33.00   -0.7171    0.4711
    -32.00   -0.7070    0.4448
    -31.00   -0.6969    0.4188
    -30.00   -0.6868    0.3929
    -29.00   -0.6770    0.3673
    -28.00   -0.6679    0.3417
    -27.00   -0.6597    0.3163
    -26.00   -0.6531    0.2908
    -25.00   -0.6487    0.2653
    -24.00   -0.6475    0.2394
    -23.00   -0.6504    0.2130
    -22.00   -0.6587    0.1860
    -21.00   -0.6736    0.1584
    -20.00   -0.6953    0.1303
    -19.00   -0.7225    0.1026
    -18.00   -0.7509    0.0767
    -17.00   -0.7727    0.0546
    -16.00   -0.7796    0.0381
    -15.00   -0.7668    0.0277
    -14.00   -0.7357    0.0221
    -13.00   -0.6917    0.0196
    -12.00   -0.6410    0.0186
    -11.00   -0.5879    0.0180
    -10.00   -0.6556    0.0333
     -9.50   -0.6256    0.0316
     -9.00   -0.5941    0.0301
     -8.50   -0.5621    0.0287
     -8.00   -0.5292    0.0275
     -7.50   -0.4951    0.0264
