AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:35:24 Compatible with AeroDyn v13.0.
Polar "T1_Re2.000_M0.00_N9.0 360 M" on Foil "T1_Re2.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.56          Angle of attack for zero Cn for linear Cn curve (deg)
6.66753        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7152        Cn at stall value for positive angle of attack for linear Cn curve
-0.9213        Cn at stall value for negative angle of attack for linear Cn curve
-0.50          Angle of attack for minimum CD (deg)
0.0049         Minimum CD value
   -180.00   -0.0461    0.0060
   -179.00    0.0478    0.0065
   -178.00    0.1416    0.0081
   -177.00    0.2355    0.0106
   -176.00    0.3294    0.0143
   -175.00    0.4225    0.0189
   -174.00    0.5086    0.0245
   -173.00    0.5706    0.0312
   -172.00    0.5897    0.0388
   -171.00    0.5664    0.0475
   -170.00    0.5237    0.0571
   -169.00    0.4849    0.0677
   -168.00    0.4593    0.0792
   -167.00    0.4471    0.0917
   -166.00    0.4452    0.1051
   -165.00    0.4503    0.1195
   -164.00    0.4601    0.1347
   -163.00    0.4729    0.1507
   -162.00    0.4874    0.1677
   -161.00    0.5029    0.1854
   -160.00    0.5188    0.2040
   -159.00    0.5348    0.2233
   -158.00    0.5506    0.2434
   -157.00    0.5660    0.2642
   -156.00    0.5809    0.2858
   -155.00    0.5951    0.3080
   -154.00    0.6085    0.3309
   -153.00    0.6212    0.3544
   -152.00    0.6329    0.3785
   -151.00    0.6439    0.4032
   -150.00    0.6539    0.4284
   -149.00    0.6629    0.4542
   -148.00    0.6710    0.4804
   -147.00    0.6782    0.5070
   -146.00    0.6844    0.5341
   -145.00    0.6896    0.5615
   -144.00    0.6938    0.5893
   -143.00    0.6970    0.6174
   -142.00    0.6993    0.6458
   -141.00    0.7005    0.6744
   -140.00    0.7009    0.7032
   -139.00    0.7002    0.7322
   -138.00    0.6986    0.7613
   -137.00    0.6961    0.7906
   -136.00    0.6927    0.8199
   -135.00    0.6883    0.8492
   -134.00    0.6831    0.8785
   -133.00    0.6770    0.9078
   -132.00    0.6700    0.9370
   -131.00    0.6621    0.9661
   -130.00    0.6535    0.9951
   -129.00    0.6440    1.0238
   -128.00    0.6338    1.0524
   -127.00    0.6228    1.0807
   -126.00    0.6110    1.1087
   -125.00    0.5985    1.1364
   -124.00    0.5854    1.1637
   -123.00    0.5715    1.1907
   -122.00    0.5570    1.2172
   -121.00    0.5419    1.2433
   -120.00    0.5262    1.2689
   -119.00    0.5099    1.2940
   -118.00    0.4931    1.3185
   -117.00    0.4757    1.3425
   -116.00    0.4579    1.3658
   -115.00    0.4395    1.3886
   -114.00    0.4207    1.4106
   -113.00    0.4015    1.4320
   -112.00    0.3819    1.4527
   -111.00    0.3619    1.4726
   -110.00    0.3416    1.4918
   -109.00    0.3210    1.5102
   -108.00    0.3000    1.5278
   -107.00    0.2788    1.5446
   -106.00    0.2569    1.5605
   -105.00    0.2353    1.5755
   -104.00    0.2134    1.5897
   -103.00    0.1913    1.6030
   -102.00    0.1692    1.6153
   -101.00    0.1469    1.6267
   -100.00    0.1244    1.6372
    -99.00    0.1020    1.6467
    -98.00    0.0794    1.6553
    -97.00    0.0569    1.6628
    -96.00    0.0343    1.6694
    -95.00    0.0117    1.6750
    -94.00   -0.0108    1.6795
    -93.00   -0.0332    1.6831
    -92.00   -0.0556    1.6856
    -91.00   -0.0779    1.6872
    -90.00   -0.1000    1.6877
    -89.00   -0.1220    1.6872
    -88.00   -0.1438    1.6856
    -87.00   -0.1654    1.6831
    -86.00   -0.1869    1.6795
    -85.00   -0.2081    1.6750
    -84.00   -0.2290    1.6694
    -83.00   -0.2497    1.6628
    -82.00   -0.2701    1.6552
    -81.00   -0.2902    1.6467
    -80.00   -0.3100    1.6372
    -79.00   -0.3294    1.6267
    -78.00   -0.3485    1.6153
    -77.00   -0.3672    1.6029
    -76.00   -0.3855    1.5897
    -75.00   -0.4034    1.5755
    -74.00   -0.4209    1.5604
    -73.00   -0.4379    1.5445
    -72.00   -0.4545    1.5278
    -71.00   -0.4706    1.5102
    -70.00   -0.4862    1.4918
    -69.00   -0.5014    1.4726
    -68.00   -0.5160    1.4526
    -67.00   -0.5301    1.4320
    -66.00   -0.5436    1.4106
    -65.00   -0.5566    1.3885
    -64.00   -0.5690    1.3657
    -63.00   -0.5808    1.3424
    -62.00   -0.5921    1.3184
    -61.00   -0.6027    1.2939
    -60.00   -0.6127    1.2688
    -59.00   -0.6221    1.2432
    -58.00   -0.6309    1.2171
    -57.00   -0.6390    1.1905
    -56.00   -0.6464    1.1636
    -55.00   -0.6532    1.1362
    -54.00   -0.6593    1.1085
    -53.00   -0.6647    1.0805
    -52.00   -0.6695    1.0522
    -51.00   -0.6735    1.0236
    -50.00   -0.6768    0.9948
    -49.00   -0.6795    0.9659
    -48.00   -0.6814    0.9368
    -47.00   -0.6826    0.9075
    -46.00   -0.6830    0.8782
    -45.00   -0.6828    0.8489
    -44.00   -0.6818    0.8195
