AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:35:24 Compatible with AeroDyn v13.0.
Polar "T1_Re3.800_M0.00_N9.0 360 M" on Foil "T1_Re3.800_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.57          Angle of attack for zero Cn for linear Cn curve (deg)
6.68386        Cn slope for zero lift for linear Cn curve (1/rad)
0.5351         Cn at stall value for positive angle of attack for linear Cn curve
-0.8857        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0043         Minimum CD value
   -180.00   -0.0466    0.0060
   -179.00    0.0473    0.0065
   -178.00    0.1412    0.0081
   -177.00    0.2351    0.0106
   -176.00    0.3289    0.0143
   -175.00    0.4228    0.0189
   -174.00    0.5167    0.0245
   -173.00    0.6106    0.0312
   -172.00    0.7023    0.0388
   -171.00    0.7740    0.0475
   -170.00    0.7896    0.0571
   -169.00    0.7340    0.0677
   -168.00    0.6451    0.0792
   -167.00    0.5689    0.0917
   -166.00    0.5207    0.1051
   -165.00    0.4964    0.1195
   -164.00    0.4881    0.1347
   -163.00    0.4899    0.1507
   -162.00    0.4976    0.1677
   -161.00    0.5088    0.1854
   -160.00    0.5220    0.2040
   -159.00    0.5363    0.2233
   -158.00    0.5509    0.2434
   -157.00    0.5655    0.2642
   -156.00    0.5798    0.2858
   -155.00    0.5936    0.3080
   -154.00    0.6067    0.3309
   -153.00    0.6192    0.3544
   -152.00    0.6309    0.3785
   -151.00    0.6417    0.4032
   -150.00    0.6516    0.4284
   -149.00    0.6606    0.4542
   -148.00    0.6686    0.4804
   -147.00    0.6757    0.5070
   -146.00    0.6819    0.5341
   -145.00    0.6870    0.5615
   -144.00    0.6912    0.5893
   -143.00    0.6944    0.6174
   -142.00    0.6967    0.6458
   -141.00    0.6979    0.6744
   -140.00    0.6982    0.7032
   -139.00    0.6976    0.7322
   -138.00    0.6960    0.7613
   -137.00    0.6935    0.7906
   -136.00    0.6900    0.8199
   -135.00    0.6856    0.8492
   -134.00    0.6804    0.8785
   -133.00    0.6743    0.9078
   -132.00    0.6673    0.9370
   -131.00    0.6594    0.9661
   -130.00    0.6508    0.9951
   -129.00    0.6413    1.0238
   -128.00    0.6311    1.0524
   -127.00    0.6201    1.0807
   -126.00    0.6084    1.1087
   -125.00    0.5960    1.1364
   -124.00    0.5828    1.1637
   -123.00    0.5690    1.1907
   -122.00    0.5546    1.2172
   -121.00    0.5395    1.2433
   -120.00    0.5238    1.2689
   -119.00    0.5076    1.2940
   -118.00    0.4908    1.3185
   -117.00    0.4735    1.3425
   -116.00    0.4557    1.3658
   -115.00    0.4374    1.3886
   -114.00    0.4187    1.4106
   -113.00    0.3996    1.4320
   -112.00    0.3801    1.4527
   -111.00    0.3602    1.4726
   -110.00    0.3399    1.4918
   -109.00    0.3194    1.5102
   -108.00    0.2985    1.5278
   -107.00    0.2774    1.5446
   -106.00    0.2560    1.5605
   -105.00    0.2344    1.5755
   -104.00    0.2127    1.5897
   -103.00    0.1904    1.6030
   -102.00    0.1684    1.6153
   -101.00    0.1462    1.6267
   -100.00    0.1239    1.6372
    -99.00    0.1015    1.6467
    -98.00    0.0791    1.6553
    -97.00    0.0566    1.6628
    -96.00    0.0341    1.6694
    -95.00    0.0117    1.6750
    -94.00   -0.0107    1.6795
    -93.00   -0.0330    1.6831
    -92.00   -0.0553    1.6856
    -91.00   -0.0774    1.6872
    -90.00   -0.0995    1.6877
    -89.00   -0.1213    1.6872
    -88.00   -0.1431    1.6856
    -87.00   -0.1646    1.6831
    -86.00   -0.1859    1.6795
    -85.00   -0.2070    1.6750
    -84.00   -0.2278    1.6694
    -83.00   -0.2484    1.6628
    -82.00   -0.2687    1.6552
    -81.00   -0.2887    1.6467
    -80.00   -0.3084    1.6372
    -79.00   -0.3277    1.6267
    -78.00   -0.3467    1.6153
    -77.00   -0.3654    1.6029
    -76.00   -0.3836    1.5897
    -75.00   -0.4014    1.5755
    -74.00   -0.4188    1.5605
    -73.00   -0.4358    1.5445
    -72.00   -0.4523    1.5278
    -71.00   -0.4684    1.5102
    -70.00   -0.4839    1.4918
    -69.00   -0.4990    1.4726
    -68.00   -0.5136    1.4526
    -67.00   -0.5276    1.4320
    -66.00   -0.5411    1.4106
    -65.00   -0.5540    1.3885
    -64.00   -0.5664    1.3657
    -63.00   -0.5782    1.3424
    -62.00   -0.5895    1.3184
    -61.00   -0.6001    1.2939
    -60.00   -0.6101    1.2688
    -59.00   -0.6195    1.2432
    -58.00   -0.6282    1.2171
    -57.00   -0.6363    1.1905
    -56.00   -0.6438    1.1636
    -55.00   -0.6506    1.1362
    -54.00   -0.6567    1.1085
    -53.00   -0.6621    1.0805
    -52.00   -0.6669    1.0522
    -51.00   -0.6709    1.0236
    -50.00   -0.6743    0.9948
    -49.00   -0.6769    0.9659
    -48.00   -0.6789    0.9368
    -47.00   -0.6801    0.9075
    -46.00   -0.6806    0.8782
    -45.00   -0.6804    0.8489
    -44.00   -0.6795    0.8195
    -43.00   -0.6778    0.7902
    -42.00   -0.6754    0.7609
    -41.00   -0.6723    0.7318
    -40.00   -0.6685    0.7027
    -39.00   -0.6639    0.6739
    -38.00   -0.6586    0.6452
    -37.00   -0.6527    0.6168
    -36.00   -0.6460    0.5886
    -35.00   -0.6387    0.5607
    -34.00   -0.6307    0.5332
    -33.00   -0.6220    0.5061
    -32.00   -0.6128    0.4793
    -31.00   -0.6030    0.4530
    -30.00   -0.5926    0.4271
    -29.00   -0.5818    0.4017
    -28.00   -0.5706    0.3768
    -27.00   -0.5592    0.3524
    -26.00   -0.5476    0.3286
    -25.00   -0.5360    0.3053
    -24.00   -0.5249    0.2825
    -23.00   -0.5145    0.2604
    -22.00   -0.5055    0.2387
    -21.00   -0.4988    0.2175
    -20.00   -0.4957    0.1967
