AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:49:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.200_M0.00_N9.0 360 M" on Foil "T1_Re0.200_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.38          Angle of attack for zero Cn for linear Cn curve (deg)
6.36495        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8489        Cn at stall value for positive angle of attack for linear Cn curve
-1.0184        Cn at stall value for negative angle of attack for linear Cn curve
-11.00         Angle of attack for minimum CD (deg)
0.0176         Minimum CD value
   -180.00   -0.0395    0.0060
   -179.00    0.0487    0.0065
   -178.00    0.1342    0.0080
   -177.00    0.2109    0.0105
   -176.00    0.2706    0.0140
   -175.00    0.3082    0.0184
   -174.00    0.3264    0.0239
   -173.00    0.3329    0.0303
   -172.00    0.3358    0.0377
   -171.00    0.3398    0.0461
   -170.00    0.3467    0.0553
   -169.00    0.3569    0.0656
   -168.00    0.3697    0.0767
   -167.00    0.3847    0.0888
   -166.00    0.4012    0.1017
   -165.00    0.4186    0.1155
   -164.00    0.4366    0.1302
   -163.00    0.4549    0.1457
   -162.00    0.4732    0.1621
   -161.00    0.4913    0.1792
   -160.00    0.5091    0.1971
   -159.00    0.5264    0.2158
   -158.00    0.5431    0.2352
   -157.00    0.5592    0.2553
   -156.00    0.5746    0.2761
   -155.00    0.5892    0.2976
   -154.00    0.6031    0.3197
   -153.00    0.6160    0.3424
   -152.00    0.6282    0.3657
   -151.00    0.6394    0.3895
   -150.00    0.6497    0.4138
   -149.00    0.6591    0.4387
   -148.00    0.6675    0.4640
   -147.00    0.6750    0.4897
   -146.00    0.6815    0.5158
   -145.00    0.6871    0.5423
   -144.00    0.6917    0.5691
   -143.00    0.6953    0.5962
   -142.00    0.6979    0.6236
   -141.00    0.6996    0.6513
   -140.00    0.7004    0.6791
   -139.00    0.7001    0.7071
   -138.00    0.6989    0.7352
   -137.00    0.6968    0.7634
   -136.00    0.6938    0.7917
   -135.00    0.6898    0.8200
   -134.00    0.6850    0.8483
   -133.00    0.6792    0.8766
   -132.00    0.6726    0.9048
   -131.00    0.6651    0.9329
   -130.00    0.6568    0.9608
   -129.00    0.6476    0.9886
   -128.00    0.6377    1.0161
   -127.00    0.6269    1.0434
   -126.00    0.6154    1.0705
   -125.00    0.6032    1.0972
   -124.00    0.5903    1.1236
   -123.00    0.5766    1.1496
   -122.00    0.5623    1.1752
   -121.00    0.5473    1.2004
   -120.00    0.5317    1.2251
   -119.00    0.5155    1.2493
   -118.00    0.4987    1.2730
   -117.00    0.4813    1.2961
   -116.00    0.4635    1.3187
   -115.00    0.4451    1.3406
   -114.00    0.4263    1.3619
   -113.00    0.4070    1.3825
   -112.00    0.3872    1.4025
   -111.00    0.3664    1.4217
   -110.00    0.3459    1.4403
   -109.00    0.3251    1.4580
   -108.00    0.3039    1.4750
   -107.00    0.2825    1.4912
   -106.00    0.2608    1.5065
   -105.00    0.2388    1.5211
   -104.00    0.2167    1.5347
   -103.00    0.1943    1.5475
   -102.00    0.1718    1.5594
   -101.00    0.1491    1.5705
   -100.00    0.1263    1.5806
    -99.00    0.1035    1.5897
    -98.00    0.0806    1.5980
    -97.00    0.0576    1.6053
    -96.00    0.0346    1.6116
    -95.00    0.0117    1.6170
    -94.00   -0.0113    1.6214
    -93.00   -0.0341    1.6248
    -92.00   -0.0569    1.6273
    -91.00   -0.0796    1.6288
    -90.00   -0.1022    1.6293
    -89.00   -0.1246    1.6288
    -88.00   -0.1468    1.6273
    -87.00   -0.1688    1.6248
    -86.00   -0.1906    1.6214
    -85.00   -0.2122    1.6170
    -84.00   -0.2335    1.6116
    -83.00   -0.2545    1.6053
    -82.00   -0.2752    1.5980
    -81.00   -0.2957    1.5897
    -80.00   -0.3157    1.5805
    -79.00   -0.3354    1.5704
    -78.00   -0.3548    1.5594
    -77.00   -0.3737    1.5475
    -76.00   -0.3922    1.5347
    -75.00   -0.4103    1.5210
    -74.00   -0.4279    1.5065
    -73.00   -0.4451    1.4911
    -72.00   -0.4618    1.4749
    -71.00   -0.4780    1.4579
    -70.00   -0.4937    1.4402
    -69.00   -0.5089    1.4217
    -68.00   -0.5235    1.4024
    -67.00   -0.5375    1.3825
    -66.00   -0.5510    1.3618
    -65.00   -0.5639    1.3405
    -64.00   -0.5763    1.3186
    -63.00   -0.5880    1.2960
    -62.00   -0.5991    1.2729
    -61.00   -0.6095    1.2492
    -60.00   -0.6193    1.2250
    -59.00   -0.6285    1.2002
    -58.00   -0.6370    1.1751
    -57.00   -0.6449    1.1494
    -56.00   -0.6520    1.1234
    -55.00   -0.6585    1.0970
    -54.00   -0.6643    1.0703
    -53.00   -0.6694    1.0432
    -52.00   -0.6737    1.0159
    -51.00   -0.6774    0.9883
    -50.00   -0.6804    0.9606
    -49.00   -0.6826    0.9326
    -48.00   -0.6841    0.9045
    -47.00   -0.6849    0.8763
    -46.00   -0.6850    0.8480
    -45.00   -0.6843    0.8197
    -44.00   -0.6829    0.7913
    -43.00   -0.6808    0.7630
    -42.00   -0.6779    0.7348
    -41.00   -0.6744    0.7066
    -40.00   -0.6701    0.6786
    -39.00   -0.6651    0.6507
    -38.00   -0.6594    0.6230
    -37.00   -0.6530    0.5956
    -36.00   -0.6459    0.5684
    -35.00   -0.6382    0.5415
    -34.00   -0.6299    0.5149
    -33.00   -0.6209    0.4887
    -32.00   -0.6113    0.4629
    -31.00   -0.6012    0.4374
    -30.00   -0.5906    0.4124
    -29.00   -0.5796    0.3879
    -28.00   -0.5683    0.3638
    -27.00   -0.5567    0.3403
    -26.00   -0.5451    0.3172
    -25.00   -0.5337    0.2947
    -24.00   -0.5228    0.2727
    -23.00   -0.5128    0.2512
    -22.00   -0.5044    0.2302
    -21.00   -0.4987    0.2096
    -20.00   -0.4973    0.1894
    -19.00   -0.5025    0.1693
    -18.00   -0.5184    0.1491
    -17.00   -0.5511    0.1285
    -16.00   -0.6091    0.1070
    -15.00   -0.7020    0.0842
    -14.00   -0.8303    0.0608
    -13.00   -0.9656    0.0395
    -12.00   -1.0466    0.0246
    -11.00   -1.0340    0.0176
    -10.00   -0.8586    0.0195
     -9.50   -0.8465    0.0186
     -9.00   -0.8152    0.0183
     -8.50   -0.7736    0.0183
     -8.00   -0.7231    0.0188
     -7.50   -0.6726    0.0188
     -7.00   -0.6179    0.0192
     -6.50   -0.5671    0.0191
     -6.00   -0.5078    0.0197
     -5.50   -0.4572    0.0199
     -5.00   -0.3981    0.0201
     -4.50   -0.3425    0.0202
     -4.00   -0.2913    0.0199
     -3.50   -0.2350    0.0197
     -3.00   -0.1781    0.0198
     -2.50   -0.1247    0.0197
     -2.00   -0.0706    0.0193
     -1.50   -0.0132    0.0192
     -1.00    0.0420    0.0194
     -0.50    0.0964    0.0193
      0.00    0.1523    0.0191
      0.50    0.2099    0.0192
      1.00    0.2636    0.0195
      1.50    0.3185    0.0196
      2.00    0.3738    0.0196
      2.50    0.4318    0.0198
      3.00    0.4843    0.0203
      3.50    0.5343    0.0206
      4.00    0.5906    0.0206
      4.50    0.6525    0.0208
      5.00    0.6969    0.0214
      5.50    0.7470    0.0216
      6.00    0.8095    0.0213
      6.50    0.8584    0.0218
      7.00    0.9088    0.0217
      7.50    0.9709    0.0210
      8.00    1.0112    0.0214
      8.50    1.0622    0.0210
      9.00    1.1070    0.0212
      9.50    1.1453    0.0211
     10.00    1.1667    0.0213
     10.50    1.1846    0.0219
     11.00    1.1919    0.0232
     11.50    1.1881    0.0254
     12.00    1.1767    0.0283
     12.50    1.1771    0.0327
     13.00    1.1742    0.0379
     13.50    1.1712    0.0433
     14.00    1.1711    0.0487
     14.50    1.1732    0.0541
     15.00    1.1758    0.0596
     15.50    1.1748    0.0656
     16.00    1.1714    0.0723
     16.50    1.1721    0.0787
     17.00    1.1710    0.0852
     17.50    1.1720    0.0919
     18.00    1.1802    0.0973
     18.50    1.1880    0.1032
     19.00    1.1939    0.1093
     19.50    1.2090    0.1131
     20.00    1.2095    0.1203
     20.50    1.2047    0.1285
     21.00    1.1951    0.1377
     21.50    1.1804    0.1481
     22.00    1.1615    0.1597
     23.50    0.8928    0.2750
     24.00    0.9196    0.2817
     24.50    0.9231    0.2966
     25.00    0.9183    0.3048
     26.00    0.8985    0.2961
     27.00    0.8860    0.3225
     28.00    0.8792    0.3490
     29.00    0.8768    0.3756
     30.00    0.8775    0.4024
     31.00    0.8807    0.4294
     32.00    0.8856    0.4566
     33.00    0.8917    0.4840
     34.00    0.8986    0.5116
     35.00    0.9060    0.5395
     36.00    0.9136    0.5677
     37.00    0.9213    0.5960
     38.00    0.9287    0.6245
     39.00    0.9359    0.6532
     40.00    0.9427    0.6821
     41.00    0.9490    0.7111
     42.00    0.9546    0.7402
     43.00    0.9596    0.7693
     44.00    0.9639    0.7985
     45.00    0.9674    0.8277
     46.00    0.9701    0.8569
     47.00    0.9719    0.8860
     48.00    0.9728    0.9150
     49.00    0.9728    0.9439
     50.00    0.9718    0.9727
     51.00    0.9699    1.0013
     52.00    0.9670    1.0296
     53.00    0.9631    1.0577
     54.00    0.9582    1.0856
     55.00    0.9522    1.1131
     56.00    0.9452    1.1402
     57.00    0.9372    1.1670
     58.00    0.9282    1.1933
     59.00    0.9181    1.2192
     60.00    0.9069    1.2446
     61.00    0.8948    1.2696
     62.00    0.8816    1.2939
     63.00    0.8673    1.3178
     64.00    0.8521    1.3410
     65.00    0.8358    1.3636
     66.00    0.8186    1.3855
     67.00    0.8003    1.4068
     68.00    0.7811    1.4273
     69.00    0.7610    1.4471
     70.00    0.7399    1.4662
     71.00    0.7179    1.4845
     72.00    0.6950    1.5020
     73.00    0.6712    1.5187
     74.00    0.6466    1.5345
     75.00    0.6212    1.5495
     76.00    0.5950    1.5636
     77.00    0.5680    1.5768
     78.00    0.5403    1.5891
     79.00    0.5118    1.6005
     80.00    0.4828    1.6109
     81.00    0.4530    1.6204
     82.00    0.4227    1.6289
     83.00    0.3918    1.6364
     84.00    0.3604    1.6430
     85.00    0.3284    1.6485
     86.00    0.2961    1.6531
     87.00    0.2633    1.6566
     88.00    0.2301    1.6592
     89.00    0.1967    1.6607
     90.00    0.1629    1.6612
     91.00    0.1289    1.6607
     92.00    0.0947    1.6592
     93.00    0.0603    1.6567
     94.00    0.0259    1.6532
     95.00   -0.0087    1.6487
     96.00   -0.0432    1.6431
     97.00   -0.0777    1.6366
     98.00   -0.1121    1.6291
     99.00   -0.1464    1.6206
    100.00   -0.1806    1.6112
    101.00   -0.2145    1.6008
    102.00   -0.2482    1.5895
    103.00   -0.2815    1.5772
    104.00   -0.3145    1.5640
    105.00   -0.3471    1.5500
    106.00   -0.3792    1.5350
    107.00   -0.4109    1.5192
    108.00   -0.4420    1.5026
    109.00   -0.4725    1.4852
    110.00   -0.5039    1.4669
    111.00   -0.5331    1.4479
    112.00   -0.5616    1.4281
    113.00   -0.5894    1.4076
    114.00   -0.6163    1.3864
    115.00   -0.6425    1.3645
    116.00   -0.6677    1.3420
    117.00   -0.6921    1.3188
    118.00   -0.7155    1.2951
    119.00   -0.7379    1.2708
    120.00   -0.7593    1.2460
    121.00   -0.7797    1.2206
    122.00   -0.7990    1.1948
    123.00   -0.8173    1.1686
    124.00   -0.8344    1.1419
    125.00   -0.8503    1.1149
    126.00   -0.8651    1.0875
    127.00   -0.8787    1.0598
    128.00   -0.8911    1.0319
    129.00   -0.9022    1.0037
    130.00   -0.9122    0.9753
    131.00   -0.9208    0.9467
    132.00   -0.9282    0.9180
    133.00   -0.9344    0.8892
    134.00   -0.9392    0.8603
    135.00   -0.9428    0.8314
    136.00   -0.9450    0.8025
    137.00   -0.9460    0.7736
    138.00   -0.9457    0.7448
    139.00   -0.9442    0.7162
    140.00   -0.9413    0.6876
    141.00   -0.9372    0.6593
    142.00   -0.9319    0.6311
    143.00   -0.9253    0.6033
    144.00   -0.9174    0.5757
    145.00   -0.9084    0.5484
