AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:49:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.500_M0.00_N9.0 360 M" on Foil "T1_Re0.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
23.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.43          Angle of attack for zero Cn for linear Cn curve (deg)
6.80142        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8590        Cn at stall value for positive angle of attack for linear Cn curve
-1.0466        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0103         Minimum CD value
   -180.00   -0.0409    0.0060
   -179.00    0.0178    0.0065
   -178.00    0.0646    0.0080
   -177.00    0.1027    0.0105
   -176.00    0.1350    0.0140
   -175.00    0.1637    0.0184
   -174.00    0.1903    0.0239
   -173.00    0.2156    0.0303
   -172.00    0.2401    0.0377
   -171.00    0.2642    0.0461
   -170.00    0.2878    0.0553
   -169.00    0.3112    0.0656
   -168.00    0.3342    0.0767
   -167.00    0.3568    0.0888
   -166.00    0.3790    0.1017
   -165.00    0.4008    0.1155
   -164.00    0.4220    0.1302
   -163.00    0.4426    0.1457
   -162.00    0.4627    0.1621
   -161.00    0.4820    0.1792
   -160.00    0.5006    0.1971
   -159.00    0.5185    0.2158
   -158.00    0.5356    0.2352
   -157.00    0.5519    0.2553
   -156.00    0.5673    0.2761
   -155.00    0.5819    0.2976
   -154.00    0.5956    0.3197
   -153.00    0.6083    0.3424
   -152.00    0.6202    0.3657
   -151.00    0.6311    0.3895
   -150.00    0.6411    0.4138
   -149.00    0.6502    0.4387
   -148.00    0.6582    0.4640
   -147.00    0.6654    0.4897
   -146.00    0.6715    0.5158
   -145.00    0.6767    0.5423
   -144.00    0.6809    0.5691
   -143.00    0.6842    0.5962
   -142.00    0.6865    0.6236
   -141.00    0.6879    0.6513
   -140.00    0.6883    0.6791
   -139.00    0.6877    0.7071
   -138.00    0.6863    0.7352
   -137.00    0.6839    0.7634
   -136.00    0.6806    0.7917
   -135.00    0.6764    0.8200
   -134.00    0.6714    0.8483
   -133.00    0.6654    0.8766
   -132.00    0.6587    0.9048
   -131.00    0.6511    0.9329
   -130.00    0.6427    0.9608
   -129.00    0.6335    0.9886
   -128.00    0.6235    1.0161
   -127.00    0.6128    1.0434
   -126.00    0.6013    1.0705
   -125.00    0.5892    1.0972
   -124.00    0.5763    1.1236
   -123.00    0.5628    1.1496
   -122.00    0.5486    1.1752
   -121.00    0.5338    1.2004
   -120.00    0.5184    1.2251
   -119.00    0.5025    1.2493
   -118.00    0.4844    1.2730
   -117.00    0.4674    1.2961
   -116.00    0.4499    1.3187
   -115.00    0.4319    1.3406
   -114.00    0.4135    1.3619
   -113.00    0.3947    1.3825
   -112.00    0.3755    1.4025
   -111.00    0.3559    1.4217
   -110.00    0.3359    1.4403
   -109.00    0.3156    1.4580
   -108.00    0.2950    1.4750
   -107.00    0.2742    1.4912
   -106.00    0.2530    1.5065
   -105.00    0.2317    1.5211
   -104.00    0.2102    1.5347
   -103.00    0.1885    1.5475
   -102.00    0.1666    1.5594
   -101.00    0.1446    1.5705
   -100.00    0.1225    1.5806
    -99.00    0.1004    1.5897
    -98.00    0.0781    1.5980
    -97.00    0.0559    1.6053
    -96.00    0.0336    1.6116
    -95.00    0.0114    1.6170
    -94.00   -0.0108    1.6214
    -93.00   -0.0330    1.6248
    -92.00   -0.0551    1.6273
    -91.00   -0.0770    1.6288
    -90.00   -0.0989    1.6293
    -89.00   -0.1206    1.6288
    -88.00   -0.1421    1.6273
    -87.00   -0.1634    1.6248
    -86.00   -0.1846    1.6214
    -85.00   -0.2055    1.6170
    -84.00   -0.2261    1.6116
    -83.00   -0.2465    1.6053
    -82.00   -0.2666    1.5980
    -81.00   -0.2864    1.5897
    -80.00   -0.3059    1.5805
    -79.00   -0.3250    1.5704
    -78.00   -0.3438    1.5594
    -77.00   -0.3622    1.5475
    -76.00   -0.3802    1.5347
    -75.00   -0.3979    1.5210
    -74.00   -0.4150    1.5065
    -73.00   -0.4318    1.4911
    -72.00   -0.4481    1.4749
    -71.00   -0.4639    1.4580
    -70.00   -0.4792    1.4402
    -69.00   -0.4941    1.4217
    -68.00   -0.5084    1.4024
    -67.00   -0.5222    1.3825
    -66.00   -0.5354    1.3618
    -65.00   -0.5481    1.3405
    -64.00   -0.5602    1.3186
    -63.00   -0.5718    1.2960
    -62.00   -0.5827    1.2729
    -61.00   -0.5931    1.2492
    -60.00   -0.6028    1.2250
    -59.00   -0.6120    1.2003
    -58.00   -0.6205    1.1751
    -57.00   -0.6283    1.1495
    -56.00   -0.6355    1.1234
    -55.00   -0.6420    1.0970
    -54.00   -0.6479    1.0703
    -53.00   -0.6531    1.0433
    -52.00   -0.6576    1.0159
    -51.00   -0.6614    0.9884
    -50.00   -0.6646    0.9606
    -49.00   -0.6670    0.9326
    -48.00   -0.6687    0.9045
    -47.00   -0.6698    0.8763
    -46.00   -0.6701    0.8480
    -45.00   -0.6697    0.8197
    -44.00   -0.6686    0.7914
    -43.00   -0.6668    0.7631
    -42.00   -0.6643    0.7348
    -41.00   -0.6610    0.7067
    -40.00   -0.6571    0.6786
    -39.00   -0.6524    0.6508
    -38.00   -0.6471    0.6231
    -37.00   -0.6411    0.5957
    -36.00   -0.6344    0.5685
    -35.00   -0.6270    0.5416
    -34.00   -0.6190    0.5150
    -33.00   -0.6104    0.4888
    -32.00   -0.6012    0.4630
    -31.00   -0.5914    0.4376
    -30.00   -0.5812    0.4126
    -29.00   -0.5704    0.3881
    -28.00   -0.5593    0.3641
    -27.00   -0.5479    0.3406
    -26.00   -0.5364    0.3176
    -25.00   -0.5250    0.2952
    -24.00   -0.5139    0.2733
    -23.00   -0.5034    0.2519
    -22.00   -0.4943    0.2311
    -21.00   -0.4873    0.2107
    -20.00   -0.4837    0.1908
    -19.00   -0.4855    0.1712
    -18.00   -0.4959    0.1518
    -17.00   -0.5202    0.1322
    -16.00   -0.5658    0.1120
    -15.00   -0.6432    0.0909
    -14.00   -0.7602    0.0688
    -13.00   -0.9054    0.0472
    -12.00   -1.0277    0.0297
    -11.00   -1.0624    0.0196
    -10.00   -0.8693    0.0167
     -9.50   -0.8595    0.0148
     -9.00   -0.8400    0.0133
     -8.50   -0.8054    0.0121
     -8.00   -0.7581    0.0115
     -7.50   -0.7060    0.0112
     -7.00   -0.6508    0.0110
     -6.50   -0.5949    0.0108
     -6.00   -0.5374    0.0108
     -5.50   -0.4794    0.0106
     -5.00   -0.4215    0.0105
     -4.50   -0.3628    0.0107
     -4.00   -0.3042    0.0105
     -3.50   -0.2452    0.0104
     -3.00   -0.1862    0.0105
     -2.50   -0.1264    0.0105
     -2.00   -0.0675    0.0103
     -1.50   -0.0083    0.0103
     -1.00    0.0511    0.0104
     -0.50    0.1111    0.0104
      0.00    0.1702    0.0103
      0.50    0.2292    0.0103
      1.00    0.2885    0.0105
      1.50    0.3482    0.0106
      2.00    0.4070    0.0105
      2.50    0.4658    0.0106
      3.00    0.5246    0.0109
      3.50    0.5832    0.0110
      4.00    0.6412    0.0110
      4.50    0.6992    0.0111
      5.00    0.7570    0.0115
      5.50    0.8135    0.0115
      6.00    0.8696    0.0115
      6.50    0.9246    0.0118
      7.00    0.9792    0.0119
      7.50    1.0327    0.0121
      8.00    1.0837    0.0124
      8.50    1.1313    0.0127
      9.00    1.1740    0.0133
      9.50    1.2039    0.0140
     10.00    1.2168    0.0155
     10.50    1.2217    0.0178
     11.00    1.2263    0.0206
     11.50    1.2269    0.0240
     12.00    1.2264    0.0278
     12.50    1.2262    0.0319
     13.00    1.2264    0.0361
     13.50    1.2233    0.0408
     14.00    1.2257    0.0447
     14.50    1.2334    0.0496
     15.00    1.2335    0.0553
     15.50    1.2418    0.0603
     16.00    1.2420    0.0664
     16.50    1.2347    0.0737
     17.00    1.2430    0.0791
     17.50    1.2378    0.0864
     18.00    1.2321    0.0940
     18.50    1.2391    0.1001
     19.00    1.2473    0.1060
     19.50    1.2487    0.1130
     20.00    1.2522    0.1197
     20.50    1.2491    0.1274
     21.00    1.2494    0.1345
     21.50    1.2460    0.1419
     22.00    1.2522    0.1485
     22.50    1.2542    0.1558
     23.00    1.2554    0.1633
     23.50    1.2518    0.1717
     24.00    1.2496    0.1799
     24.50    1.2409    0.1894
     25.00    1.2299    0.1991
     26.00    1.2229    0.2608
     27.00    1.2164    0.2849
     28.00    1.2105    0.3098
     29.00    1.2052    0.3353
     30.00    1.2004    0.3615
     31.00    1.1962    0.3882
     32.00    1.1925    0.4155
     33.00    1.1893    0.4431
     34.00    1.1864    0.4713
     35.00    1.1839    0.4998
     36.00    1.1815    0.5286
     37.00    1.1793    0.5577
     38.00    1.1772    0.5871
     39.00    1.1750    0.6167
     40.00    1.1728    0.6465
     41.00    1.1703    0.6764
     42.00    1.1677    0.7065
     43.00    1.1647    0.7366
     44.00    1.1614    0.7667
     45.00    1.1576    0.7969
     46.00    1.1534    0.8270
     47.00    1.1486    0.8571
     48.00    1.1432    0.8870
     49.00    1.1372    0.9168
     50.00    1.1306    0.9465
     51.00    1.1233    0.9759
     52.00    1.1152    1.0051
     53.00    1.1063    1.0340
     54.00    1.0967    1.0626
     55.00    1.0863    1.0909
     56.00    1.0750    1.1188
     57.00    1.0629    1.1463
     58.00    1.0499    1.1733
     59.00    1.0360    1.1999
     60.00    1.0213    1.2260
     61.00    1.0056    1.2516
     62.00    0.9891    1.2766
     63.00    0.9716    1.3010
     64.00    0.9532    1.3248
     65.00    0.9340    1.3480
     66.00    0.9138    1.3705
     67.00    0.8928    1.3923
     68.00    0.8708    1.4133
     69.00    0.8480    1.4337
     70.00    0.8243    1.4532
     71.00    0.7998    1.4720
     72.00    0.7745    1.4899
     73.00    0.7484    1.5071
     74.00    0.7214    1.5233
     75.00    0.6937    1.5387
     76.00    0.6653    1.5532
     77.00    0.6361    1.5668
     78.00    0.6063    1.5794
     79.00    0.5758    1.5912
     80.00    0.5446    1.6019
     81.00    0.5129    1.6118
     82.00    0.4806    1.6206
     83.00    0.4478    1.6284
     84.00    0.4145    1.6353
     85.00    0.3807    1.6411
     86.00    0.3465    1.6460
     87.00    0.3119    1.6498
     88.00    0.2770    1.6526
     89.00    0.2417    1.6544
     90.00    0.2063    1.6552
     91.00    0.1706    1.6549
     92.00    0.1347    1.6537
     93.00    0.0987    1.6514
     94.00    0.0627    1.6481
     95.00    0.0266    1.6437
     96.00   -0.0095    1.6384
     97.00   -0.0455    1.6321
     98.00   -0.0814    1.6248
     99.00   -0.1172    1.6165
    100.00   -0.1528    1.6072
    101.00   -0.1881    1.5970
    102.00   -0.2231    1.5858
    103.00   -0.2578    1.5737
    104.00   -0.2921    1.5607
    105.00   -0.3259    1.5468
    106.00   -0.3593    1.5320
    107.00   -0.3921    1.5163
    108.00   -0.4244    1.4998
    109.00   -0.4560    1.4825
    110.00   -0.4870    1.4643
    111.00   -0.5173    1.4454
    112.00   -0.5468    1.4258
    113.00   -0.5755    1.4054
    114.00   -0.6279    1.3843
    115.00   -0.6545    1.3625
    116.00   -0.6801    1.3401
    117.00   -0.7049    1.3170
    118.00   -0.7286    1.2934
    119.00   -0.7514    1.2692
    120.00   -0.7731    1.2444
    121.00   -0.7938    1.2191
    122.00   -0.8133    1.1934
    123.00   -0.8318    1.1672
    124.00   -0.8490    1.1406
    125.00   -0.8652    1.1137
    126.00   -0.8801    1.0864
    127.00   -0.8938    1.0588
    128.00   -0.9062    1.0309
    129.00   -0.9174    1.0027
