AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 16:01:40 Compatible with AeroDyn v13.0.
Polar "T1_Re2.500_M0.00_N9.0 360 M" on Foil "T1_Re2.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.44          Angle of attack for zero Cn for linear Cn curve (deg)
7.11539        Cn slope for zero lift for linear Cn curve (1/rad)
1.2773         Cn at stall value for positive angle of attack for linear Cn curve
-0.9529        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0068         Minimum CD value
   -180.00   -0.0400    0.0060
   -179.00    0.0596    0.0065
   -178.00    0.1593    0.0079
   -177.00    0.2589    0.0104
   -176.00    0.3585    0.0138
   -175.00    0.4582    0.0181
   -174.00    0.5561    0.0234
   -173.00    0.6400    0.0297
   -172.00    0.6832    0.0369
   -171.00    0.6660    0.0450
   -170.00    0.6055    0.0540
   -169.00    0.5388    0.0640
   -168.00    0.4887    0.0748
   -167.00    0.4588    0.0866
   -166.00    0.4449    0.0992
   -165.00    0.4420    0.1126
   -164.00    0.4463    0.1269
   -163.00    0.4550    0.1420
   -162.00    0.4665    0.1579
   -161.00    0.4796    0.1746
   -160.00    0.4936    0.1920
   -159.00    0.5080    0.2102
   -158.00    0.5223    0.2291
   -157.00    0.5364    0.2486
   -156.00    0.5501    0.2689
   -155.00    0.5632    0.2898
   -154.00    0.5757    0.3113
   -153.00    0.5875    0.3334
   -152.00    0.5985    0.3560
   -151.00    0.6087    0.3792
   -150.00    0.6181    0.4029
   -149.00    0.6266    0.4271
   -148.00    0.6342    0.4517
   -147.00    0.6409    0.4767
   -146.00    0.6466    0.5021
   -145.00    0.6515    0.5279
   -144.00    0.6555    0.5540
   -143.00    0.6585    0.5804
   -142.00    0.6606    0.6070
   -141.00    0.6618    0.6339
   -140.00    0.6621    0.6610
