AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:07:18 Compatible with AeroDyn v13.0.
Polar "T1_Re0.200_M0.00_N9.0 360 M" on Foil "T1_Re0.200_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
6.09925        Cn slope for zero lift for linear Cn curve (1/rad)
-1.0073        Cn at stall value for positive angle of attack for linear Cn curve
-1.1155        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0120         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0843    0.0065
   -178.00    0.1678    0.0080
   -177.00    0.2468    0.0106
   -176.00    0.3148    0.0141
   -175.00    0.3643    0.0187
   -174.00    0.3926    0.0242
   -173.00    0.4043    0.0308
   -172.00    0.4079    0.0383
   -171.00    0.4103    0.0468
   -170.00    0.4153    0.0563
   -169.00    0.4239    0.0668
   -168.00    0.4361    0.0781
   -167.00    0.4512    0.0904
   -166.00    0.4684    0.1037
   -165.00    0.4872    0.1178
   -164.00    0.5069    0.1328
   -163.00    0.5273    0.1486
   -162.00    0.5479    0.1653
   -161.00    0.5685    0.1829
   -160.00    0.5890    0.2012
   -159.00    0.6091    0.2203
   -158.00    0.6287    0.2402
   -157.00    0.6478    0.2607
   -156.00    0.6662    0.2820
   -155.00    0.6839    0.3040
   -154.00    0.7008    0.3267
   -153.00    0.7169    0.3499
   -152.00    0.7321    0.3738
   -151.00    0.7464    0.3982
   -150.00    0.7597    0.4232
   -149.00    0.7720    0.4486
   -148.00    0.7833    0.4746
   -147.00    0.7935    0.5010
   -146.00    0.8027    0.5278
   -145.00    0.8109    0.5550
   -144.00    0.8179    0.5825
   -143.00    0.8238    0.6103
   -142.00    0.8286    0.6385
   -141.00    0.8323    0.6668
   -140.00    0.8349    0.6954
   -139.00    0.8364    0.7242
   -138.00    0.8367    0.7531
   -137.00    0.8359    0.7821
   -136.00    0.8340    0.8112
   -135.00    0.8309    0.8403
   -134.00    0.8267    0.8694
   -133.00    0.8215    0.8985
   -132.00    0.8151    0.9275
   -131.00    0.8076    0.9564
   -130.00    0.7991    0.9852
   -129.00    0.7895    1.0138
   -128.00    0.7789    1.0421
   -127.00    0.7672    1.0703
   -126.00    0.7545    1.0981
   -125.00    0.7409    1.1256
   -124.00    0.7263    1.1528
   -123.00    0.7107    1.1796
   -122.00    0.6942    1.2060
   -121.00    0.6768    1.2320
   -120.00    0.6586    1.2575
   -119.00    0.6395    1.2824
   -118.00    0.6195    1.3068
   -117.00    0.5988    1.3307
   -116.00    0.5774    1.3539
   -115.00    0.5552    1.3766
   -114.00    0.5323    1.3986
   -113.00    0.5088    1.4199
   -112.00    0.4846    1.4404
   -111.00    0.4599    1.4603
   -110.00    0.4338    1.4794
   -109.00    0.4080    1.4977
   -108.00    0.3817    1.5153
   -107.00    0.3550    1.5320
   -106.00    0.3278    1.5478
   -105.00    0.3002    1.5628
   -104.00    0.2723    1.5769
   -103.00    0.2441    1.5902
   -102.00    0.2156    1.6025
   -101.00    0.1869    1.6138
   -100.00    0.1580    1.6243
    -99.00    0.1289    1.6338
    -98.00    0.0997    1.6423
    -97.00    0.0705    1.6498
    -96.00    0.0411    1.6564
    -95.00    0.0118    1.6619
    -94.00   -0.0175    1.6665
    -93.00   -0.0468    1.6700
    -92.00   -0.0759    1.6726
    -91.00   -0.1049    1.6741
    -90.00   -0.1338    1.6746
    -89.00   -0.1624    1.6741
    -88.00   -0.1908    1.6725
    -87.00   -0.2190    1.6700
    -86.00   -0.2468    1.6665
    -85.00   -0.2743    1.6619
    -84.00   -0.3014    1.6563
    -83.00   -0.3282    1.6498
