AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:07:19 Compatible with AeroDyn v13.0.
Polar "T1_Re3.500_M0.00_N9.0 360 M" on Foil "T1_Re3.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
6.49860        Cn slope for zero lift for linear Cn curve (1/rad)
1.0678         Cn at stall value for positive angle of attack for linear Cn curve
-1.0674        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0060         Minimum CD value
   -180.00   -0.0000    0.0060
   -179.00    0.0908    0.0065
   -178.00    0.1816    0.0080
   -177.00    0.2723    0.0106
   -176.00    0.3631    0.0141
   -175.00    0.4539    0.0187
   -174.00    0.5447    0.0242
   -173.00    0.6354    0.0308
   -172.00    0.7228    0.0383
   -171.00    0.7891    0.0468
   -170.00    0.8043    0.0563
   -169.00    0.7589    0.0668
   -168.00    0.6850    0.0781
   -167.00    0.6203    0.0904
   -166.00    0.5790    0.1037
   -165.00    0.5587    0.1178
   -164.00    0.5534    0.1328
   -163.00    0.5576    0.1486
   -162.00    0.5677    0.1653
   -161.00    0.5815    0.1829
   -160.00    0.5973    0.2012
   -159.00    0.6144    0.2203
   -158.00    0.6319    0.2402
   -157.00    0.6495    0.2607
   -156.00    0.6669    0.2820
   -155.00    0.6839    0.3040
   -154.00    0.7004    0.3267
   -153.00    0.7161    0.3499
   -152.00    0.7311    0.3738
   -151.00    0.7452    0.3982
   -150.00    0.7584    0.4232
   -149.00    0.7707    0.4486
   -148.00    0.7819    0.4746
   -147.00    0.7922    0.5010
   -146.00    0.8014    0.5278
   -145.00    0.8096    0.5550
   -144.00    0.8166    0.5825
   -143.00    0.8226    0.6103
   -142.00    0.8275    0.6385
   -141.00    0.8312    0.6668
   -140.00    0.8338    0.6954
   -139.00    0.8353    0.7242
   -138.00    0.8357    0.7531
   -137.00    0.8349    0.7821
   -136.00    0.8330    0.8112
   -135.00    0.8300    0.8403
   -134.00    0.8259    0.8694
   -133.00    0.8206    0.8985
   -132.00    0.8143    0.9275
   -131.00    0.8069    0.9564
   -130.00    0.7984    0.9852
   -129.00    0.7888    1.0138
   -128.00    0.7782    1.0421
   -127.00    0.7665    1.0703
   -126.00    0.7539    1.0981
   -125.00    0.7403    1.1256
   -124.00    0.7257    1.1528
   -123.00    0.7101    1.1796
   -122.00    0.6936    1.2060
   -121.00    0.6763    1.2320
   -120.00    0.6580    1.2575
   -119.00    0.6390    1.2824
   -118.00    0.6191    1.3068
   -117.00    0.5984    1.3307
   -116.00    0.5769    1.3539
   -115.00    0.5548    1.3766
   -114.00    0.5319    1.3986
   -113.00    0.5084    1.4199
   -112.00    0.4842    1.4404
   -111.00    0.4595    1.4603
   -110.00    0.4342    1.4794
   -109.00    0.4084    1.4977
   -108.00    0.3821    1.5153
   -107.00    0.3553    1.5320
   -106.00    0.3281    1.5478
   -105.00    0.3005    1.5628
   -104.00    0.2726    1.5769
   -103.00    0.2441    1.5902
   -102.00    0.2156    1.6025
   -101.00    0.1869    1.6138
   -100.00    0.1580    1.6243
    -99.00    0.1289    1.6338
    -98.00    0.0997    1.6423
    -97.00    0.0705    1.6498
    -96.00    0.0411    1.6564
    -95.00    0.0118    1.6619
    -94.00   -0.0175    1.6665
    -93.00   -0.0468    1.6700
    -92.00   -0.0759    1.6726
    -91.00   -0.1049    1.6741
    -90.00   -0.1338    1.6746
    -89.00   -0.1624    1.6741
    -88.00   -0.1908    1.6725
    -87.00   -0.2190    1.6700
    -86.00   -0.2468    1.6665
    -85.00   -0.2743    1.6619
    -84.00   -0.3014    1.6563
    -83.00   -0.3282    1.6498
    -82.00   -0.3545    1.6423
    -81.00   -0.3803    1.6337
    -80.00   -0.4057    1.6243
    -79.00   -0.4305    1.6138
    -78.00   -0.4548    1.6024
    -77.00   -0.4785    1.5901
    -76.00   -0.5017    1.5769
    -75.00   -0.5242    1.5628
    -74.00   -0.5461    1.5478
    -73.00   -0.5673    1.5319
    -72.00   -0.5878    1.5152
    -71.00   -0.6076    1.4977
    -70.00   -0.6267    1.4794
    -69.00   -0.6451    1.4602
    -68.00   -0.6627    1.4404
    -67.00   -0.6795    1.4198
    -66.00   -0.6955    1.3985
    -65.00   -0.7107    1.3765
    -64.00   -0.7250    1.3539
    -63.00   -0.7386    1.3306
    -62.00   -0.7513    1.3067
    -61.00   -0.7631    1.2823
    -60.00   -0.7740    1.2573
    -59.00   -0.7841    1.2319
    -58.00   -0.7933    1.2059
    -57.00   -0.8016    1.1795
    -56.00   -0.8090    1.1527
    -55.00   -0.8155    1.1255
    -54.00   -0.8210    1.0980
    -53.00   -0.8257    1.0701
    -52.00   -0.8295    1.0420
    -51.00   -0.8323    1.0136
    -50.00   -0.8343    0.9850
    -49.00   -0.8353    0.9562
    -48.00   -0.8355    0.9273
    -47.00   -0.8347    0.8982
    -46.00   -0.8331    0.8691
    -45.00   -0.8305    0.8400
    -44.00   -0.8271    0.8109
    -43.00   -0.8228    0.7817
    -42.00   -0.8177    0.7527
    -41.00   -0.8117    0.7238
    -40.00   -0.8048    0.6950
    -39.00   -0.7972    0.6663
    -38.00   -0.7887    0.6379
    -37.00   -0.7795    0.6097
    -36.00   -0.7695    0.5818
    -35.00   -0.7588    0.5542
    -34.00   -0.7473    0.5270
    -33.00   -0.7352    0.5001
    -32.00   -0.7225    0.4736
    -31.00   -0.7092    0.4475
    -30.00   -0.6953    0.4219
    -29.00   -0.6811    0.3967
    -28.00   -0.6664    0.3721
    -27.00   -0.6516    0.3480
    -26.00   -0.6366    0.3244
    -25.00   -0.6219    0.3014
    -24.00   -0.6076    0.2789
    -23.00   -0.5943    0.2570
    -22.00   -0.5827    0.2355
    -21.00   -0.5738    0.2146
    -20.00   -0.5692    0.1940
    -19.00   -0.5716    0.1736
    -18.00   -0.5851    0.1532
    -17.00   -0.6167    0.1324
    -16.00   -0.6764    0.1106
    -15.00   -0.7770    0.0874
    -14.00   -0.9239    0.0631
    -13.00   -1.0906    0.0405
    -12.00   -1.2046    0.0242
    -11.00   -1.2103    0.0165
    -10.00   -1.0821    0.0103
     -9.50   -1.0337    0.0099
     -9.00   -0.9845    0.0095
     -8.50   -0.9332    0.0091
     -8.00   -0.8825    0.0087
     -7.50   -0.8298    0.0084
     -7.00   -0.7764    0.0081
     -6.50   -0.7235    0.0078
     -6.00   -0.6699    0.0075
     -5.50   -0.6157    0.0072
     -5.00   -0.5614    0.0070
     -4.50   -0.5062    0.0068
     -4.00   -0.4512    0.0066
     -3.50   -0.3954    0.0065
     -3.00   -0.3396    0.0064
     -2.50   -0.2834    0.0063
     -2.00   -0.2269    0.0062
     -1.50   -0.1704    0.0061
     -1.00   -0.1137    0.0061
     -0.50   -0.0569    0.0060
      0.00    0.0000    0.0060
      0.50    0.0569    0.0060
      1.00    0.1137    0.0061
      1.50    0.1705    0.0061
      2.00    0.2269    0.0062
      2.50    0.2834    0.0063
      3.00    0.3396    0.0064
      3.50    0.3954    0.0065
      4.00    0.4512    0.0066
      4.50    0.5063    0.0068
      5.00    0.5615    0.0070
      5.50    0.6158    0.0072
      6.00    0.6700    0.0075
      6.50    0.7236    0.0078
      7.00    0.7766    0.0081
      7.50    0.8300    0.0084
      8.00    0.8827    0.0087
      8.50    0.9334    0.0091
      9.00    0.9848    0.0095
      9.50    1.0341    0.0099
     10.00    1.0825    0.0103
     10.50    1.1273    0.0108
     11.00    1.1787    0.0113
     11.50    1.2298    0.0119
     12.00    1.2893    0.0126
     12.50    1.3465    0.0132
     13.00    1.3744    0.0138
     13.50    1.3994    0.0146
     14.00    1.4331    0.0155
     14.50    1.4693    0.0163
     15.00    1.5036    0.0174
     15.50    1.5334    0.0187
     16.00    1.5586    0.0204
     16.50    1.5815    0.0225
     17.00    1.6047    0.0246
     17.50    1.6292    0.0268
     18.00    1.6505    0.0294
     18.50    1.6665    0.0325
     19.00    1.6778    0.0363
     19.50    1.6840    0.0408
     20.00    1.6805    0.0466
     20.50    1.6701    0.0532
     21.00    1.6512    0.0613
     21.50    1.6293    0.0698
     22.00    1.5934    0.0804
     22.50    1.5590    0.0911
     23.00    1.5096    0.1042
     23.50    1.4743    0.1155
     24.50    1.3945    0.1408
     25.00    1.3636    0.1523
     26.00    1.3045    0.2359
     27.00    1.2509    0.2660
     28.00    1.2033    0.2964
     29.00    1.1616    0.3271
     30.00    1.1257    0.3578
     31.00    1.0950    0.3886
     32.00    1.0690    0.4194
