AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:22:48 Compatible with AeroDyn v13.0.
Polar "T1_Re4.000_M0.00_N9.0 360 M" on Foil "T1_Re4.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
5.96605        Cn slope for zero lift for linear Cn curve (1/rad)
0.8713         Cn at stall value for positive angle of attack for linear Cn curve
-0.8702        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0075         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0836    0.0065
   -178.00    0.1671    0.0079
   -177.00    0.2507    0.0104
   -176.00    0.3342    0.0138
   -175.00    0.4178    0.0181
   -174.00    0.5013    0.0234
   -173.00    0.5849    0.0297
   -172.00    0.6684    0.0369
   -171.00    0.7502    0.0450
   -170.00    0.8144    0.0541
   -169.00    0.8284    0.0641
   -168.00    0.7770    0.0750
   -167.00    0.6938    0.0867
   -166.00    0.6222    0.0994
   -165.00    0.5774    0.1129
   -164.00    0.5556    0.1272
   -163.00    0.5495    0.1424
   -162.00    0.5531    0.1584
   -161.00    0.5625    0.1751
   -160.00    0.5753    0.1927
   -159.00    0.5901    0.2109
   -158.00    0.6060    0.2299
   -157.00    0.6222    0.2496
   -156.00    0.6385    0.2700
   -155.00    0.6544    0.2910
   -154.00    0.6700    0.3126
   -153.00    0.6849    0.3349
   -152.00    0.6991    0.3577
   -151.00    0.7126    0.3810
   -150.00    0.7252    0.4049
   -149.00    0.7369    0.4293
   -148.00    0.7476    0.4541
   -147.00    0.7574    0.4793
   -146.00    0.7662    0.5049
   -145.00    0.7740    0.5309
   -144.00    0.7808    0.5573
   -143.00    0.7865    0.5839
   -142.00    0.7911    0.6108
   -141.00    0.7947    0.6379
   -140.00    0.7972    0.6653
   -139.00    0.7986    0.6928
   -138.00    0.7990    0.7204
   -137.00    0.7983    0.7482
   -136.00    0.7965    0.7760
   -135.00    0.7936    0.8038
   -134.00    0.7896    0.8316
   -133.00    0.7846    0.8595
   -132.00    0.7786    0.8872
   -131.00    0.7715    0.9148
   -130.00    0.7634    0.9423
   -129.00    0.7542    0.9697
   -128.00    0.7441    0.9968
   -127.00    0.7329    1.0237
   -126.00    0.7209    1.0503
   -125.00    0.7078    1.0767
