R(m)	| c(m)	| Twist (deg) | Airfoil
1.5	3.38595	13.308	cylin1_fixRe
2.8667	3.542	13.308	cylin1_fixRe
5.6	3.854	13.308	cylin1_fixRe
8.3333	4.167	13.308	cylin2_fixRe
11.75	4.557	13.308	DU40_A17_fixRe
15.85	4.652	11.48	DU35_A17_fixRe
19.95	4.458	10.162	DU35_A17_fixRe
24.05	4.249	9.011	DU30_A17_fixRe
28.15	4.007	7.795	DU25_A17_fixRe
32.25	3.748	6.544	DU25_A17_fixRe
36.35	3.502	5.361	DU21_A17_fixRe
40.45	3.256	4.188	DU21_A17_fixRe
44.55	3.01	3.125	NA64_A17_fixRe
48.65	2.764	2.319	NA64_A17_fixRe
52.75	2.518	1.526	NA64_A17_fixRe
56.1667	2.313	0.863	NA64_A17_fixRe
58.9	2.086	0.37	NA64_A17_fixRe
61.6333	1.419	0.106	NA64_A17_fixRe
63	1.087	0	NA64_A17_fixRe
