R(m)	| c(m)	| Twist (deg) 	| Airfoil
0.002380952	0.005374524	13.308	cylin1_fixRe
0.004550317	0.005622222	13.308	cylin1_fixRe
0.008888889	0.00611746	13.308	cylin1_fixRe
0.01322746	0.006614286	13.308	cylin2_fixRe
0.018650794	0.007233333	13.308	DU40_A17_fixRe
0.02515873	0.007384127	11.48	DU35_A17_fixRe
0.031666667	0.00707619	10.162	DU35_A17_fixRe
0.038174603	0.006744444	9.011	DU30_A17_fixRe
0.04468254	0.006360317	7.795	DU25_A17_fixRe
0.051190476	0.005949206	6.544	DU25_A17_fixRe
0.057698413	0.00555873	5.361	DU21_A17_fixRe
0.064206349	0.005168254	4.188	DU21_A17_fixRe
0.070714286	0.004777778	3.125	NA64_A17_fixRe
0.077222222	0.004387302	2.319	NA64_A17_fixRe
0.083730159	0.003996825	1.526	NA64_A17_fixRe
0.089153492	0.003671429	0.863	NA64_A17_fixRe
0.093492063	0.003311111	0.37	NA64_A17_fixRe
0.097830635	0.002252381	0.106	NA64_A17_fixRe
0.1	0.001725397	0	NA64_A17_fixRe
