R(m)	|  c(m)	|  Twist (deg)|  Airfoil
0.004333 	 0.005597 	 13.308000 	cylin1_exp_trip_fixRe
0.008238 	 0.006043 	 13.308000 	cylin1_exp_trip_fixRe
0.012143 	 0.006490 	 13.308000 	cylin2_exp_trip_fixRe
0.016048 	 0.006936 	 13.308000 	DU40-A17_exp_trip_fixRe
0.019952 	 0.007263 	 12.942400 	DU40-A17_exp_trip_fixRe
0.023857 	 0.007354 	 11.845600 	DU35-A17_exp_trip_fixRe
0.027762 	 0.007261 	 10.952800 	DU35-A17_exp_trip_fixRe
0.031667 	 0.007076 	 10.162000 	DU35-A17_exp_trip_fixRe
0.035571 	 0.006877 	 9.471400 	DU30-A17_exp_trip_fixRe
0.039476 	 0.006668 	 8.767800 	DU30-A17_exp_trip_fixRe
0.043381 	 0.006437 	 8.038200 	DU25-A17_exp_trip_fixRe
0.047286 	 0.006196 	 7.294600 	DU25-A17_exp_trip_fixRe
0.051190 	 0.005949 	 6.544000 	DU25-A17_exp_trip_fixRe
0.055095 	 0.005715 	 5.834200 	DU21-A17_exp_trip_fixRe
0.059000 	 0.005481 	 5.126400 	DU21-A17_exp_trip_fixRe
0.062905 	 0.005246 	 4.422600 	DU21-A17_exp_trip_fixRe
0.066810 	 0.005012 	 3.762800 	DU21-A17_exp_trip_fixRe
0.070714 	 0.004778 	 3.125000 	NA64-A17_exp_trip_fixRe
0.074619 	 0.004543 	 2.641400 	NA64-A17_exp_trip_fixRe
0.078524 	 0.004309 	 2.160400 	NA64-A17_exp_trip_fixRe
0.082429 	 0.004075 	 1.684600 	NA64-A17_exp_trip_fixRe
0.086333 	 0.003841 	 1.207763 	NA64-A17_exp_trip_fixRe
0.090238 	 0.003581 	 0.739754 	NA64-A17_exp_trip_fixRe
0.094143 	 0.003152 	 0.330399 	NA64-A17_exp_trip_fixRe
0.098048 	 0.002200 	 0.095398 	NA64-A17_exp_trip_fixRe
