R(m)	|  c(m)	|  Twist (deg)|  Airfoil
0.003470 	 0.008920 	 13.000000 	circ
0.007410 	 0.009027 	 13.000000 	circ
0.011350 	 0.019569 	 13.000000 	N63228
0.015290 	 0.028701 	 12.840419 	N63228
0.019230 	 0.027902 	 11.557257 	N63228
0.023170 	 0.027103 	 10.274095 	N63228
0.027110 	 0.026305 	 8.990932 	N63228
0.031050 	 0.025506 	 7.923311 	N63228
0.034990 	 0.024707 	 7.225824 	N63228
0.038930 	 0.023909 	 6.528338 	N63228
0.042870 	 0.023110 	 5.830851 	N63228
0.046810 	 0.022266 	 5.257537 	N63228
0.050750 	 0.021394 	 4.763054 	N63228
0.054690 	 0.020521 	 4.268570 	N63222
0.058630 	 0.019648 	 3.774087 	N63222
0.062570 	 0.018837 	 3.292297 	N63222
0.066510 	 0.018039 	 2.813108 	N63222
0.070450 	 0.017240 	 2.333919 	N63218
0.074390 	 0.016435 	 1.866291 	N63218
0.078330 	 0.015557 	 1.544169 	N63218
0.082270 	 0.014678 	 1.222047 	N63214
0.086210 	 0.013800 	 0.899926 	N63214
0.090150 	 0.012964 	 0.603423 	N63214
0.094090 	 0.012218 	 0.362054 	N63214
0.098030 	 0.011473 	 0.120685 	N63214
